angle  350K 500K 600K 700K 750K 800K 850K 900K 1000K vanadium 
-4.0 0.2511 0.2502 0.2497 0.2465 0.2462 0.246 0.2457 0.2454 0.2449 0.2426 0.1417
1.0 0.2511 0.2502 0.2497 0.2465 0.2462 0.246 0.2457 0.2454 0.2449 0.2426 0.1417
6.0 0.2511 0.2502 0.2497 0.2465 0.2462 0.2459 0.2457 0.2454 0.2449 0.2426 0.1417
11.0 0.2511 0.2502 0.2497 0.2465 0.2462 0.2459 0.2457 0.2454 0.2448 0.2426 0.1417
16.0 0.2511 0.2502 0.2497 0.2465 0.2462 0.2459 0.2457 0.2454 0.2448 0.2426 0.1416
21.0 0.251 0.2502 0.2496 0.2465 0.2462 0.2459 0.2456 0.2454 0.2448 0.2425 0.1416
26.0 0.251 0.2502 0.2496 0.2464 0.2462 0.2459 0.2456 0.2453 0.2448 0.2425 0.1416
31.0 0.251 0.2501 0.2496 0.2464 0.2461 0.2458 0.2456 0.2453 0.2447 0.2425 0.1415
36.0 0.2509 0.2501 0.2495 0.2464 0.2461 0.2458 0.2455 0.2453 0.2447 0.2424 0.1415
41.0 0.2509 0.25 0.2495 0.2463 0.246 0.2457 0.2455 0.2452 0.2446 0.2424 0.1414
46.0 0.2508 0.25 0.2494 0.2463 0.246 0.2457 0.2454 0.2452 0.2446 0.2423 0.1414
51.0 0.2507 0.2499 0.2493 0.2462 0.2459 0.2456 0.2454 0.2451 0.2445 0.2423 0.1413
56.0 0.2507 0.2498 0.2493 0.2461 0.2458 0.2456 0.2453 0.245 0.2445 0.2422 0.1413
61.0 0.2506 0.2498 0.2492 0.2461 0.2458 0.2455 0.2452 0.245 0.2444 0.2422 0.1412
66.0 0.2505 0.2497 0.2491 0.246 0.2457 0.2454 0.2452 0.2449 0.2443 0.2421 0.1411
71.0 0.2504 0.2496 0.2491 0.2459 0.2456 0.2454 0.2451 0.2448 0.2443 0.242 0.1411
76.0 0.2504 0.2495 0.249 0.2458 0.2456 0.2453 0.245 0.2447 0.2442 0.2419 0.141
81.0 0.2503 0.2495 0.2489 0.2458 0.2455 0.2452 0.2449 0.2447 0.2441 0.2419 0.1409
86.0 0.2502 0.2494 0.2489 0.2457 0.2454 0.2452 0.2449 0.2446 0.2441 0.2418 0.1408
91.0 0.2501 0.2493 0.2488 0.2456 0.2454 0.2451 0.2448 0.2445 0.244 0.2418 0.1408
96.0 0.2501 0.2492 0.2487 0.2456 0.2453 0.245 0.2447 0.2445 0.2439 0.2417 0.1407
101.0 0.25 0.2492 0.2486 0.2455 0.2452 0.2449 0.2447 0.2444 0.2438 0.2416 0.1406
106.0 0.2499 0.2491 0.2485 0.2454 0.2451 0.2448 0.2446 0.2443 0.2438 0.2415 0.1406
111.0 0.2498 0.249 0.2485 0.2453 0.2451 0.2448 0.2445 0.2443 0.2437 0.2415 0.1405
116.0 0.2498 0.2489 0.2484 0.2453 0.245 0.2447 0.2444 0.2442 0.2436 0.2414 0.1404
121.0 0.2497 0.2489 0.2483 0.2452 0.2449 0.2446 0.2444 0.2441 0.2436 0.2413 0.1404
126.0 0.2496 0.2488 0.2483 0.2451 0.2449 0.2446 0.2443 0.2441 0.2435 0.2413 0.1403
