angle  350K 500K 600K 700K 750K 800K 850K 900K 1000K vanadium 
-4.0 0.847 0.8473 0.8476 0.8501 0.8502 0.8503 0.8505 0.8506 0.8508 0.8519 0.8398
1.0 0.8469 0.8473 0.8476 0.8501 0.8502 0.8503 0.8505 0.8506 0.8508 0.8519 0.8398
6.0 0.847 0.8474 0.8477 0.8502 0.8503 0.8504 0.8506 0.8507 0.8509 0.852 0.8398
11.0 0.8472 0.8476 0.8478 0.8503 0.8504 0.8506 0.8507 0.8508 0.8511 0.8521 0.84
16.0 0.8474 0.8478 0.848 0.8505 0.8506 0.8507 0.8509 0.851 0.8512 0.8523 0.8401
21.0 0.8476 0.848 0.8482 0.8507 0.8508 0.8509 0.8511 0.8512 0.8514 0.8525 0.8404
26.0 0.8478 0.8482 0.8485 0.8509 0.8511 0.8512 0.8513 0.8514 0.8517 0.8527 0.8407
31.0 0.8481 0.8485 0.8488 0.8512 0.8513 0.8515 0.8516 0.8517 0.852 0.853 0.8411
36.0 0.8484 0.8488 0.8491 0.8515 0.8516 0.8517 0.8519 0.852 0.8523 0.8533 0.8415
41.0 0.8488 0.8492 0.8494 0.8518 0.852 0.8521 0.8522 0.8523 0.8526 0.8536 0.842
46.0 0.8491 0.8495 0.8498 0.8522 0.8523 0.8524 0.8525 0.8526 0.8529 0.8539 0.8426
51.0 0.8495 0.8499 0.8501 0.8525 0.8526 0.8527 0.8529 0.853 0.8532 0.8543 0.8432
56.0 0.8498 0.8502 0.8505 0.8528 0.853 0.8531 0.8532 0.8533 0.8536 0.8546 0.8439
61.0 0.8502 0.8506 0.8508 0.8532 0.8533 0.8534 0.8535 0.8537 0.8539 0.8549 0.8446
66.0 0.8506 0.8509 0.8512 0.8535 0.8537 0.8538 0.8539 0.854 0.8543 0.8553 0.8453
71.0 0.8509 0.8513 0.8516 0.8539 0.854 0.8541 0.8543 0.8544 0.8546 0.8557 0.846
76.0 0.8513 0.8517 0.8519 0.8542 0.8544 0.8545 0.8546 0.8547 0.855 0.856 0.8468
81.0 0.8517 0.8521 0.8523 0.8546 0.8547 0.8549 0.855 0.8551 0.8553 0.8564 0.8476
86.0 0.8521 0.8525 0.8527 0.855 0.8551 0.8553 0.8554 0.8555 0.8557 0.8568 0.8483
91.0 0.8525 0.8529 0.8532 0.8554 0.8556 0.8557 0.8558 0.8559 0.8562 0.8572 0.8491
96.0 0.8529 0.8533 0.8535 0.8558 0.8559 0.856 0.8562 0.8563 0.8565 0.8575 0.8499
101.0 0.8533 0.8537 0.8539 0.8562 0.8563 0.8564 0.8565 0.8566 0.8569 0.8578 0.8507
106.0 0.8538 0.8541 0.8544 0.8566 0.8567 0.8568 0.8569 0.857 0.8573 0.8582 0.8514
111.0 0.8541 0.8545 0.8547 0.857 0.8571 0.8572 0.8573 0.8574 0.8576 0.8586 0.8522
116.0 0.8545 0.8548 0.8551 0.8573 0.8574 0.8575 0.8576 0.8577 0.858 0.8589 0.8529
121.0 0.8548 0.8552 0.8554 0.8576 0.8577 0.8578 0.858 0.8581 0.8583 0.8593 0.8535
126.0 0.8552 0.8555 0.8558 0.8579 0.8581 0.8582 0.8583 0.8584 0.8586 0.8596 0.8542
