empty can 800K cell                                          16-11-07    37.707K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
  0.0000000E+00   120.0000       10.95445    
   1.000000       21.00000       4.582576    
   2.000000       25.00000       5.000000    
   3.000000       34.00000       5.830952    
   4.000000       45.00000       6.708204    
   5.000000       61.00000       7.810250    
   6.000000       77.00000       8.774964    
   7.000000       72.00000       8.485281    
   8.000000       64.00000       8.000000    
   9.000000       71.00000       8.426149    
   10.00000       64.00000       8.000000    
   11.00000       58.00000       7.615773    
   12.00000       76.00000       8.717798    
   13.00000       59.00000       7.681146    
   14.00000       53.00000       7.280110    
   15.00000       50.00000       7.071068    
   16.00000       64.00000       8.000000    
   17.00000       67.00000       8.185352    
   18.00000       75.00000       8.660254    
   19.00000       138.0000       11.74734    
   20.00000       77.00000       8.774964    
   21.00000       111.0000       10.53565    
   22.00000       113.0000       10.63015    
   23.00000       125.0000       11.18034    
   24.00000       358.0000       18.92089    
   25.00000       657.0000       25.63201    
   26.00000       683.0000       26.13427    
   27.00000       860.0000       29.32576    
   28.00000       808.0000       28.42534    
   29.00000       838.0000       28.94823    
   30.00000       773.0000       27.80288    
   31.00000       705.0000       26.55184    
   32.00000       810.0000       28.46050    
   33.00000       839.0000       28.96550    
   34.00000       834.0000       28.87906    
   35.00000       817.0000       28.58321    
   36.00000       910.0000       30.16621    
   37.00000       899.0000       29.98333    
   38.00000       835.0000       28.89637    
   39.00000       755.0000       27.47726    
   40.00000       853.0000       29.20616    
   41.00000       893.0000       29.88311    
   42.00000       826.0000       28.74022    
   43.00000       897.0000       29.94996    
   44.00000       863.0000       29.37686    
   45.00000       875.0000       29.58040    
   46.00000       872.0000       29.52965    
   47.00000       787.0000       28.05352    
   48.00000       847.0000       29.10326    
   49.00000       866.0000       29.42788    
   50.00000       779.0000       27.91057    
   51.00000       801.0000       28.30194    
   52.00000       890.0000       29.83287    
   53.00000       879.0000       29.64793    
   54.00000       792.0000       28.14249    
   55.00000       833.0000       28.86174    
   56.00000       799.0000       28.26659    
   57.00000       886.0000       29.76575    
   58.00000       798.0000       28.24889    
   59.00000       694.0000       26.34388    
   60.00000       854.0000       29.22328    
   61.00000       865.0000       29.41088    
   62.00000       870.0000       29.49576    
   63.00000       879.0000       29.64793    
   64.00000       910.0000       30.16621    
   65.00000       862.0000       29.35984    
   66.00000       881.0000       29.68164    
   67.00000       904.0000       30.06659    
   68.00000       845.0000       29.06888    
   69.00000       970.0000       31.14482    
   70.00000       890.0000       29.83287    
   71.00000       896.0000       29.93326    
   72.00000       884.0000       29.73214    
   73.00000       880.0000       29.66479    
   74.00000       877.0000       29.61419    
   75.00000       864.0000       29.39388    
   76.00000       981.0000       31.32092    
   77.00000       895.0000       29.91655    
