empty can 300K                                               17-11-07  2000.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
  0.0000000E+00   6837.000       82.68616    
   1.000000       1057.000       32.51154    
   2.000000       1176.000       34.29286    
   3.000000       1436.000       37.89459    
   4.000000       2110.000       45.93474    
   5.000000       3120.000       55.85696    
   6.000000       3428.000       58.54913    
   7.000000       3872.000       62.22540    
   8.000000       3875.000       62.24950    
   9.000000       3894.000       62.40192    
   10.00000       3622.000       60.18306    
   11.00000       3457.000       58.79626    
   12.00000       3284.000       57.30619    
   13.00000       3029.000       55.03635    
   14.00000       2861.000       53.48832    
   15.00000       2785.000       52.77310    
   16.00000       3000.000       54.77225    
   17.00000       3202.000       56.58622    
   18.00000       3926.000       62.65780    
   19.00000       7610.000       87.23531    
   20.00000       4579.000       67.66831    
   21.00000       5035.000       70.95773    
   22.00000       5226.000       72.29108    
   23.00000       6415.000       80.09370    
   24.00000       20664.00       143.7498    
   25.00000       35235.00       187.7099    
   26.00000       38677.00       196.6647    
   27.00000       42567.00       206.3177    
   28.00000       43897.00       209.5161    
   29.00000       43148.00       207.7210    
   30.00000       37561.00       193.8066    
   31.00000       38580.00       196.4179    
   32.00000       42592.00       206.3783    
   33.00000       45351.00       212.9577    
   34.00000       43649.00       208.9234    
   35.00000       42746.00       206.7511    
   36.00000       46615.00       215.9051    
   37.00000       46366.00       215.3277    
   38.00000       43297.00       208.0793    
   39.00000       41686.00       204.1715    
   40.00000       46424.00       215.4623    
   41.00000       44932.00       211.9717    
   42.00000       44636.00       211.2723    
   43.00000       45973.00       214.4131    
   44.00000       45744.00       213.8785    
   45.00000       46729.00       216.1689    
   46.00000       44778.00       211.6081    
   47.00000       45022.00       212.1839    
   48.00000       43666.00       208.9641    
   49.00000       46012.00       214.5041    
   50.00000       40851.00       202.1163    
   51.00000       43106.00       207.6198    
   52.00000       46688.00       216.0741    
   53.00000       44465.00       210.8673    
   54.00000       44762.00       211.5703    
   55.00000       45574.00       213.4807    
   56.00000       44957.00       212.0307    
   57.00000       44484.00       210.9123    
   58.00000       42517.00       206.1965    
   59.00000       38632.00       196.5502    
   60.00000       44309.00       210.4970    
   61.00000       44314.00       210.5089    
   62.00000       47167.00       217.1796    
   63.00000       47348.00       217.5960    
   64.00000       46917.00       216.6033    
   65.00000       47381.00       217.6718    
   66.00000       46857.00       216.4648    
   67.00000       46254.00       215.0674    
   68.00000       45452.00       213.1947    
   69.00000       49886.00       223.3517    
   70.00000       46270.00       215.1046    
   71.00000       45709.00       213.7966    
   72.00000       46157.00       214.8418    
   73.00000       45869.00       214.1705    
   74.00000       47832.00       218.7053    
   75.00000       45950.00       214.3595    
   76.00000       47171.00       217.1889    
   77.00000       46832.00       216.4070    
