empty can 300K                                               17-11-07   660.672K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
  0.0000000E+00   2246.000       47.39198    
   1.000000       320.0000       17.88854    
   2.000000       392.0000       19.79899    
   3.000000       432.0000       20.78461    
   4.000000       661.0000       25.70992    
   5.000000       1030.000       32.09361    
   6.000000       1168.000       34.17601    
   7.000000       1265.000       35.56684    
   8.000000       1236.000       35.15679    
   9.000000       1242.000       35.24202    
   10.00000       1219.000       34.91418    
   11.00000       1208.000       34.75629    
   12.00000       1140.000       33.76389    
   13.00000       1010.000       31.78050    
   14.00000       1012.000       31.81195    
   15.00000       921.0000       30.34798    
   16.00000       1025.000       32.01562    
   17.00000       1113.000       33.36166    
   18.00000       1218.000       34.89986    
   19.00000       2541.000       50.40833    
   20.00000       1539.000       39.23009    
   21.00000       1641.000       40.50926    
   22.00000       1681.000       41.00000    
   23.00000       2114.000       45.97826    
   24.00000       6842.000       82.71638    
   25.00000       11465.00       107.0747    
   26.00000       12695.00       112.6721    
   27.00000       14133.00       118.8823    
   28.00000       14393.00       119.9708    
   29.00000       14456.00       120.2331    
   30.00000       12504.00       111.8213    
   31.00000       12568.00       112.1071    
   32.00000       13945.00       118.0890    
   33.00000       15277.00       123.6002    
   34.00000       14403.00       120.0125    
   35.00000       14518.00       120.4907    
   36.00000       15220.00       123.3694    
   37.00000       15208.00       123.3207    
   38.00000       14498.00       120.4076    
   39.00000       13721.00       117.1367    
   40.00000       15457.00       124.3262    
   41.00000       14844.00       121.8360    
   42.00000       14718.00       121.3178    
   43.00000       15130.00       123.0041    
   44.00000       15300.00       123.6932    
   45.00000       15257.00       123.5192    
   46.00000       14772.00       121.5401    
   47.00000       14718.00       121.3178    
   48.00000       14466.00       120.2747    
   49.00000       15066.00       122.7436    
   50.00000       13415.00       115.8231    
   51.00000       14432.00       120.1333    
   52.00000       15504.00       124.5151    
   53.00000       14726.00       121.3507    
   54.00000       14937.00       122.2170    
   55.00000       14926.00       122.1720    
   56.00000       14824.00       121.7539    
   57.00000       14501.00       120.4201    
   58.00000       14289.00       119.5366    
   59.00000       12738.00       112.8627    
   60.00000       14577.00       120.7352    
   61.00000       14833.00       121.7908    
   62.00000       15392.00       124.0645    
   63.00000       15583.00       124.8319    
   64.00000       15626.00       125.0040    
   65.00000       15946.00       126.2775    
   66.00000       15457.00       124.3262    
   67.00000       15189.00       123.2437    
   68.00000       14952.00       122.2784    
   69.00000       16372.00       127.9531    
   70.00000       15428.00       124.2095    
   71.00000       15142.00       123.0528    
   72.00000       15312.00       123.7417    
   73.00000       15202.00       123.2964    
   74.00000       15736.00       125.4432    
   75.00000       15143.00       123.0569    
   76.00000       15441.00       124.2618    
   77.00000       15456.00       124.3222    
