sample v-GeO2 350K                                           18-11-07  2000.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
  0.0000000E+00   12163.00       110.2860    
   1.000000       1371.000       37.02702    
   2.000000       1645.000       40.55860    
   3.000000       1976.000       44.45222    
   4.000000       2795.000       52.86776    
   5.000000       3885.000       62.32977    
   6.000000       4414.000       66.43794    
   7.000000       5331.000       73.01369    
   8.000000       5627.000       75.01333    
   9.000000       5927.000       76.98701    
   10.00000       5671.000       75.30605    
   11.00000       5468.000       73.94592    
   12.00000       5101.000       71.42129    
   13.00000       4405.000       66.37017    
   14.00000       4214.000       64.91533    
   15.00000       3951.000       62.85698    
   16.00000       4311.000       65.65820    
   17.00000       4497.000       67.05968    
   18.00000       5243.000       72.40856    
   19.00000       12655.00       112.4944    
   20.00000       6075.000       77.94228    
   21.00000       6507.000       80.66598    
   22.00000       6923.000       83.20457    
   23.00000       8140.000       90.22195    
   24.00000       24113.00       155.2836    
   25.00000       45380.00       213.0258    
   26.00000       49761.00       223.0717    
   27.00000       53126.00       230.4908    
   28.00000       54924.00       234.3587    
   29.00000       54323.00       233.0730    
   30.00000       47516.00       217.9816    
   31.00000       47674.00       218.3438    
   32.00000       53509.00       231.3201    
   33.00000       57277.00       239.3261    
   34.00000       56336.00       237.3521    
   35.00000       55169.00       234.8808    
   36.00000       60947.00       246.8745    
   37.00000       59641.00       244.2151    
   38.00000       57214.00       239.1945    
   39.00000       54109.00       232.6134    
   40.00000       61767.00       248.5297    
   41.00000       59406.00       243.7335    
   42.00000       60511.00       245.9898    
   43.00000       61550.00       248.0927    
   44.00000       63461.00       251.9147    
   45.00000       64578.00       254.1220    
   46.00000       63072.00       251.1414    
   47.00000       62343.00       249.6858    
   48.00000       62276.00       249.5516    
   49.00000       66037.00       256.9767    
   50.00000       61470.00       247.9314    
   51.00000       64968.00       254.8882    
   52.00000       71711.00       267.7891    
   53.00000       69583.00       263.7859    
   54.00000       72702.00       269.6331    
   55.00000       73672.00       271.4259    
   56.00000       75771.00       275.2653    
   57.00000       76236.00       276.1087    
   58.00000       77480.00       278.3523    
   59.00000       70004.00       264.5827    
   60.00000       84464.00       290.6269    
   61.00000       85577.00       292.5355    
   62.00000       93544.00       305.8496    
   63.00000       93201.00       305.2884    
   64.00000       94073.00       306.7132    
   65.00000       95701.00       309.3558    
   66.00000       94873.00       308.0146    
   67.00000       92178.00       303.6083    
   68.00000       90786.00       301.3072    
   69.00000       97944.00       312.9601    
   70.00000       88812.00       298.0134    
   71.00000       86766.00       294.5607    
   72.00000       86517.00       294.1377    
   73.00000       84976.00       291.5064    
   74.00000       87614.00       295.9966    
   75.00000       81905.00       286.1905    
   76.00000       83028.00       288.1458    
