sample v-GeO2 850K babana displaced by -0.8°                 21-11-07    69.693K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
  0.0000000E+00   413.0000       20.32240    
   1.000000       46.00000       6.782330    
   2.000000       59.00000       7.681146    
   3.000000       66.00000       8.124039    
   4.000000       97.00000       9.848858    
   5.000000       131.0000       11.44552    
   6.000000       169.0000       13.00000    
   7.000000       194.0000       13.92839    
   8.000000       248.0000       15.74802    
   9.000000       330.0000       18.16590    
   10.00000       276.0000       16.61325    
   11.00000       262.0000       16.18641    
   12.00000       277.0000       16.64332    
   13.00000       279.0000       16.70329    
   14.00000       263.0000       16.21728    
   15.00000       273.0000       16.52271    
   16.00000       252.0000       15.87451    
   17.00000       204.0000       14.28286    
   18.00000       211.0000       14.52584    
   19.00000       436.0000       20.88061    
   20.00000       178.0000       13.34166    
   21.00000       172.0000       13.11488    
   22.00000       209.0000       14.45683    
   23.00000       226.0000       15.03330    
   24.00000       247.0000       15.71623    
   25.00000       277.0000       16.64332    
   26.00000       307.0000       17.52142    
   27.00000       340.0000       18.43909    
   28.00000       834.0000       28.87906    
   29.00000       1356.000       36.82391    
   30.00000       1402.000       37.44329    
   31.00000       1512.000       38.88445    
   32.00000       1768.000       42.04759    
   33.00000       1983.000       44.53089    
   34.00000       1943.000       44.07948    
   35.00000       1852.000       43.03487    
   36.00000       2042.000       45.18850    
   37.00000       2131.000       46.16275    
   38.00000       1838.000       42.87190    
   39.00000       1839.000       42.88356    
   40.00000       2084.000       45.65085    
   41.00000       2059.000       45.37621    
   42.00000       2096.000       45.78209    
   43.00000       2062.000       45.40925    
   44.00000       2102.000       45.84757    
   45.00000       2170.000       46.58326    
   46.00000       2110.000       45.93474    
   47.00000       2117.000       46.01087    
   48.00000       2001.000       44.73254    
   49.00000       2229.000       47.21229    
   50.00000       1977.000       44.46347    
   51.00000       2049.000       45.26588    
   52.00000       2262.000       47.56049    
   53.00000       2274.000       47.68648    
   54.00000       2311.000       48.07286    
   55.00000       2275.000       47.69696    
   56.00000       2362.000       48.60041    
   57.00000       2422.000       49.21382    
   58.00000       2367.000       48.65182    
   59.00000       2087.000       45.68370    
   60.00000       2617.000       51.15662    
   61.00000       2710.000       52.05766    
   62.00000       2878.000       53.64700    
   63.00000       3099.000       55.66866    
   64.00000       3063.000       55.34438    
   65.00000       3135.000       55.99107    
   66.00000       3137.000       56.00893    
   67.00000       3229.000       56.82429    
   68.00000       3259.000       57.08765    
   69.00000       3664.000       60.53098    
   70.00000       3326.000       57.67148    
   71.00000       3158.000       56.19609    
   72.00000       3166.000       56.26722    
   73.00000       3109.000       55.75841    
   74.00000       3213.000       56.68333    
   75.00000       3130.000       55.94640    
   76.00000       2920.000       54.03703    
