sample v-GeO2 850K			21-11-07  2000.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
  0.0000000E+00   12210.00       110.4989    
   1.000000       1430.000       37.81534    
   2.000000       1609.000       40.11234    
   3.000000       1966.000       44.33960    
   4.000000       2832.000       53.21654    
   5.000000       3961.000       62.93648    
   6.000000       4479.000       66.92533    
   7.000000       5548.000       74.48490    
   8.000000       5736.000       75.73638    
   9.000000       5950.000       77.13625    
   10.00000       5534.000       74.39086    
   11.00000       5489.000       74.08778    
   12.00000       4974.000       70.52659    
   13.00000       4367.000       66.08328    
   14.00000       4094.000       63.98437    
   15.00000       3964.000       62.96030    
   16.00000       4064.000       63.74951    
   17.00000       4482.000       66.94774    
   18.00000       5057.000       71.11259    
   19.00000       11940.00       109.2703    
   20.00000       6131.000       78.30070    
   21.00000       6623.000       81.38181    
   22.00000       7046.000       83.94045    
   23.00000       8161.000       90.33826    
   24.00000       24964.00       158.0000    
   25.00000       45283.00       212.7980    
   26.00000       49540.00       222.5758    
   27.00000       53506.00       231.3136    
   28.00000       54016.00       232.4134    
   29.00000       53743.00       231.8254    
   30.00000       46212.00       214.9698    
   31.00000       47709.00       218.4239    
   32.00000       53218.00       230.6903    
   33.00000       57080.00       238.9142    
   34.00000       55090.00       234.7126    
   35.00000       54863.00       234.2285    
   36.00000       59207.00       243.3249    
   37.00000       59429.00       243.7806    
   38.00000       55633.00       235.8665    
   39.00000       53169.00       230.5840    
   40.00000       61398.00       247.7862    
   41.00000       58909.00       242.7118    
   42.00000       59027.00       242.9547    
   43.00000       62231.00       249.4614    
   44.00000       62534.00       250.0680    
   45.00000       64005.00       252.9921    
   46.00000       61898.00       248.7931    
   47.00000       62530.00       250.0600    
   48.00000       61850.00       248.6966    
   49.00000       66720.00       258.3022    
   50.00000       58873.00       242.6376    
   51.00000       64459.00       253.8878    
   52.00000       71662.00       267.6976    
   53.00000       69594.00       263.8068    
   54.00000       71565.00       267.5164    
   55.00000       74424.00       272.8076    
   56.00000       74886.00       273.6531    
   57.00000       77092.00       277.6544    
   58.00000       76241.00       276.1177    
   59.00000       68863.00       262.4176    
   60.00000       84571.00       290.8109    
   61.00000       87067.00       295.0712    
   62.00000       93239.00       305.3506    
   63.00000       94835.00       307.9529    
   64.00000       95294.00       308.6973    
   65.00000       96800.00       311.1270    
   66.00000       95380.00       308.8365    
   67.00000       93612.00       305.9608    
   68.00000       91525.00       302.5310    
   69.00000       98410.00       313.7037    
   70.00000       87614.00       295.9966    
   71.00000       86396.00       293.9320    
   72.00000       85884.00       293.0597    
   73.00000       84254.00       290.2654    
   74.00000       86540.00       294.1768    
   75.00000       82246.00       286.7856    
   76.00000       80898.00       284.4258    
   77.00000       80464.00       283.6618    
