sample v-GeO2 900K 			21-11-07  2000.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
  0.0000000E+00   12240.00       110.6345    
   1.000000       1376.000       37.09447    
   2.000000       1627.000       40.33609    
   3.000000       2052.000       45.29901    
   4.000000       2843.000       53.31979    
   5.000000       3927.000       62.66578    
   6.000000       4523.000       67.25325    
   7.000000       5531.000       74.37069    
   8.000000       5737.000       75.74299    
   9.000000       5835.000       76.38717    
   10.00000       5501.000       74.16872    
   11.00000       5453.000       73.84443    
   12.00000       4962.000       70.44147    
   13.00000       4363.000       66.05301    
   14.00000       4145.000       64.38168    
   15.00000       4033.000       63.50591    
   16.00000       4237.000       65.09224    
   17.00000       4474.000       66.88796    
   18.00000       5190.000       72.04166    
   19.00000       12362.00       111.1845    
   20.00000       6188.000       78.66384    
   21.00000       6725.000       82.00610    
   22.00000       6912.000       83.13844    
   23.00000       8146.000       90.25520    
   24.00000       24871.00       157.7054    
   25.00000       45732.00       213.8504    
   26.00000       49964.00       223.5263    
   27.00000       53659.00       231.6441    
   28.00000       54645.00       233.7627    
   29.00000       54014.00       232.4091    
   30.00000       46711.00       216.1273    
   31.00000       48307.00       219.7885    
   32.00000       52714.00       229.5953    
   33.00000       56767.00       238.2583    
   34.00000       55536.00       235.6608    
   35.00000       55228.00       235.0064    
   36.00000       59798.00       244.5363    
   37.00000       59568.00       244.0656    
   38.00000       56102.00       236.8586    
   39.00000       54191.00       232.7896    
   40.00000       61424.00       247.8387    
   41.00000       59608.00       244.1475    
   42.00000       59437.00       243.7970    
   43.00000       62459.00       249.9180    
   44.00000       63159.00       251.3145    
   45.00000       65265.00       255.4702    
   46.00000       62510.00       250.0200    
   47.00000       63289.00       251.5730    
   48.00000       62158.00       249.3151    
   49.00000       66936.00       258.7199    
   50.00000       59752.00       244.4422    
   51.00000       64683.00       254.3285    
   52.00000       71909.00       268.1585    
   53.00000       70247.00       265.0415    
   54.00000       72151.00       268.6094    
   55.00000       74998.00       273.8576    
   56.00000       75278.00       274.3684    
   57.00000       77084.00       277.6400    
   58.00000       76811.00       277.1480    
   59.00000       70317.00       265.1735    
   60.00000       85353.00       292.1523    
   61.00000       86338.00       293.8333    
   62.00000       93647.00       306.0180    
   63.00000       94511.00       307.4264    
   64.00000       94482.00       307.3792    
   65.00000       96011.00       309.8564    
   66.00000       94770.00       307.8474    
   67.00000       92983.00       304.9312    
   68.00000       90516.00       300.8588    
   69.00000       98775.00       314.2849    
   70.00000       87608.00       295.9865    
   71.00000       86425.00       293.9813    
   72.00000       86183.00       293.5694    
   73.00000       83852.00       289.5721    
   74.00000       85594.00       292.5645    
   75.00000       81950.00       286.2691    
   76.00000       81541.00       285.5538    
