sample v-GeO2 900K 			22-11-07   864.878K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
  0.0000000E+00   5247.000       72.43618    
   1.000000       586.0000       24.20744    
   2.000000       734.0000       27.09243    
   3.000000       883.0000       29.71532    
   4.000000       1268.000       35.60899    
   5.000000       1692.000       41.13393    
   6.000000       2020.000       44.94441    
   7.000000       2354.000       48.51804    
   8.000000       2564.000       50.63596    
   9.000000       2425.000       49.24429    
   10.00000       2433.000       49.32545    
   11.00000       2381.000       48.79549    
   12.00000       2131.000       46.16275    
   13.00000       1911.000       43.71498    
   14.00000       1789.000       42.29657    
   15.00000       1781.000       42.20190    
   16.00000       1827.000       42.74342    
   17.00000       1964.000       44.31704    
   18.00000       2193.000       46.82948    
   19.00000       5345.000       73.10950    
   20.00000       2691.000       51.87485    
   21.00000       2902.000       53.87021    
   22.00000       3082.000       55.51576    
   23.00000       3574.000       59.78294    
   24.00000       10735.00       103.6098    
   25.00000       19563.00       139.8678    
   26.00000       21337.00       146.0719    
   27.00000       23276.00       152.5647    
   28.00000       23376.00       152.8921    
   29.00000       23271.00       152.5484    
   30.00000       20190.00       142.0915    
   31.00000       20938.00       144.6997    
   32.00000       23046.00       151.8091    
   33.00000       24816.00       157.5309    
   34.00000       23961.00       154.7934    
   35.00000       23862.00       154.4733    
   36.00000       25979.00       161.1800    
   37.00000       25653.00       160.1655    
   38.00000       24313.00       155.9263    
   39.00000       23117.00       152.0428    
   40.00000       26378.00       162.4131    
   41.00000       25876.00       160.8602    
   42.00000       25996.00       161.2328    
   43.00000       26845.00       163.8444    
   44.00000       27288.00       165.1908    
   45.00000       27793.00       166.7123    
   46.00000       26964.00       164.2072    
   47.00000       27614.00       166.1746    
   48.00000       27192.00       164.9000    
   49.00000       28924.00       170.0706    
   50.00000       25730.00       160.4057    
   51.00000       28177.00       167.8601    
   52.00000       31494.00       177.4655    
   53.00000       30304.00       174.0804    
   54.00000       31063.00       176.2470    
   55.00000       32284.00       179.6775    
   56.00000       32601.00       180.5575    
   57.00000       33614.00       183.3412    
   58.00000       32898.00       181.3781    
   59.00000       30094.00       173.4762    
   60.00000       36613.00       191.3452    
   61.00000       37969.00       194.8564    
   62.00000       40244.00       200.6091    
   63.00000       40853.00       202.1212    
   64.00000       40893.00       202.2202    
   65.00000       41510.00       203.7400    
   66.00000       40505.00       201.2585    
   67.00000       40456.00       201.1368    
   68.00000       39294.00       198.2271    
   69.00000       42320.00       205.7182    
   70.00000       38116.00       195.2332    
   71.00000       37328.00       193.2046    
   72.00000       37397.00       193.3830    
   73.00000       36277.00       190.4652    
   74.00000       37113.00       192.6473    
   75.00000       35740.00       189.0503    
   76.00000       35432.00       188.2339    
   77.00000       34635.00       186.1048    
