sample v-GeO2 1000K                                          22-11-07  2000.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
  0.0000000E+00   11961.00       109.3664    
   1.000000       1389.000       37.26929    
   2.000000       1673.000       40.90232    
   3.000000       2011.000       44.84417    
   4.000000       2869.000       53.56305    
   5.000000       3827.000       61.86275    
   6.000000       4648.000       68.17624    
   7.000000       5444.000       73.78347    
   8.000000       5774.000       75.98684    
   9.000000       6048.000       77.76889    
   10.00000       5588.000       74.75293    
   11.00000       5422.000       73.63423    
   12.00000       5057.000       71.11259    
   13.00000       4269.000       65.33759    
   14.00000       3961.000       62.93648    
   15.00000       3944.000       62.80127    
   16.00000       4266.000       65.31462    
   17.00000       4350.000       65.95453    
   18.00000       5089.000       71.33723    
   19.00000       12599.00       112.2453    
   20.00000       6007.000       77.50484    
   21.00000       6715.000       81.94511    
   22.00000       6806.000       82.49848    
   23.00000       8287.000       91.03296    
   24.00000       25309.00       159.0880    
   25.00000       45832.00       214.0841    
   26.00000       49568.00       222.6387    
   27.00000       54081.00       232.5532    
   28.00000       54784.00       234.0598    
   29.00000       54432.00       233.3067    
   30.00000       46855.00       216.4602    
   31.00000       48040.00       219.1803    
   32.00000       53109.00       230.4539    
   33.00000       57942.00       240.7114    
   34.00000       56060.00       236.7699    
   35.00000       55269.00       235.0936    
   36.00000       60359.00       245.6807    
   37.00000       59667.00       244.2683    
   38.00000       56483.00       237.6615    
   39.00000       53917.00       232.2003    
   40.00000       61921.00       248.8393    
   41.00000       59959.00       244.8653    
   42.00000       60047.00       245.0449    
   43.00000       62687.00       250.3737    
   44.00000       64043.00       253.0672    
   45.00000       64998.00       254.9471    
   46.00000       63238.00       251.4717    
   47.00000       64469.00       253.9075    
   48.00000       62551.00       250.1020    
   49.00000       67688.00       260.1692    
   50.00000       59761.00       244.4606    
   51.00000       65408.00       255.7499    
   52.00000       72198.00       268.6969    
   53.00000       70369.00       265.2715    
   54.00000       72827.00       269.8648    
   55.00000       75585.00       274.9273    
   56.00000       75764.00       275.2526    
   57.00000       77514.00       278.4134    
   58.00000       76606.00       276.7779    
   59.00000       68759.00       262.2194    
   60.00000       84342.00       290.4169    
   61.00000       86172.00       293.5507    
   62.00000       91854.00       303.0742    
   63.00000       93221.00       305.3211    
   64.00000       93128.00       305.1688    
   65.00000       94783.00       307.8685    
   66.00000       93399.00       305.6125    
   67.00000       91692.00       302.8069    
   68.00000       89460.00       299.0986    
   69.00000       96887.00       311.2668    
   70.00000       86186.00       293.5745    
   71.00000       85034.00       291.6059    
   72.00000       85199.00       291.8887    
   73.00000       85556.00       292.4996    
   74.00000       89360.00       298.9314    
   75.00000       84282.00       290.3136    
   76.00000       81760.00       285.9370    
