sample v-GeO2 1100K tst                                      23-11-07    50.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
  0.0000000E+00   312.0000       17.66352    
   1.000000       25.00000       5.000000    
   2.000000       39.00000       6.244998    
   3.000000       50.00000       7.071068    
   4.000000       68.00000       8.246211    
   5.000000       83.00000       9.110434    
   6.000000       117.0000       10.81665    
   7.000000       152.0000       12.32883    
   8.000000       133.0000       11.53256    
   9.000000       159.0000       12.60952    
   10.00000       152.0000       12.32883    
   11.00000       124.0000       11.13553    
   12.00000       145.0000       12.04159    
   13.00000       100.0000       10.00000    
   14.00000       91.00000       9.539392    
   15.00000       95.00000       9.746795    
   16.00000       120.0000       10.95445    
   17.00000       124.0000       11.13553    
   18.00000       134.0000       11.57584    
   19.00000       331.0000       18.19341    
   20.00000       149.0000       12.20656    
   21.00000       154.0000       12.40967    
   22.00000       164.0000       12.80625    
   23.00000       196.0000       14.00000    
   24.00000       622.0000       24.93993    
   25.00000       1116.000       33.40659    
   26.00000       1158.000       34.02940    
   27.00000       1283.000       35.81899    
   28.00000       1295.000       35.98611    
   29.00000       1283.000       35.81899    
   30.00000       1100.000       33.16625    
   31.00000       1111.000       33.33167    
   32.00000       1285.000       35.84690    
   33.00000       1340.000       36.60601    
   34.00000       1270.000       35.63706    
   35.00000       1254.000       35.41186    
   36.00000       1353.000       36.78315    
   37.00000       1352.000       36.76955    
   38.00000       1266.000       35.58089    
   39.00000       1183.000       34.39477    
   40.00000       1373.000       37.05402    
   41.00000       1384.000       37.20215    
   42.00000       1328.000       36.44173    
   43.00000       1357.000       36.83748    
   44.00000       1446.000       38.02631    
   45.00000       1402.000       37.44329    
   46.00000       1396.000       37.36308    
   47.00000       1412.000       37.57659    
   48.00000       1351.000       36.75595    
   49.00000       1463.000       38.24918    
   50.00000       1233.000       35.11410    
   51.00000       1378.000       37.12142    
   52.00000       1424.000       37.73592    
   53.00000       1388.000       37.25587    
   54.00000       1482.000       38.49675    
   55.00000       1472.000       38.36665    
   56.00000       1409.000       37.53665    
   57.00000       1445.000       38.01316    
   58.00000       1406.000       37.49667    
   59.00000       1295.000       35.98611    
   60.00000       1883.000       43.39355    
   61.00000       2328.000       48.24935    
   62.00000       2363.000       48.61070    
   63.00000       1754.000       41.88078    
   64.00000       1597.000       39.96248    
   65.00000       1618.000       40.22437    
   66.00000       1640.000       40.49691    
   67.00000       1635.000       40.43513    
   68.00000       1631.000       40.38564    
   69.00000       1792.000       42.33202    
   70.00000       1654.000       40.66940    
   71.00000       1743.000       41.74925    
   72.00000       2371.000       48.69292    
   73.00000       4348.000       65.93937    
   74.00000       6141.000       78.36453    
   75.00000       4085.000       63.91401    
   76.00000       2325.000       48.21825    
