sample v-GeO2 1400K tst                                      23-11-07   200.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
  0.0000000E+00   1071.000       32.72614    
   1.000000       140.0000       11.83216    
   2.000000       154.0000       12.40967    
   3.000000       207.0000       14.38750    
   4.000000       299.0000       17.29162    
   5.000000       355.0000       18.84144    
   6.000000       468.0000       21.63331    
   7.000000       529.0000       23.00000    
   8.000000       589.0000       24.26932    
   9.000000       570.0000       23.87467    
   10.00000       521.0000       22.82542    
   11.00000       518.0000       22.75961    
   12.00000       473.0000       21.74856    
   13.00000       408.0000       20.19901    
   14.00000       378.0000       19.44222    
   15.00000       392.0000       19.79899    
   16.00000       435.0000       20.85665    
   17.00000       472.0000       21.72556    
   18.00000       485.0000       22.02271    
   19.00000       1131.000       33.63034    
   20.00000       636.0000       25.21904    
   21.00000       641.0000       25.31798    
   22.00000       691.0000       26.28688    
   23.00000       841.0000       29.00000    
   24.00000       2520.000       50.19960    
   25.00000       4325.000       65.76473    
   26.00000       4752.000       68.93475    
   27.00000       5291.000       72.73926    
   28.00000       5314.000       72.89719    
   29.00000       5426.000       73.66138    
   30.00000       4600.000       67.82330    
   31.00000       4609.000       67.88962    
   32.00000       5306.000       72.84229    
   33.00000       5684.000       75.39231    
   34.00000       5525.000       74.33035    
   35.00000       5442.000       73.76991    
   36.00000       6002.000       77.47257    
   37.00000       6015.000       77.55643    
   38.00000       5598.000       74.81979    
   39.00000       5410.000       73.55270    
   40.00000       6201.000       78.74643    
   41.00000       5828.000       76.34134    
   42.00000       6031.000       77.65952    
   43.00000       6310.000       79.43551    
   44.00000       6431.000       80.19352    
   45.00000       6546.000       80.90736    
   46.00000       6302.000       79.38514    
   47.00000       6450.000       80.31189    
   48.00000       6315.000       79.46697    
   49.00000       6535.000       80.83935    
   50.00000       5882.000       76.69420    
   51.00000       6346.000       79.66178    
   52.00000       6992.000       83.61818    
   53.00000       6887.000       82.98795    
   54.00000       7003.000       83.68393    
   55.00000       7263.000       85.22324    
   56.00000       7190.000       84.79387    
   57.00000       7159.000       84.61087    
   58.00000       7082.000       84.15462    
   59.00000       6280.000       79.24645    
   60.00000       7715.000       87.83508    
   61.00000       7848.000       88.58894    
   62.00000       8229.000       90.71384    
   63.00000       8470.000       92.03260    
   64.00000       8485.000       92.11406    
   65.00000       8445.000       91.89668    
   66.00000       8370.000       91.48770    
   67.00000       8321.000       91.21951    
   68.00000       7965.000       89.24685    
   69.00000       8799.000       93.80299    
   70.00000       7856.000       88.63408    
   71.00000       7993.000       89.40358    
   72.00000       8028.000       89.59911    
   73.00000       7630.000       87.34987    
   74.00000       7822.000       88.44207    
   75.00000       7705.000       87.77813    
   76.00000       7773.000       88.16462    
