sample v-GeO2 1350K tst                                      24-11-07  2000.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
  0.0000000E+00   10223.00       101.1088    
   1.000000       1298.000       36.02777    
   2.000000       1612.000       40.14972    
   3.000000       1872.000       43.26662    
   4.000000       2686.000       51.82663    
   5.000000       3838.000       61.95160    
   6.000000       4280.000       65.42171    
   7.000000       5195.000       72.07635    
   8.000000       5392.000       73.43024    
   9.000000       5736.000       75.73638    
   10.00000       5073.000       71.22500    
   11.00000       4964.000       70.45566    
   12.00000       4687.000       68.46167    
   13.00000       3993.000       63.19019    
   14.00000       3924.000       62.64184    
   15.00000       3765.000       61.35960    
   16.00000       3897.000       62.42596    
   17.00000       4228.000       65.02307    
   18.00000       4663.000       68.28616    
   19.00000       10866.00       104.2401    
   20.00000       5919.000       76.93504    
   21.00000       6423.000       80.14362    
   22.00000       6525.000       80.77747    
   23.00000       7784.000       88.22698    
   24.00000       24497.00       156.5152    
   25.00000       43741.00       209.1435    
   26.00000       47662.00       218.3163    
   27.00000       52098.00       228.2499    
   28.00000       53005.00       230.2281    
   29.00000       53045.00       230.3150    
   30.00000       44946.00       212.0047    
   31.00000       46320.00       215.2208    
   32.00000       51587.00       227.1277    
   33.00000       55640.00       235.8813    
   34.00000       53856.00       232.0690    
   35.00000       53625.00       231.5707    
   36.00000       57873.00       240.5681    
   37.00000       57998.00       240.8277    
   38.00000       53638.00       231.5988    
   39.00000       50096.00       223.8214    
   40.00000       59699.00       244.3338    
   41.00000       57639.00       240.0812    
   42.00000       57798.00       240.4121    
   43.00000       60092.00       245.1367    
   44.00000       60705.00       246.3839    
   45.00000       62039.00       249.0763    
   46.00000       60088.00       245.1285    
   47.00000       60376.00       245.7153    
   48.00000       59165.00       243.2386    
   49.00000       63592.00       252.1745    
   50.00000       55345.00       235.2552    
   51.00000       59653.00       244.2396    
   52.00000       66690.00       258.2441    
   53.00000       63867.00       252.7192    
   54.00000       65037.00       255.0235    
   55.00000       66772.00       258.4028    
   56.00000       66238.00       257.3674    
   57.00000       66730.00       258.3215    
   58.00000       64333.00       253.6395    
   59.00000       55014.00       234.5506    
   60.00000       70043.00       264.6564    
   61.00000       71652.00       267.6789    
   62.00000       76492.00       276.5719    
   63.00000       76315.00       276.2517    
   64.00000       76535.00       276.6496    
   65.00000       77869.00       279.0502    
   66.00000       76501.00       276.5881    
   67.00000       75423.00       274.6325    
   68.00000       74430.00       272.8186    
   69.00000       82663.00       287.5117    
   70.00000       73091.00       270.3535    
   71.00000       73760.00       271.5879    
   72.00000       77705.00       278.7562    
   73.00000       87604.00       295.9797    
   74.00000       97231.00       311.8188    
   75.00000       80952.00       284.5207    
   76.00000       73870.00       271.7904    
