sample v-GeO2 1400K                                          25-11-07   200.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
  0.0000000E+00   1084.000       32.92416    
   1.000000       126.0000       11.22497    
   2.000000       174.0000       13.19091    
   3.000000       175.0000       13.22876    
   4.000000       276.0000       16.61325    
   5.000000       401.0000       20.02498    
   6.000000       444.0000       21.07131    
   7.000000       525.0000       22.91288    
   8.000000       539.0000       23.21637    
   9.000000       534.0000       23.10844    
   10.00000       526.0000       22.93469    
   11.00000       493.0000       22.20360    
   12.00000       462.0000       21.49418    
   13.00000       441.0000       21.00000    
   14.00000       371.0000       19.26136    
   15.00000       373.0000       19.31321    
   16.00000       414.0000       20.34699    
   17.00000       415.0000       20.37155    
   18.00000       476.0000       21.81742    
   19.00000       1074.000       32.77194    
   20.00000       573.0000       23.93742    
   21.00000       643.0000       25.35744    
   22.00000       649.0000       25.47548    
   23.00000       780.0000       27.92848    
   24.00000       2511.000       50.10988    
   25.00000       4393.000       66.27971    
   26.00000       4805.000       69.31811    
   27.00000       5273.000       72.61543    
   28.00000       5439.000       73.74957    
   29.00000       5344.000       73.10267    
   30.00000       4489.000       67.00000    
   31.00000       4716.000       68.67314    
   32.00000       5316.000       72.91090    
   33.00000       5660.000       75.23297    
   34.00000       5438.000       73.74280    
   35.00000       5452.000       73.83766    
   36.00000       5773.000       75.98026    
   37.00000       5827.000       76.33479    
   38.00000       5408.000       73.53911    
   39.00000       5082.000       71.28815    
   40.00000       5972.000       77.27872    
   41.00000       5876.000       76.65508    
   42.00000       5846.000       76.45914    
   43.00000       6050.000       77.78175    
   44.00000       6010.000       77.52419    
   45.00000       6416.000       80.09994    
   46.00000       6103.000       78.12170    
   47.00000       6053.000       77.80103    
   48.00000       6075.000       77.94228    
   49.00000       6376.000       79.84986    
   50.00000       5682.000       75.37904    
   51.00000       6271.000       79.18964    
   52.00000       6805.000       82.49242    
   53.00000       6604.000       81.26500    
   54.00000       6560.000       80.99383    
   55.00000       6842.000       82.71638    
   56.00000       6783.000       82.35897    
   57.00000       6860.000       82.82512    
   58.00000       6718.000       81.96341    
   59.00000       5677.000       75.34587    
   60.00000       7268.000       85.25256    
   61.00000       7407.000       86.06393    
   62.00000       7842.000       88.55507    
   63.00000       7951.000       89.16838    
   64.00000       7903.000       88.89882    
   65.00000       7958.000       89.20763    
   66.00000       7994.000       89.40917    
   67.00000       7852.000       88.61151    
   68.00000       7488.000       86.53323    
   69.00000       8482.000       92.09777    
   70.00000       7363.000       85.80792    
   71.00000       7516.000       86.69487    
   72.00000       7493.000       86.56212    
   73.00000       7479.000       86.48121    
   74.00000       7610.000       87.23531    
   75.00000       7486.000       86.52168    
   76.00000       7536.000       86.81013    
