sample v-GeO2 1300K x3                                       25-11-07   500.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
  0.0000000E+00   2638.000       51.36147    
   1.000000       339.0000       18.41195    
   2.000000       363.0000       19.05256    
   3.000000       497.0000       22.29350    
   4.000000       740.0000       27.20294    
   5.000000       866.0000       29.42788    
   6.000000       1090.000       33.01515    
   7.000000       1309.000       36.18010    
   8.000000       1320.000       36.33180    
   9.000000       1369.000       37.00000    
   10.00000       1338.000       36.57868    
   11.00000       1282.000       35.80503    
   12.00000       1185.000       34.42383    
   13.00000       1075.000       32.78719    
   14.00000       910.0000       30.16621    
   15.00000       957.0000       30.93542    
   16.00000       942.0000       30.69202    
   17.00000       1050.000       32.40370    
   18.00000       1225.000       35.00000    
   19.00000       2669.000       51.66236    
   20.00000       1457.000       38.17067    
   21.00000       1521.000       39.00000    
   22.00000       1662.000       40.76764    
   23.00000       1963.000       44.30576    
   24.00000       5916.000       76.91553    
   25.00000       10954.00       104.6614    
   26.00000       12028.00       109.6722    
   27.00000       12882.00       113.4989    
   28.00000       13218.00       114.9696    
   29.00000       13337.00       115.4859    
   30.00000       11390.00       106.7239    
   31.00000       11980.00       109.4532    
   32.00000       13163.00       114.7301    
   33.00000       14070.00       118.6170    
   34.00000       13404.00       115.7756    
   35.00000       13460.00       116.0172    
   36.00000       14620.00       120.9132    
   37.00000       14670.00       121.1198    
   38.00000       13400.00       115.7584    
   39.00000       12573.00       112.1294    
   40.00000       15081.00       122.8047    
   41.00000       14476.00       120.3163    
   42.00000       14613.00       120.8842    
   43.00000       15153.00       123.0975    
   44.00000       15241.00       123.4544    
   45.00000       15471.00       124.3825    
   46.00000       15020.00       122.5561    
   47.00000       15146.00       123.0691    
   48.00000       14949.00       122.2661    
   49.00000       15903.00       126.1071    
   50.00000       14177.00       119.0672    
   51.00000       14943.00       122.2416    
   52.00000       16895.00       129.9808    
   53.00000       16219.00       127.3538    
   54.00000       16434.00       128.1952    
   55.00000       17052.00       130.5833    
   56.00000       16517.00       128.5185    
   57.00000       16785.00       129.5569    
   58.00000       16163.00       127.1338    
   59.00000       14138.00       118.9033    
   60.00000       18340.00       135.4253    
   61.00000       19356.00       139.1258    
   62.00000       19646.00       140.1642    
   63.00000       19670.00       140.2498    
   64.00000       19445.00       139.4453    
   65.00000       19753.00       140.5454    
   66.00000       19855.00       140.9078    
   67.00000       19274.00       138.8308    
   68.00000       18895.00       137.4591    
   69.00000       20816.00       144.2775    
   70.00000       18641.00       136.5320    
   71.00000       18671.00       136.6419    
   72.00000       19416.00       139.3413    
   73.00000       19771.00       140.6094    
   74.00000       20581.00       143.4608    
   75.00000       18856.00       137.3172    
   76.00000       18441.00       135.7976    
