sample v-GeO2 1200K x3                                       25-11-07  2000.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
  0.0000000E+00   10407.00       102.0147    
   1.000000       1265.000       35.56684    
   2.000000       1506.000       38.80722    
   3.000000       1867.000       43.20879    
   4.000000       2805.000       52.96225    
   5.000000       3711.000       60.91798    
   6.000000       4348.000       65.93937    
   7.000000       5300.000       72.80110    
   8.000000       5409.000       73.54591    
   9.000000       5438.000       73.74280    
   10.00000       5052.000       71.07742    
   11.00000       5028.000       70.90839    
   12.00000       4633.000       68.06615    
   13.00000       4048.000       63.62389    
   14.00000       3788.000       61.54673    
   15.00000       3663.000       60.52272    
   16.00000       3776.000       61.44917    
   17.00000       4031.000       63.49016    
   18.00000       4707.000       68.60758    
   19.00000       11222.00       105.9339    
   20.00000       5750.000       75.82876    
   21.00000       6295.000       79.34103    
   22.00000       6443.000       80.26830    
   23.00000       7895.000       88.85381    
   24.00000       23867.00       154.4895    
   25.00000       42207.00       205.4434    
   26.00000       45826.00       214.0701    
   27.00000       50017.00       223.6448    
   28.00000       51253.00       226.3913    
   29.00000       50384.00       224.4638    
   30.00000       43301.00       208.0889    
   31.00000       44734.00       211.5041    
   32.00000       49180.00       221.7656    
   33.00000       52774.00       229.7259    
   34.00000       51105.00       226.0641    
   35.00000       50325.00       224.3323    
   36.00000       54674.00       233.8247    
   37.00000       54541.00       233.5401    
   38.00000       51303.00       226.5017    
   39.00000       47344.00       217.5868    
   40.00000       55341.00       235.2467    
   41.00000       53218.00       230.6903    
   42.00000       53403.00       231.0909    
   43.00000       55765.00       236.1461    
   44.00000       56090.00       236.8333    
   45.00000       56908.00       238.5540    
   46.00000       54645.00       233.7627    
   47.00000       54337.00       233.1030    
   48.00000       53604.00       231.5254    
   49.00000       56778.00       238.2813    
   50.00000       49233.00       221.8851    
   51.00000       53056.00       230.3389    
   52.00000       58176.00       241.1970    
   53.00000       55834.00       236.2922    
   54.00000       55876.00       236.3810    
   55.00000       57481.00       239.7520    
   56.00000       57049.00       238.8493    
   57.00000       56365.00       237.4131    
   58.00000       54567.00       233.5958    
   59.00000       46899.00       216.5618    
   60.00000       64172.00       253.3219    
   61.00000       82177.00       286.6653    
   62.00000       71818.00       267.9888    
   63.00000       65104.00       255.1549    
   64.00000       63417.00       251.8273    
   65.00000       64211.00       253.3989    
   66.00000       63122.00       251.2409    
   67.00000       63090.00       251.1772    
   68.00000       62298.00       249.5957    
   69.00000       69234.00       263.1235    
   70.00000       62392.00       249.7839    
   71.00000       67081.00       259.0000    
   72.00000       82542.00       287.3012    
   73.00000       126899.0       356.2289    
   74.00000       162201.0       402.7419    
   75.00000       114936.0       339.0221    
   76.00000       77137.00       277.7355    
