Ni powder for wavelenght calibration                         25-11-07   200.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
  0.0000000E+00   471.0000       21.70253    
   1.000000       91.00000       9.539392    
   2.000000       75.00000       8.660254    
   3.000000       113.0000       10.63015    
   4.000000       190.0000       13.78405    
   5.000000       251.0000       15.84298    
   6.000000       276.0000       16.61325    
   7.000000       344.0000       18.54724    
   8.000000       292.0000       17.08801    
   9.000000       274.0000       16.55295    
   10.00000       265.0000       16.27882    
   11.00000       250.0000       15.81139    
   12.00000       227.0000       15.06652    
   13.00000       210.0000       14.49138    
   14.00000       215.0000       14.66288    
   15.00000       225.0000       15.00000    
   16.00000       212.0000       14.56022    
   17.00000       248.0000       15.74802    
   18.00000       313.0000       17.69181    
   19.00000       484.0000       22.00000    
   20.00000       375.0000       19.36492    
   21.00000       386.0000       19.64688    
   22.00000       380.0000       19.49359    
   23.00000       562.0000       23.70654    
   24.00000       1306.000       36.13862    
   25.00000       1839.000       42.88356    
   26.00000       2033.000       45.08880    
   27.00000       1978.000       44.47471    
   28.00000       1988.000       44.58699    
   29.00000       1899.000       43.57752    
   30.00000       1647.000       40.58325    
   31.00000       1638.000       40.47221    
   32.00000       1820.000       42.66146    
   33.00000       1918.000       43.79498    
   34.00000       1884.000       43.40507    
   35.00000       1854.000       43.05810    
   36.00000       1993.000       44.64303    
   37.00000       2073.000       45.53021    
   38.00000       1881.000       43.37050    
   39.00000       1739.000       41.70132    
   40.00000       2087.000       45.68370    
   41.00000       1865.000       43.18565    
   42.00000       1960.000       44.27189    
   43.00000       2045.000       45.22168    
   44.00000       1986.000       44.56456    
   45.00000       2089.000       45.70558    
   46.00000       1883.000       43.39355    
   47.00000       1947.000       44.12482    
   48.00000       1840.000       42.89522    
   49.00000       1943.000       44.07948    
   50.00000       1636.000       40.44750    
   51.00000       1869.000       43.23193    
   52.00000       2045.000       45.22168    
   53.00000       2016.000       44.89989    
   54.00000       1970.000       44.38468    
   55.00000       1983.000       44.53089    
   56.00000       1910.000       43.70355    
   57.00000       1993.000       44.64303    
   58.00000       1828.000       42.75512    
   59.00000       1549.000       39.35734    
   60.00000       1884.000       43.40507    
   61.00000       1953.000       44.19276    
   62.00000       2093.000       45.74932    
   63.00000       2099.000       45.81485    
   64.00000       2179.000       46.67976    
   65.00000       2079.000       45.59605    
   66.00000       2120.000       46.04346    
   67.00000       2056.000       45.34314    
   68.00000       2004.000       44.76606    
   69.00000       2175.000       46.63689    
   70.00000       2078.000       45.58509    
   71.00000       2057.000       45.35416    
   72.00000       2148.000       46.34652    
   73.00000       2056.000       45.34314    
   74.00000       2110.000       45.93474    
   75.00000       2129.000       46.14109    
   76.00000       2047.000       45.24379    
