Empty fournace avelenght calibration                         25-11-07  2000.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
  0.0000000E+00   1240.000       35.21363    
   1.000000       488.0000       22.09072    
   2.000000       567.0000       23.81176    
   3.000000       651.0000       25.51470    
   4.000000       1252.000       35.38361    
   5.000000       1984.000       44.54211    
   6.000000       2083.000       45.63990    
   7.000000       2137.000       46.22770    
   8.000000       1756.000       41.90466    
   9.000000       1336.000       36.55133    
   10.00000       1325.000       36.40055    
   11.00000       1325.000       36.40055    
   12.00000       1337.000       36.56501    
   13.00000       1328.000       36.44173    
   14.00000       1347.000       36.70150    
   15.00000       1332.000       36.49657    
   16.00000       1400.000       37.41657    
   17.00000       1638.000       40.47221    
   18.00000       2031.000       45.06662    
   19.00000       2636.000       51.34199    
   20.00000       2350.000       48.47680    
   21.00000       2620.000       51.18594    
   22.00000       2499.000       49.99000    
   23.00000       2973.000       54.52522    
   24.00000       5226.000       72.29108    
   25.00000       6891.000       83.01205    
   26.00000       7035.000       83.87491    
   27.00000       6985.000       83.57631    
   28.00000       6868.000       82.87340    
   29.00000       7010.000       83.72575    
   30.00000       6207.000       78.78452    
   31.00000       6095.000       78.07048    
   32.00000       6482.000       80.51087    
   33.00000       7010.000       83.72575    
   34.00000       6773.000       82.29824    
   35.00000       6688.000       81.78019    
   36.00000       7219.000       84.96470    
   37.00000       7037.000       83.88683    
   38.00000       6447.000       80.29321    
   39.00000       6155.000       78.45381    
   40.00000       7092.000       84.21401    
   41.00000       6724.000       82.00000    
   42.00000       6704.000       81.87796    
   43.00000       6876.000       82.92165    
   44.00000       6828.000       82.63171    
   45.00000       6989.000       83.60024    
   46.00000       6669.000       81.66395    
   47.00000       6680.000       81.73127    
   48.00000       6368.000       79.79975    
   49.00000       6712.000       81.92680    
   50.00000       6177.000       78.59389    
   51.00000       6516.000       80.72174    
   52.00000       7047.000       83.94641    
   53.00000       6641.000       81.49233    
   54.00000       6738.000       82.08532    
   55.00000       6842.000       82.71638    
   56.00000       6823.000       82.60146    
   57.00000       6744.000       82.12186    
   58.00000       6305.000       79.40403    
   59.00000       5501.000       74.16872    
   60.00000       6526.000       80.78366    
   61.00000       6688.000       81.78019    
   62.00000       7179.000       84.72898    
   63.00000       7412.000       86.09297    
   64.00000       7177.000       84.71718    
   65.00000       7046.000       83.94045    
   66.00000       7275.000       85.29361    
   67.00000       7183.000       84.75258    
   68.00000       6956.000       83.40264    
   69.00000       7605.000       87.20665    
   70.00000       6967.000       83.46856    
   71.00000       6948.000       83.35467    
   72.00000       6985.000       83.57631    
   73.00000       6904.000       83.09031    
   74.00000       7229.000       85.02353    
   75.00000       7016.000       83.76157    
   76.00000       7035.000       83.87491    
