Empty fournace avelenght calibration                         25-11-07   773.458K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
  0.0000000E+00   429.0000       20.71231    
   1.000000       208.0000       14.42220    
   2.000000       258.0000       16.06238    
   3.000000       262.0000       16.18641    
   4.000000       463.0000       21.51744    
   5.000000       751.0000       27.40438    
   6.000000       811.0000       28.47806    
   7.000000       780.0000       27.92848    
   8.000000       662.0000       25.72936    
   9.000000       538.0000       23.19483    
   10.00000       501.0000       22.38303    
   11.00000       518.0000       22.75961    
   12.00000       547.0000       23.38803    
   13.00000       496.0000       22.27106    
   14.00000       525.0000       22.91288    
   15.00000       478.0000       21.86321    
   16.00000       567.0000       23.81176    
   17.00000       637.0000       25.23886    
   18.00000       816.0000       28.56571    
   19.00000       984.0000       31.36877    
   20.00000       983.0000       31.35283    
   21.00000       1032.000       32.12476    
   22.00000       941.0000       30.67572    
   23.00000       1157.000       34.01470    
   24.00000       2027.000       45.02222    
   25.00000       2657.000       51.54610    
   26.00000       2756.000       52.49762    
   27.00000       2802.000       52.93392    
   28.00000       2575.000       50.74446    
   29.00000       2668.000       51.65269    
   30.00000       2392.000       48.90808    
   31.00000       2352.000       48.49742    
   32.00000       2455.000       49.54796    
   33.00000       2662.000       51.59457    
   34.00000       2585.000       50.84290    
   35.00000       2610.000       51.08816    
   36.00000       2740.000       52.34501    
   37.00000       2744.000       52.38320    
   38.00000       2554.000       50.53711    
   39.00000       2283.000       47.78075    
   40.00000       2668.000       51.65269    
   41.00000       2574.000       50.73460    
   42.00000       2568.000       50.67544    
   43.00000       2669.000       51.66236    
   44.00000       2571.000       50.70503    
   45.00000       2716.000       52.11526    
   46.00000       2622.000       51.20547    
   47.00000       2552.000       50.51732    
   48.00000       2560.000       50.59644    
   49.00000       2591.000       50.90187    
   50.00000       2354.000       48.51804    
   51.00000       2411.000       49.10194    
   52.00000       2784.000       52.76362    
   53.00000       2619.000       51.17617    
   54.00000       2586.000       50.85273    
   55.00000       2656.000       51.53640    
   56.00000       2661.000       51.58488    
   57.00000       2630.000       51.28353    
   58.00000       2487.000       49.86983    
   59.00000       2115.000       45.98913    
   60.00000       2574.000       50.73460    
   61.00000       2655.000       51.52669    
   62.00000       2844.000       53.32917    
   63.00000       2663.000       51.60426    
   64.00000       2733.000       52.27810    
   65.00000       2713.000       52.08647    
   66.00000       2727.000       52.22068    
   67.00000       2840.000       53.29165    
   68.00000       2733.000       52.27810    
   69.00000       3034.000       55.08176    
   70.00000       2755.000       52.48809    
   71.00000       2635.000       51.33225    
   72.00000       2768.000       52.61179    
   73.00000       2708.000       52.03845    
   74.00000       2860.000       53.47897    
   75.00000       2827.000       53.16954    
   76.00000       2711.000       52.06726    
