Vanadium rnace avelenght calibration                         26-11-07  2000.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
  0.0000000E+00   7849.000       88.59458    
   1.000000       1159.000       34.04409    
   2.000000       1310.000       36.19392    
   3.000000       1525.000       39.05125    
   4.000000       2354.000       48.51804    
   5.000000       3460.000       58.82177    
   6.000000       3731.000       61.08191    
   7.000000       4278.000       65.40643    
   8.000000       4437.000       66.61081    
   9.000000       4413.000       66.43041    
   10.00000       4061.000       63.72598    
   11.00000       4047.000       63.61604    
   12.00000       3870.000       62.20932    
   13.00000       3558.000       59.64897    
   14.00000       3258.000       57.07889    
   15.00000       3222.000       56.76266    
   16.00000       3449.000       58.72819    
   17.00000       3632.000       60.26608    
   18.00000       4237.000       65.09224    
   19.00000       8986.000       94.79452    
   20.00000       5188.000       72.02777    
   21.00000       5571.000       74.63913    
   22.00000       5755.000       75.86172    
   23.00000       6833.000       82.66196    
   24.00000       19290.00       138.8884    
   25.00000       47856.00       218.7601    
   26.00000       53196.00       230.6426    
   27.00000       53775.00       231.8944    
   28.00000       51907.00       227.8311    
   29.00000       50669.00       225.0978    
   30.00000       43996.00       209.7522    
   31.00000       44944.00       212.0000    
   32.00000       50232.00       224.1250    
   33.00000       53481.00       231.2596    
   34.00000       51167.00       226.2012    
   35.00000       50984.00       225.7964    
   36.00000       55386.00       235.3423    
   37.00000       53883.00       232.1271    
   38.00000       51250.00       226.3846    
   39.00000       48621.00       220.5017    
   40.00000       54806.00       234.1068    
   41.00000       52463.00       229.0480    
   42.00000       52417.00       228.9476    
   43.00000       54341.00       233.1116    
   44.00000       54706.00       233.8931    
   45.00000       55114.00       234.7637    
   46.00000       52768.00       229.7129    
   47.00000       52936.00       230.0782    
   48.00000       51323.00       226.5458    
   49.00000       54410.00       233.2595    
   50.00000       47950.00       218.9749    
   51.00000       51033.00       225.9048    
   52.00000       55379.00       235.3274    
   53.00000       52690.00       229.5430    
   54.00000       52673.00       229.5060    
   55.00000       53207.00       230.6664    
   56.00000       52538.00       229.2117    
   57.00000       52143.00       228.3484    
   58.00000       50203.00       224.0603    
   59.00000       45054.00       212.2593    
   60.00000       52440.00       228.9978    
   61.00000       52587.00       229.3186    
   62.00000       55951.00       236.5396    
   63.00000       55444.00       235.4655    
   64.00000       55388.00       235.3466    
   65.00000       56546.00       237.7940    
   66.00000       54860.00       234.2221    
   67.00000       54674.00       233.8247    
   68.00000       53907.00       232.1788    
   69.00000       59809.00       244.5588    
   70.00000       53591.00       231.4973    
   71.00000       54422.00       233.2852    
   72.00000       54835.00       234.1687    
   73.00000       54173.00       232.7509    
   74.00000       56014.00       236.6728    
   75.00000       54207.00       232.8240    
   76.00000       55027.00       234.5783    
