Vanadium                                                     26-11-07  2000.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00  0.2000000       0.0
  0.0000000E+00   7933.000       89.06739    
  0.2000000       1183.000       34.39477    
  0.4000000       1410.000       37.54996    
  0.6000000       1662.000       40.76764    
  0.8000000       2365.000       48.63127    
   1.000000       3457.000       58.79626    
   1.200000       3743.000       61.18006    
   1.400000       4382.000       66.19668    
   1.600000       4554.000       67.48333    
   1.800000       4335.000       65.84071    
   2.000000       4041.000       63.56886    
   2.200000       4041.000       63.56886    
   2.400000       3759.000       61.31068    
   2.600000       3486.000       59.04236    
   2.800000       3304.000       57.48043    
   3.000000       3246.000       56.97368    
   3.200000       3473.000       58.93216    
   3.400000       3720.000       60.99180    
   3.600000       4143.000       64.36614    
   3.800000       8779.000       93.69632    
   4.000000       5048.000       71.04928    
   4.200000       5482.000       74.04053    
   4.400000       5640.000       75.09993    
   4.600000       6808.000       82.51060    
   4.800000       19480.00       139.5708    
   5.000000       48256.00       219.6725    
   5.200000       52824.00       229.8347    
   5.400000       53661.00       231.6484    
   5.600000       52320.00       228.7357    
   5.800000       51476.00       226.8832    
   6.000000       43842.00       209.3848    
   6.200000       44930.00       211.9670    
   6.400000       49627.00       222.7712    
   6.600000       53174.00       230.5949    
   6.800000       50950.00       225.7211    
   7.000000       50686.00       225.1355    
   7.200000       54768.00       234.0256    
   7.400000       54350.00       233.1309    
   7.600000       50793.00       225.3730    
   7.800000       48485.00       220.1931    
   8.000000       54812.00       234.1196    
   8.200000       52690.00       229.5430    
   8.400001       52724.00       229.6171    
   8.600000       54737.00       233.9594    
   8.800000       54183.00       232.7724    
   9.000000       54997.00       234.5144    
   9.200000       52672.00       229.5038    
   9.400001       52539.00       229.2139    
   9.600000       51736.00       227.4555    
   9.800000       54467.00       233.3817    
   10.00000       47345.00       217.5891    
   10.20000       50127.00       223.8906    
   10.40000       55211.00       234.9702    
   10.60000       52284.00       228.6570    
   10.80000       52608.00       229.3643    
   11.00000       53420.00       231.1277    
   11.20000       52941.00       230.0891    
   11.40000       52019.00       228.0767    
   11.60000       50114.00       223.8616    
   11.80000       43850.00       209.4039    
   12.00000       52273.00       228.6329    
   12.20000       52686.00       229.5343    
   12.40000       55553.00       235.6968    
   12.60000       55750.00       236.1144    
   12.80000       55331.00       235.2254    
   13.00000       56074.00       236.7995    
   13.20000       55152.00       234.8446    
   13.40000       54754.00       233.9957    
   13.60000       53546.00       231.4001    
   13.80000       59832.00       244.6058    
   14.00000       53580.00       231.4735    
   14.20000       53364.00       231.0065    
   14.40000       54480.00       233.4095    
   14.60000       54080.00       232.5511    
   14.80000       55228.00       235.0064    
   15.00000       54166.00       232.7359    
   15.20000       54824.00       234.1452    
   15.40000       54985.00       234.4888    
   15.60000       51407.00       226.7311    
   15.80000       45814.00       214.0421    
   16.00000       55850.00       236.3260    
   16.20000       54952.00       234.4184    
   16.40000       55771.00       236.1588    
   16.60000       56658.00       238.0294    
   16.80000       56962.00       238.6671    
   17.00000       57247.00       239.2635    
   17.20000       54695.00       233.8696    
   17.40000       56481.00       237.6573    
   17.60000       57203.00       239.1715    
   17.80000       60150.00       245.2550    
   18.00000       53756.00       231.8534    
   18.20000       55309.00       235.1786    
   18.40000       56625.00       237.9601    
   18.60000       55164.00       234.8702    
   18.80000       56528.00       237.7562    
   19.00000       55410.00       235.3933    
   19.20000       55912.00       236.4572    
   19.40000       56896.00       238.5288    
   19.60000       55031.00       234.5869    
   19.80000       51935.00       227.8925    
   20.00000       52859.00       229.9109    
   20.20000       54524.00       233.5038    
   20.40000       55459.00       235.4973    
   20.60000       57848.00       240.5161    
   20.80000       57740.00       240.2915    
   21.00000       57953.00       240.7343    
   21.20000       56277.00       237.2277    
   21.40000       58722.00       242.3262    
   21.60000       57109.00       238.9749    
   21.80000       60405.00       245.7743    
   22.00000       56937.00       238.6147    
   22.20000       59891.00       244.7264    
   22.40000       62144.00       249.2870    
   22.60000       57630.00       240.0625    
   22.80000       57893.00       240.6096    
   23.00000       56974.00       238.6923    
   23.20000       57618.00       240.0375    
   23.40000       55439.00       235.4549    
   23.60000       52836.00       229.8608    
   23.80000       46306.00       215.1883    
   24.00000       59351.00       243.6206    
   24.20000       55163.00       234.8680    
   24.40000       58268.00       241.3876    
   24.60000       58626.00       242.1281    
   24.80000       56524.00       237.7478    
   25.00000       56978.00       238.7007    
   25.20000       57097.00       238.9498    
   25.40000       58307.00       241.4684    
   25.60000       54604.00       233.6750    
   25.80000       59512.00       243.9508    
   26.00000       54699.00       233.8782    
   26.20000       56324.00       237.3268    
   26.40000       58138.00       241.1182    
   26.60000       55711.00       236.0318    
   26.80000       56108.00       236.8713    
   27.00000       55078.00       234.6870    
   27.20000       56279.00       237.2319    
   27.40000       57306.00       239.3867    
   27.60000       54586.00       233.6365    
   27.80000       56592.00       237.8907    
   28.00000       53646.00       231.6161    
   28.20000       54189.00       232.7853    
   28.40000       55119.00       234.7744    
   28.60000       56750.00       238.2226    
   28.80000       56684.00       238.0840    
   29.00000       55496.00       235.5759    
   29.20000       55991.00       236.6242    
   29.40000       57949.00       240.7260    
   29.60000       55773.00       236.1631    
   29.80000       59284.00       243.4831    
   30.00000       54404.00       233.2466    
   30.20000       56262.00       237.1961    
   30.40000       58485.00       241.8367    
   30.60000       56177.00       237.0169    
   30.80000       56797.00       238.3212    
   31.00000       54414.00       233.2681    
   31.20000       56951.00       238.6441    
   31.40000       56173.00       237.0084    
   31.60000       52260.00       228.6045    
   31.80000       40352.00       200.8781    
   32.00000       59318.00       243.5529    
   32.20000       56931.00       238.6022    
   32.40000       57079.00       238.9121    
   32.60000       57414.00       239.6122    
   32.80000       57372.00       239.5245    
   33.00000       57394.00       239.5704    
   33.20000       57178.00       239.1192    
   33.40000       57603.00       240.0063    
   33.60000       54837.00       234.1730    
   33.80000       59244.00       243.4009    
   34.00000       55510.00       235.6056    
   34.20000       55142.00       234.8233    
   34.40000       56866.00       238.4659    
   34.60000       53584.00       231.4822    
   34.80000       53355.00       230.9870    
   35.00000       55394.00       235.3593    
   35.20000       57236.00       239.2405    
   35.40000       55017.00       234.5570    
   35.60000       52943.00       230.0935    
   35.80000       52265.00       228.6154    
   36.00000       56883.00       238.5016    
   36.20000       55848.00       236.3218    
   36.40000       56777.00       238.2793    
   36.60000       58173.00       241.1908    
   36.80000       57517.00       239.8270    
   37.00000       58820.00       242.5284    
   37.20000       57039.00       238.8284    
   37.40000       57956.00       240.7405    
   37.60000       55575.00       235.7435    
   37.80000       59212.00       243.3352    
   38.00000       55014.00       234.5506    
   38.20000       55358.00       235.2828    
   38.40000       56963.00       238.6692    
   38.60000       54750.00       233.9872    
   38.80000       55643.00       235.8877    
   39.00000       55772.00       236.1610    
   39.20000       55921.00       236.4762    
   39.40000       55770.00       236.1567    
   39.60000       55377.00       235.3232    
   39.80000       57079.00       238.9121    
   40.00000       52370.00       228.8449    
   40.20000       52397.00       228.9039    
   40.40000       54975.00       234.4675    
   40.60000       56833.00       238.3967    
   40.80000       55541.00       235.6714    
   41.00000       54746.00       233.9786    
   41.20000       54734.00       233.9530    
   41.40000       57061.00       238.8745    
   41.60000       54526.00       233.5080    
   41.80000       57738.00       240.2873    
   42.00000       51778.00       227.5478    
   42.20000       54058.00       232.5038    
   42.40000       57098.00       238.9519    
   42.60000       55191.00       234.9276    
   42.80000       54943.00       234.3992    
   43.00000       53575.00       231.4627    
   43.20000       54992.00       234.5037    
   43.40000       56140.00       236.9388    
   43.60000       52109.00       228.2740    
   43.80000       50635.00       225.0222    
   44.00000       58030.00       240.8942    
   44.20000       53466.00       231.2272    
   44.40000       54675.00       233.8269    
   44.60000       55452.00       235.4825    
   44.80000       54243.00       232.9013    
   45.00000       54246.00       232.9077    
   45.20000       54332.00       233.0923    
   45.40000       56154.00       236.9684    
   45.60000       54411.00       233.2617    
   45.80000       57900.00       240.6242    
   46.00000       51692.00       227.3587    
   46.20000       53521.00       231.3461    
   46.40000       55487.00       235.5568    
   46.60000       55005.00       234.5314    
   46.80000       54238.00       232.8905    
   47.00000       54474.00       233.3967    
   47.20000       55359.00       235.2849    
   47.40000       54786.00       234.0641    
   47.60000       53640.00       231.6031    
   47.80000       49307.00       222.0518    
   48.00000       57075.00       238.9037    
   48.20000       54041.00       232.4672    
   48.40000       56830.00       238.3904    
   48.60000       54747.00       233.9808    
   48.80000       54594.00       233.6536    
   49.00000       56678.00       238.0714    
   49.20000       54785.00       234.0620    
   49.40000       55693.00       235.9936    
   49.60000       53900.00       232.1637    
   49.80000       57251.00       239.2718    
   50.00000       51940.00       227.9035    
   50.20000       53682.00       231.6938    
   50.40000       55054.00       234.6359    
   50.60000       53406.00       231.0974    
   50.80000       53764.00       231.8707    
   51.00000       53143.00       230.5276    
   51.20000       54072.00       232.5339    
   51.40000       53671.00       231.6700    
   51.60000       50613.00       224.9733    
   51.80000       45675.00       213.7171    
   52.00000       55359.00       235.2849    
   52.20000       54701.00       233.8824    
   52.40000       53443.00       231.1774    
   52.60000       53770.00       231.8836    
   52.80000       53315.00       230.9004    
   53.00000       53729.00       231.7952    
   53.20000       54611.00       233.6900    
   53.40000       56727.00       238.1743    
   53.60000       53682.00       231.6938    
   53.80000       57241.00       239.2509    
   54.00000       51828.00       227.6576    
   54.20000       51746.00       227.4775    
   54.40000       54595.00       233.6557    
   54.60000       54327.00       233.0815    
   54.80000       53535.00       231.3763    
   55.00000       53037.00       230.2976    
   55.20000       54857.00       234.2157    
   55.40000       53217.00       230.6881    
   55.60000       51625.00       227.2113    
   55.80000       45907.00       214.2592    
   56.00000       55001.00       234.5229    
   56.20000       53756.00       231.8534    
   56.40000       53807.00       231.9634    
   56.60000       54896.00       234.2990    
   56.80000       53661.00       231.6484    
   57.00000       54069.00       232.5274    
   57.20000       54249.00       232.9142    
   57.40000       55142.00       234.8233    
   57.60000       52579.00       229.3011    
   57.80000       56424.00       237.5374    
   58.00000       52209.00       228.4929    
   58.20000       53174.00       230.5949    
   58.40000       54192.00       232.7917    
   58.60000       52316.00       228.7269    
   58.80000       52329.00       228.7553    
   59.00000       53150.00       230.5428    
   59.20000       54130.00       232.6586    
   59.40000       52835.00       229.8587    
   59.60000       50664.00       225.0867    
   59.80000       50575.00       224.8889    
   60.00000       54743.00       233.9722    
   60.20000       52358.00       228.8187    
   60.40000       53150.00       230.5428    
   60.60000       53126.00       230.4908    
   60.80000       52775.00       229.7281    
   61.00000       53376.00       231.0325    
   61.20000       52783.00       229.7455    
   61.40000       52170.00       228.4075    
   61.60000       51827.00       227.6554    
   61.80000       55813.00       236.2478    
   62.00000       50712.00       225.1933    
   62.20000       52948.00       230.1043    
   62.40000       54295.00       233.0129    
   62.60000       51841.00       227.6862    
   62.80000       52313.00       228.7204    
   63.00000       51441.00       226.8061    
   63.20000       52282.00       228.6526    
   63.40000       53955.00       232.2822    
   63.60000       50822.00       225.4373    
   63.80000       47594.00       218.1605    
   64.00000       48994.00       221.3459    
   64.20000       50870.00       225.5438    
   64.40000       52868.00       229.9304    
   64.60000       53291.00       230.8484    
   64.80000       52797.00       229.7760    
   65.00000       52790.00       229.7607    
   65.20000       52214.00       228.5038    
   65.40000       52086.00       228.2236    
   65.60000       50377.00       224.4482    
   65.80000       54140.00       232.6800    
   66.00000       49833.00       223.2331    
   66.20000       51181.00       226.2322    
   66.40000       52738.00       229.6476    
   66.60000       50607.00       224.9600    
   66.80000       50861.00       225.5238    
   67.00000       51546.00       227.0374    
   67.20000       51160.00       226.1858    
   67.40000       51676.00       227.3236    
   67.60000       51119.00       226.0951    
