Vanadium                                                     26-11-07   137.537K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
  0.0000000E+00   561.0000       23.68544    
   1.000000       74.00000       8.602325    
   2.000000       91.00000       9.539392    
   3.000000       125.0000       11.18034    
   4.000000       161.0000       12.68858    
   5.000000       205.0000       14.31782    
   6.000000       267.0000       16.34014    
   7.000000       299.0000       17.29162    
   8.000000       315.0000       17.74824    
   9.000000       329.0000       18.13836    
   10.00000       269.0000       16.40122    
   11.00000       283.0000       16.82260    
   12.00000       260.0000       16.12452    
   13.00000       231.0000       15.19868    
   14.00000       221.0000       14.86607    
   15.00000       220.0000       14.83240    
   16.00000       216.0000       14.69694    
   17.00000       245.0000       15.65248    
   18.00000       296.0000       17.20465    
   19.00000       589.0000       24.26932    
   20.00000       387.0000       19.67232    
   21.00000       398.0000       19.94994    
   22.00000       382.0000       19.54482    
   23.00000       456.0000       21.35416    
   24.00000       1299.000       36.04164    
   25.00000       3418.000       58.46367    
   26.00000       3683.000       60.68773    
   27.00000       3620.000       60.16644    
   28.00000       3579.000       59.82475    
   29.00000       3482.000       59.00847    
   30.00000       3016.000       54.91812    
   31.00000       3072.000       55.42562    
   32.00000       3497.000       59.13544    
   33.00000       3669.000       60.57227    
   34.00000       3549.000       59.57348    
   35.00000       3447.000       58.71116    
   36.00000       3704.000       60.86050    
   37.00000       3681.000       60.67125    
   38.00000       3581.000       59.84146    
   39.00000       3328.000       57.68882    
   40.00000       3737.000       61.13101    
   41.00000       3618.000       60.14981    
   42.00000       3554.000       59.61543    
   43.00000       3815.000       61.76569    
   44.00000       3732.000       61.09010    
   45.00000       3872.000       62.22540    
   46.00000       3646.000       60.38212    
   47.00000       3632.000       60.26608    
   48.00000       3541.000       59.50630    
   49.00000       3861.000       62.13694    
   50.00000       3313.000       57.55867    
   51.00000       3412.000       58.41233    
   52.00000       3811.000       61.73330    
   53.00000       3603.000       60.02499    
   54.00000       3808.000       61.70900    
   55.00000       3635.000       60.29096    
   56.00000       3609.000       60.07495    
   57.00000       3525.000       59.37171    
   58.00000       3426.000       58.53204    
   59.00000       3066.000       55.37147    
   60.00000       3645.000       60.37384    
   61.00000       3564.000       59.69925    
   62.00000       3959.000       62.92059    
   63.00000       3893.000       62.39391    
   64.00000       3844.000       62.00000    
   65.00000       3802.000       61.66036    
   66.00000       3833.000       61.91123    
   67.00000       3797.000       61.61980    
   68.00000       3735.000       61.11465    
   69.00000       4147.000       64.39720    
   70.00000       3790.000       61.56298    
   71.00000       3744.000       61.18823    
   72.00000       3764.000       61.35145    
   73.00000       3767.000       61.37589    
   74.00000       3750.000       61.23724    
   75.00000       3776.000       61.44917    
   76.00000       3828.000       61.87083    
   77.00000       3764.000       61.35145    
