Cd 11mm Room Temperature                                     29-11-07  1417.397K
                                                                                
  XO,DX,Lambda :    1.000000       1.000000       0.0
   1.000000       617.0000       24.83949    
   2.000000       293.0000       17.11724    
   3.000000       354.0000       18.81489    
   4.000000       404.0000       20.09975    
   5.000000       750.0000       27.38613    
   6.000000       1157.000       34.01470    
   7.000000       1235.000       35.14257    
   8.000000       1336.000       36.55133    
   9.000000       1041.000       32.26453    
   10.00000       934.0000       30.56141    
   11.00000       769.0000       27.73085    
   12.00000       775.0000       27.83882    
   13.00000       836.0000       28.91366    
   14.00000       843.0000       29.03446    
   15.00000       862.0000       29.35984    
   16.00000       801.0000       28.30194    
   17.00000       901.0000       30.01666    
   18.00000       1088.000       32.98484    
   19.00000       1320.000       36.33180    
   20.00000       1674.000       40.91455    
   21.00000       1545.000       39.30649    
   22.00000       1746.000       41.78516    
   23.00000       1626.000       40.32369    
   24.00000       1978.000       44.47471    
   25.00000       2715.000       52.10566    
   26.00000       2578.000       50.77401    
   27.00000       2386.000       48.84670    
   28.00000       2201.000       46.91482    
   29.00000       2005.000       44.77723    
   30.00000       2155.000       46.42198    
   31.00000       1975.000       44.44097    
   32.00000       1859.000       43.11612    
   33.00000       1833.000       42.81355    
   34.00000       2072.000       45.51923    
   35.00000       1814.000       42.59108    
   36.00000       1772.000       42.09513    
   37.00000       2017.000       44.91102    
   38.00000       1971.000       44.39595    
   39.00000       1901.000       43.60046    
   40.00000       1721.000       41.48494    
   41.00000       2005.000       44.77723    
   42.00000       1880.000       43.35897    
   43.00000       1875.000       43.30127    
   44.00000       1862.000       43.15090    
   45.00000       1895.000       43.53160    
   46.00000       2002.000       44.74371    
   47.00000       1869.000       43.23193    
   48.00000       1866.000       43.19722    
   49.00000       1863.000       43.16248    
   50.00000       1973.000       44.41846    
   51.00000       1717.000       41.43670    
   52.00000       1890.000       43.47413    
   53.00000       2182.000       46.71188    
   54.00000       2028.000       45.03332    
   55.00000       2017.000       44.91102    
   56.00000       1975.000       44.44097    
   57.00000       2068.000       45.47527    
   58.00000       2186.000       46.75468    
   59.00000       2072.000       45.51923    
   60.00000       1800.000       42.42641    
   61.00000       2133.000       46.18441    
   62.00000       2273.000       47.67599    
   63.00000       2323.000       48.19751    
   64.00000       2435.000       49.34572    
   65.00000       2411.000       49.10194    
   66.00000       2440.000       49.39635    
   67.00000       2416.000       49.15282    
   68.00000       2467.000       49.66890    
   69.00000       2356.000       48.53864    
   70.00000       2596.000       50.95096    
   71.00000       2359.000       48.56954    
   72.00000       2399.000       48.97959    
   73.00000       2439.000       49.38623    
   74.00000       2394.000       48.92852    
   75.00000       2479.000       49.78956    
   76.00000       2449.000       49.48737    
   77.00000       2484.000       49.83974    
   78.00000       2464.000       49.63869    
   79.00000       2337.000       48.34253    
   80.00000       2091.000       45.72746    
   81.00000       2525.000       50.24938    
   82.00000       2539.000       50.38849    
   83.00000       2566.000       50.65570    
   84.00000       2740.000       52.34501    
   85.00000       2666.000       51.63332    
   86.00000       2693.000       51.89412    
   87.00000       2679.000       51.75906    
   88.00000       2637.000       51.35173    
   89.00000       2800.000       52.91503    
   90.00000       2835.000       53.24472    
   91.00000       2666.000       51.63332    
   92.00000       2637.000       51.35173    
   93.00000       2729.000       52.23983    
   94.00000       2645.000       51.42956    
   95.00000       2780.000       52.72570    
   96.00000       2638.000       51.36147    
   97.00000       2721.000       52.16320    
   98.00000       2749.000       52.43091    
   99.00000       2813.000       53.03772    
   100.0000       2568.000       50.67544    
   101.0000       2565.000       50.64583    
   102.0000       2782.000       52.74467    
   103.0000       2714.000       52.09607    
   104.0000       2829.000       53.18834    
   105.0000       2963.000       54.43344    
   106.0000       2884.000       53.70288    
   107.0000       2907.000       53.91660    
   108.0000       2848.000       53.36666    
   109.0000       2811.000       53.01886    
   110.0000       2910.000       53.94442    
   111.0000       2767.000       52.60228    
   112.0000       2878.000       53.64700    
   113.0000       3069.000       55.39856    
   114.0000       2864.000       53.51635    
   115.0000       3115.000       55.81218    
   116.0000       3050.000       55.22681    
   117.0000       2972.000       54.51605    
   118.0000       2788.000       52.80151    
   119.0000       2710.000       52.05766    
   120.0000       2443.000       49.42671    
   121.0000       3175.000       56.34714    
   122.0000       2918.000       54.01852    
   123.0000       2994.000       54.71746    
   124.0000       3197.000       56.54202    
   125.0000       2936.000       54.18487    
   126.0000       3090.000       55.58777    
   127.0000       3039.000       55.12712    
   128.0000       3189.000       56.47123    
   129.0000       2955.000       54.35991    
   130.0000       3214.000       56.69215    
   131.0000       2852.000       53.40412    
   132.0000       3015.000       54.90902    
   133.0000       3200.000       56.56854    
   134.0000       3054.000       55.26301    
   135.0000       3204.000       56.60389    
   136.0000       3065.000       55.36244    
