   h    k    l      d (Å)      F(real)      F(imag)          |F|         2θ          I    M
   1    1    1   2.087121    41.200000    -0.000000         41.2   20.11571  100.00000    8
   2    0    0   1.807500    41.200000    -0.000000         41.2   23.26807   56.54727    6
   2    2    0   1.278096    41.200000    -0.000000         41.2   33.14041   57.78531   12
   3    1    1   1.089964    41.200000    -0.000000         41.2   39.07392   85.48236   24
   2    2    2   1.043561    41.200000    -0.000000         41.2   40.88717   26.27040    8
   4    0    0   0.903750    41.200000    -0.000000         41.2   47.57172   15.13168    6
   3    3    1   0.829338    41.200000    -0.000000         41.2   52.14489   51.92433   24
   4    2    0   0.808339    41.200000    -0.000000         41.2   53.60608   49.64186   24
   4    2    2   0.737909    41.200000    -0.000000         41.2   59.20285   42.46628   24
   3    3    3   0.695707    41.200000    -0.000000         41.2   63.19213   12.84437    8
   5    1    1   0.695707    41.200000    -0.000000         41.2   63.19213   38.53310   24
   4    4    0   0.639048    41.200000    -0.000000         41.2   69.55344   16.85745   12
   5    3    1   0.611047    41.200000    -0.000000         41.2   73.24179   63.09271   48
   4    4    2   0.602500    41.200000    -0.000000         41.2   74.45470   30.91500   24
   6    0    0   0.602500    41.200000    -0.000000         41.2   74.45470    7.72875    6
   6    2    0   0.571582    41.200000    -0.000000         41.2   79.24167   28.76120   24
   5    3    3   0.551282    41.200000    -0.000000         41.2   82.78073   27.46996   24
   6    2    2   0.544982    41.200000    -0.000000         41.2   83.95361   27.09144   24
   4    4    4   0.521780    41.200000    -0.000000         41.2   88.62475    8.60040    8
   7    1    1   0.506201    41.200000    -0.000000         41.2   92.12041   25.04079   24
   5    5    1   0.506201    41.200000    -0.000000         41.2   92.12041   25.04079   24
   6    4    0   0.501310    41.200000    -0.000000         41.2   93.28674   24.82269   24
   6    4    2   0.483075    41.200000    -0.000000         41.2   97.97068   48.22671   48
   7    3    1   0.470633    41.200000    -0.000000         41.2  101.51745   47.48690   48
   5    5    3   0.470633    41.200000    -0.000000         41.2  101.51745   23.74345   24
   8    0    0   0.451875    41.200000    -0.000000         41.2  107.53768    5.85675    6
   7    3    3   0.441643    41.200000    -0.000000         41.2  111.24354   23.42392   24
   6    4    4   0.438383    41.200000    -0.000000         41.2  112.49894   23.45646   24
   8    2    0   0.438383    41.200000    -0.000000         41.2  112.49894   23.45646   24
   6    6    0   0.426032    41.200000    -0.000000         41.2  117.64550   11.88739   12
   8    2    2   0.426032    41.200000    -0.000000         41.2  117.64550   23.77477   24
   5    5    5   0.417424    41.200000    -0.000000         41.2  121.66821    8.08168    8
   7    5    1   0.417424    41.200000    -0.000000         41.2  121.66821   48.49011   48
   6    6    2   0.414669    41.200000    -0.000000         41.2  123.04742   24.45519   24
