   r (Ang),     Ge-Ge,     Ge-O ,     O-O  
   0.06545 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   0.13090 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   0.19635 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   0.26180 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   0.32725 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   0.39271 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   0.45816 ,         0.000000000000000 ,         0.196259946276188 ,         0.000000000000000 , 
   0.52361 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   0.58906 ,         0.000000000000000 ,         0.475219356039773 ,         0.000000000000000 , 
   0.65451 ,         0.000000000000000 ,         0.000000000000000 ,         0.192089808385320 , 
   0.71996 ,         0.000000000000000 ,         0.716017876951186 ,         0.238162277912012 , 
   0.78541 ,         0.000000000000000 ,         1.938875732992231 ,         1.401011294761757 , 
   0.85086 ,         0.000000000000000 ,         3.418347216067268 ,         2.671979648577171 , 
   0.91631 ,         0.000000000000000 ,         3.979330971904231 ,         3.186462152911179 , 
   0.98176 ,         0.000000000000000 ,         3.595022992210545 ,         2.135318954746106 , 
   1.04721 ,         0.000000000000000 ,         4.025021345318646 ,         2.777707391870636 , 
   1.11267 ,         0.000000000000000 ,         3.765486665985659 ,         2.493872800563232 , 
   1.17812 ,         0.000000000000000 ,         4.101928761435103 ,         2.194881670151315 , 
   1.24357 ,         0.000000000000000 ,         3.014648798593180 ,         2.076458466411263 , 
   1.30902 ,         0.000000000000000 ,         4.478454937375861 ,         1.801967245397594 , 
   1.37447 ,         0.000000000000000 ,         3.909291969742072 ,         1.917777032743973 , 
   1.43992 ,         0.000000000000000 ,         4.557021486258998 ,         1.866567983116915 , 
   1.50537 ,         0.000000000000000 ,         4.588198347122703 ,         1.925829669735514 , 
   1.57082 ,         0.000000000000000 ,         4.347641859212417 ,         2.085742983064239 , 
   1.63627 ,         1.173737641634022 ,         5.039362009416433 ,         1.891486652719946 , 
   1.70172 ,         1.199428643099332 ,         4.602226796401571 ,         1.677713759691284 , 
   1.76718 ,         1.165201034089487 ,         3.554191581660248 ,         1.608491422118748 , 
   1.83263 ,         0.738727706106986 ,         2.481731946864524 ,         1.593739068083750 , 
   1.89808 ,         0.688664320495455 ,         0.813176923939751 ,         1.577161431792637 , 
   1.96353 ,         0.815128788991463 ,         0.406692909689255 ,         2.018436881565382 , 
   2.02898 ,         0.924106746989765 ,         0.451042215906561 ,         1.790309326145309 , 
   2.09443 ,         0.942670814924001 ,         0.517360318953301 ,         1.755263804859381 , 
   2.15988 ,         1.205516492207317 ,         0.415721485405441 ,         1.509284414947645 , 
   2.22533 ,         0.968644035733960 ,         0.441623783096934 ,         1.388556065682206 , 
   2.29078 ,         0.756486115149786 ,         0.621193902467676 ,         1.561433647856714 , 
   2.35623 ,         0.804426167052603 ,         0.468245214844114 ,         1.535230212603653 , 
   2.42168 ,         1.071788428984941 ,         0.612146109138152 ,         1.397202267766848 , 
   2.48714 ,         0.641762500941601 ,         0.587024383137364 ,         1.231446536906120 , 
   2.55259 ,         0.990072391693291 ,         0.658636896350966 ,         1.257581551369175 , 
   2.61804 ,         0.917057033477090 ,         0.596016547435592 ,         1.063326784988443 , 
   2.68349 ,         0.895840547542638 ,         0.601680284412375 ,         1.223659594813479 , 
   2.74894 ,         1.028807477530822 ,         0.759034345579753 ,         0.833697353682926 , 
   2.81439 ,         0.981514511327684 ,         0.651207289403955 ,         0.998115577429981 , 
   2.87984 ,         1.136857837975741 ,         0.721455718663877 ,         0.898650080415987 , 
   2.94529 ,         0.972484365046135 ,         0.780129450248741 ,         0.906622633540120 , 
