Time       moves_acc moves_gen     G(r)_1     S(Q)_1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01
120217.768        5695       13975  0.512E+00  0.135E+01
120229.769        9435       29536  0.437E+00  0.124E+01
120241.771       12975       44872  0.381E+00  0.114E+01
120253.789       14814       52754  0.353E+00  0.109E+01
120305.803       15084       53897  0.349E+00  0.109E+01
120317.771       15635       56201  0.342E+00  0.107E+01
120329.800       16856       61522  0.325E+00  0.105E+01
120341.771       17970       66386  0.311E+00  0.102E+01
120353.771       19139       71969  0.296E+00  0.991E+00
120405.771       20260       77297  0.282E+00  0.968E+00
120417.774       21210       81636  0.272E+00  0.946E+00
120429.774       22603       88356  0.255E+00  0.917E+00
120441.771       24082       95405  0.237E+00  0.888E+00
120453.777       25544      102695  0.222E+00  0.862E+00
120505.770       26822      108913  0.209E+00  0.839E+00
120517.783       27833      114033  0.200E+00  0.820E+00
120529.783       29189      120645  0.189E+00  0.796E+00
120541.770       30718      127976  0.175E+00  0.771E+00
120553.770       32073      134690  0.164E+00  0.750E+00
120605.773       33446      141839  0.153E+00  0.728E+00
120617.773       34664      148377  0.144E+00  0.711E+00
120629.771       36307      157112  0.134E+00  0.688E+00
120641.773       37922      165709  0.123E+00  0.665E+00
120653.773       39089      171886  0.115E+00  0.650E+00
120705.771       40350      178468  0.108E+00  0.634E+00
120717.774       41574      185295  0.101E+00  0.619E+00
120729.785       42821      192423  0.950E-01  0.604E+00
120741.807       44181      200440  0.877E-01  0.589E+00
120753.773       45450      207905  0.818E-01  0.576E+00
120805.771       46519      214402  0.769E-01  0.566E+00
120817.773       48050      223800  0.707E-01  0.550E+00
120829.775       49385      231874  0.648E-01  0.538E+00
120841.774       50503      238933  0.612E-01  0.526E+00
120853.772       51510      245182  0.590E-01  0.516E+00
120905.773       52612      252645  0.547E-01  0.509E+00
120917.775       53742      260043  0.515E-01  0.500E+00
120929.774       54843      267456  0.479E-01  0.492E+00
120941.773       55723      273566  0.466E-01  0.485E+00
120953.789       56762      281278  0.439E-01  0.477E+00
121005.772       57616      287326  0.414E-01  0.472E+00
121017.770       58756      295414  0.392E-01  0.464E+00
121029.776       59856      303294  0.378E-01  0.456E+00
121041.771       60915      310976  0.366E-01  0.448E+00
121053.807       61946      318493  0.342E-01  0.443E+00
121105.778       62881      325427  0.325E-01  0.437E+00
121117.774       63811      332993  0.305E-01  0.433E+00
121129.772       64623      339409  0.302E-01  0.427E+00
121141.770       65593      347008  0.282E-01  0.422E+00
121153.771       66464      354332  0.269E-01  0.418E+00
121205.773       67424      362323  0.261E-01  0.412E+00
121217.771       68440      370612  0.247E-01  0.407E+00
121229.772       69389      378119  0.233E-01  0.404E+00
121241.776       70210      385310  0.227E-01  0.400E+00
121253.771       71078      392672  0.223E-01  0.396E+00
121305.771       71851      399359  0.210E-01  0.393E+00
