 Q (1/Ang),Ge-Ge,Ge-O ,O-O  
   0.46825 ,    -0.215773841062523E+01 ,     0.926327904958118E+00 ,    -0.531472647116741E+00 , 
   0.49828 ,    -0.203530972718848E+01 ,     0.106285172404590E+01 ,    -0.379021564773025E+00 , 
   0.52832 ,    -0.188367991495889E+01 ,     0.123231400955989E+01 ,    -0.174423448813998E+00 , 
   0.55835 ,    -0.171433278975404E+01 ,     0.142422002720322E+01 ,     0.689265181963243E-01 , 
   0.58839 ,    -0.154065584630874E+01 ,     0.162571489634240E+01 ,     0.333137387441945E+00 , 
   0.61842 ,    -0.137559514418521E+01 ,     0.182370770424374E+01 ,     0.598984564744017E+00 , 
   0.64846 ,    -0.122951740233575E+01 ,     0.200691961821102E+01 ,     0.849101452642663E+00 , 
   0.67849 ,    -0.110866390371315E+01 ,     0.216749894616109E+01 ,     0.107063803345188E+01 , 
   0.70853 ,    -0.101445393438866E+01 ,     0.230193871459744E+01 ,     0.125694482214601E+01 , 
   0.73856 ,    -0.943724377980627E+00 ,     0.241116949864564E+01 ,     0.140803584382809E+01 , 
   0.76860 ,    -0.889811050670446E+00 ,     0.249985504943497E+01 ,     0.152981534344772E+01 , 
   0.79863 ,    -0.844221551527278E+00 ,     0.257506147738870E+01 ,     0.163227634097417E+01 , 
   0.82867 ,    -0.798547963078206E+00 ,     0.264457636117312E+01 ,     0.172705456007997E+01 , 
   0.85870 ,    -0.746238287125011E+00 ,     0.271520417865781E+01 ,     0.182481881212459E+01 , 
   0.88874 ,    -0.683891029795987E+00 ,     0.279135203841451E+01 ,     0.193298433053931E+01 , 
   0.91878 ,    -0.611846079625293E+00 ,     0.287414996567377E+01 ,     0.205415214564411E+01 , 
   0.94881 ,    -0.533993189229792E+00 ,     0.296123865446405E+01 ,     0.218552492697093E+01 , 
   0.97885 ,    -0.456876298762587E+00 ,     0.304722746875903E+01 ,     0.231935924695161E+01 , 
   1.00888 ,    -0.388306336492338E+00 ,     0.312470188472799E+01 ,     0.244432287044479E+01 , 
   1.03892 ,    -0.335781326320468E+00 ,     0.318556538973728E+01 ,     0.254746871387179E+01 , 
   1.06895 ,    -0.305035498784292E+00 ,     0.322245224944394E+01 ,     0.261644161908721E+01 , 
   1.09899 ,    -0.298996734915889E+00 ,     0.322995116893929E+01 ,     0.264151425611687E+01 , 
   1.12902 ,    -0.317335324390792E+00 ,     0.320543201320815E+01 ,     0.261710362263884E+01 , 
