 Q (1/Ang),Ge-Ge,Ge-O ,O-O  
   0.46825 ,    -0.215773841062523E+01 ,     0.953857284404723E+00 ,    -0.522762846745166E+00 , 
   0.49828 ,    -0.203530972718848E+01 ,     0.108880128472408E+01 ,    -0.370792439389725E+00 , 
   0.52832 ,    -0.188367991495889E+01 ,     0.125069539951895E+01 ,    -0.168709450751826E+00 , 
   0.55835 ,    -0.171433278975404E+01 ,     0.143122578747658E+01 ,     0.708900528039345E-01 , 
   0.58839 ,    -0.154065584630874E+01 ,     0.162030618601888E+01 ,     0.331125685272009E+00 , 
   0.61842 ,    -0.137559514418521E+01 ,     0.180758439555435E+01 ,     0.593765266290751E+00 , 
   0.64846 ,    -0.122951740233575E+01 ,     0.198392894091325E+01 ,     0.842206028872734E+00 , 
   0.67849 ,    -0.110866390371315E+01 ,     0.214264595982177E+01 ,     0.106398251855525E+01 , 
   0.70853 ,    -0.101445393438866E+01 ,     0.228023034625586E+01 ,     0.125238649285360E+01 , 
   0.73856 ,    -0.943724377980627E+00 ,     0.239654210505997E+01 ,     0.140696095650433E+01 , 
   0.76860 ,    -0.889811050670446E+00 ,     0.249440238735959E+01 ,     0.153284221762455E+01 , 
   0.79863 ,    -0.844221551527278E+00 ,     0.257870485800370E+01 ,     0.163913088307547E+01 , 
   0.82867 ,    -0.798547963078206E+00 ,     0.265521893698073E+01 ,     0.173663781053670E+01 , 
   0.85870 ,    -0.746238287125011E+00 ,     0.272930829602542E+01 ,     0.183544615097962E+01 , 
   0.88874 ,    -0.683891029795987E+00 ,     0.280479360288214E+01 ,     0.194274166665057E+01 , 
   0.91878 ,    -0.611846079625293E+00 ,     0.288315340258762E+01 ,     0.206129240506311E+01 , 
   0.94881 ,    -0.533993189229792E+00 ,     0.296318906832062E+01 ,     0.218882241806113E+01 , 
   0.97885 ,    -0.456876298762587E+00 ,     0.304119246258514E+01 ,     0.231835059255294E+01 , 
   1.00888 ,    -0.388306336492338E+00 ,     0.311156481889320E+01 ,     0.243938834713931E+01 , 
   1.03892 ,    -0.335781326320468E+00 ,     0.316775871606799E+01 ,     0.253974149514919E+01 , 
   1.06895 ,    -0.305035498784292E+00 ,     0.320336503710151E+01 ,     0.260756753458675E+01 , 
   1.09899 ,    -0.298996734915889E+00 ,     0.321315117916814E+01 ,     0.263331414916005E+01 , 
   1.12902 ,    -0.317335324390792E+00 ,     0.319387654567802E+01 ,     0.261120847921377E+01 , 
   1.15906 ,    -0.356658399065948E+00 ,     0.314476097854027E+01 ,     0.254006755114792E+01 , 
   1.18909 ,    -0.411270941977037E+00 ,     0.306755052116711E+01 ,     0.242333604328502E+01 , 
   1.21913 ,    -0.474313376337242E+00 ,     0.296619901247015E+01 ,     0.226840102466361E+01 , 
   1.24916 ,    -0.539019215071382E+00 ,     0.284624952879384E+01 ,     0.208535738862353E+01 , 
