Time       moves_acc moves_gen     G(r)_1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01
022220.480           0           1  0.194E+01
022220.502           1           2  0.194E+01
022220.565           2           3  0.194E+01
022220.635           3           4  0.194E+01
022220.662           4           5  0.194E+01
022220.684           5           6  0.194E+01
022220.771           6           7  0.194E+01
022220.807           7           8  0.194E+01
022220.835           8           9  0.194E+01
022220.857           9          10  0.194E+01
022220.877          10          11  0.194E+01
022220.897          11          12  0.194E+01
022220.969          12          13  0.194E+01
022221.004          13          14  0.194E+01
022221.034          14          15  0.194E+01
022221.079          15          16  0.194E+01
022221.119          16          17  0.194E+01
022221.144          17          18  0.194E+01
022221.170          18          19  0.194E+01
022221.274          19          20  0.194E+01
022221.299          20          21  0.194E+01
022221.325          21          22  0.194E+01
022221.345          22          23  0.194E+01
022221.399          23          24  0.194E+01
022221.420          24          25  0.194E+01
022221.455          25          26  0.194E+01
022221.477          26          27  0.194E+01
022221.548          27          28  0.194E+01
022221.591          28          29  0.194E+01
022221.617          29          30  0.194E+01
022221.679          30          31  0.194E+01
022221.748          31          32  0.194E+01
022221.780          32          33  0.194E+01
022221.814          33          34  0.194E+01
022221.858          34          35  0.194E+01
022221.931          35          36  0.194E+01
022221.970          36          37  0.194E+01
022222.002          37          38  0.194E+01
022222.050          38          39  0.194E+01
022222.113          39          40  0.194E+01
022222.139          40          41  0.194E+01
022222.181          41          42  0.194E+01
022222.206          42          43  0.194E+01
022222.272          43          44  0.194E+01
022222.307          44          45  0.194E+01
022222.347          45          46  0.194E+01
022222.369          46          47  0.194E+01
022222.396          47          48  0.194E+01
022222.424          48          49  0.194E+01
022222.448          49          50  0.194E+01
022222.480          50          51  0.194E+01
022222.531          51          52  0.194E+01
022222.571          52          53  0.194E+01
022222.604          53          54  0.194E+01
022222.674          54          55  0.194E+01
022222.696          55          56  0.194E+01
022222.755          56          57  0.194E+01
022222.781          57          58  0.194E+01
022222.847          58          59  0.194E+01
022222.913          59          60  0.194E+01
022222.943          60          61  0.194E+01
022222.983          61          62  0.194E+01
022223.042          62          63  0.194E+01
022223.075          63          64  0.194E+01
022223.134          64          65  0.194E+01
022223.160          65          66  0.194E+01
022223.228          66          67  0.194E+01
022223.258          67          68  0.194E+01
022223.284          68          69  0.194E+01
022223.312          69          70  0.194E+01
022223.329          70          71  0.194E+01
022223.352          71          72  0.194E+01
022223.373          72          73  0.194E+01
022223.393          73          74  0.194E+01
022223.441          74          75  0.194E+01
022223.495          75          76  0.194E+01
022223.576          76          77  0.194E+01
022223.644          77          78  0.194E+01
022223.665          78          79  0.194E+01
022223.692          79          80  0.194E+01
022223.711          80          81  0.194E+01
022223.750          81          82  0.194E+01
022223.770          82          83  0.194E+01
022223.789          83          84  0.194E+01
022223.815          84          85  0.194E+01
022223.833          85          86  0.194E+01
022223.853          86          87  0.194E+01
022223.873          87          88  0.194E+01
022223.924          88          89  0.194E+01
022223.946          89          90  0.194E+01
022223.969          90          91  0.194E+01
022224.000          91          92  0.194E+01
022224.021          92          93  0.194E+01
022224.042          93          94  0.194E+01
022224.082          94          95  0.194E+01
022224.126          95          96  0.194E+01
022224.160          96          97  0.194E+01
022224.215          97          98  0.194E+01
022224.262          98          99  0.194E+01
022224.301          99         100  0.194E+01
022224.378         100         101  0.194E+01
022224.435         101         102  0.194E+01
022224.501         102         103  0.194E+01
022224.542         103         104  0.194E+01
022224.586         104         105  0.194E+01
022224.611         105         106  0.194E+01
