Time       moves_acc moves_gen
h/m/s/.th    WEIGHT PARAMETERS 
202352.850      629079      681593
202404.852     1065952     1157536
202416.852     1536562     1673335
202428.852     2038074     2220768
202440.856     2525284     2753187
202452.852     3011693     3284700
202504.853     3502173     3819582
202516.856     3991028     4356298
202528.852     4468596     4877418
202540.852     4953116     5407207
202552.852     5500546     6006830
202604.852     5984577     6538215
202616.856     6518464     7122510
202628.852     7045001     7697643
202640.850     7527192     8223817
202652.853     8032641     8775510
202704.852     8507981     9293011
202716.851     8993729     9824610
202728.851     9518407    10397429
202740.852    10051324    10979198
202752.856    10561211    11537969
202804.852    11119317    12148230
202816.852    11581723    12653748
202828.855    12046789    13161969
202840.852    12539491    13700372
202852.852    13011512    14216429
202904.852    13441082    14686668
202916.852    13923907    15213372
202928.851    14375453    15706803
202940.850    14832213    16204640
202952.852    15321783    16738710
203004.852    15827667    17291454
203016.851    16295957    17802830
203028.851    16729184    18276586
203040.852    17209124    18801693
203052.852    17697493    19333462
203104.850    18184234    19865139
203116.852    18667914    20393995
203128.856    19149534    20920663
203140.852    19630804    21449088
203152.852    20116217    21980731
203204.852    20601763    22512816
203216.852    21087083    23043835
203228.852    21569365    23571310
203240.856    22116800    24169758
203252.851    22604006    24702105
203304.852    23134998    25281944
203316.856    23684758    25882964
203328.852    24194859    26441001
203340.852    24676755    26968894
203352.856    25161225    27499351
203404.852    25647835    28030942
203416.852    26129164    28557246
203428.852    26610803    29083195
203440.856    27096260    29614709
203452.852    27581446    30145249
203504.856    28070112    30676984
203516.856    28548471    31200078
203528.856    29027491    31725400
203540.856    29511303    32254866
203552.851    29976851    32763785
203604.856    30454831    33286907
203616.852    30947363    33824415
203628.850    31438814    34361296
203640.852    31931631    34900270
203652.852    32423323    35437160
203704.856    32916457    35974937
203716.852    33406772    36511227
203728.852    33894415    37045503
203740.852    34383400    37579938
203752.852    34942477    38191378
203804.856    35505779    38805290
203816.856    35997292    39342050
203828.856    36487229    39879084
203840.856    36979846    40418049
203852.852    37468943    40951509
203904.856    37957258    41485855
203916.856    38449150    42022431
203928.852    38941715    42558864
203940.852    39430699    43093838
203952.852    39920075    43628463
204004.856    40410474    44164760
204016.850    40903305    44706412
204028.856    41399107    45246697
204040.852    41889357    45782902
204052.852    42379738    46319633
204104.856    42868749    46855558
204116.856    43358926    47393522
204128.852    43851213    47931626
204140.856    44339575    48465663
204152.856    44833512    49004814
204204.852    45334432    49552017
204216.856    45838795    50102441
204228.851    46328610    50636667
204240.852    46815466    51167787
204252.856    47306342    51703795
204304.856    47794445    52237107
204316.852    48280722    52768835
204328.856    48769654    53303671
204340.856    49257333    53836802
204352.856    49746531    54371169
204404.852    50235659    54906752
204416.856    50725009    55443284
204428.852    51214511    55979824
204440.852    51702311    56513635
204452.856    52194167    57051057
204504.852    52712354    57616294
204516.852    53271025    58225917
204528.856    53827008    58833122
204540.856    54316731    59368671
204552.852    54806934    59906418
204604.852    55298788    60444754
204616.856    55789608    60983654
204628.852    56277621    61516893
204640.856    56769081    62053974
204652.856    57261236    62592308
204704.856    57751576    63129625
204716.852    58244095    63667971
204728.856    58732797    64203033
204740.856    59222999    64738025
204752.852    59713443    65274032
204804.852    60206375    65811275
204816.856    60695508    66344961
204828.852    61186920    66881049
204840.856    61677915    67418476
204852.856    62171003    67958229
204904.856    62663618    68495021
204916.852    63156208    69033333
204928.852    63647979    69571225
204940.856    64136079    70103338
204952.852    64626541    70638223
205004.856    65115268    71172461
205016.856    65607782    71709796
205028.851    66099671    72246063
205040.852    66586468    72778444
205052.856    67075848    73315118
205104.856    67622454    73913754
205116.852    68187438    74528037
205128.852    68749488    75141335
205140.852    69311098    75752430
205152.852    69875728    76368223
205204.850    70438768    76983643
205216.856    71001123    77597278
205228.852    71559233    78206896
205240.852    72113483    78812274
205252.856    72669766    79421445
205304.852    73224224    80027494
205316.852    73783429    80636465
205328.852    74286525    81186365
205340.852    74839283    81790657
