Time       moves_acc moves_gen
h/m/s/.th    WEIGHT PARAMETERS 
013325.200      554008      605689
013337.203     1023140     1118231
013349.203     1473942     1611656
013401.202     1976705     2159926
013413.202     2481662     2710949
013425.203     2974338     3249555
013437.201     3470726     3790870
013449.201     3963917     4329569
013501.203     4424362     4832439
013513.202     4895011     5344543
013525.207     5351311     5843847
013537.200     5824968     6359974
013549.200     6325096     6904423
013601.202     6874573     7502149
013613.202     7437313     8114991
013625.207     7998111     8725711
013637.202     8521676     9296881
013649.207     9085750     9911337
013701.202     9578446    10448404
013713.200    10035614    10946687
013725.201    10509976    11464126
013737.201    10973319    11969312
013749.201    11449816    12488912
013801.202    11920988    13002067
013813.202    12401259    13526147
013825.202    12871225    14039613
013837.207    13348668    14559315
013849.202    13814722    15067837
013901.203    14253033    15545567
013913.202    14752568    16092132
013925.201    15259612    16646432
013937.201    15748001    17179163
013949.202    16282678    17762849
014001.201    16727611    18247652
014013.202    17224605    18789438
014025.203    17731131    19340792
014037.203    18170776    19818097
014049.203    18602909    20287672
014101.203    19062765    20787445
014113.201    19522081    21287528
014125.201    19986886    21794012
014137.201    20458626    22306511
014149.203    20931935    22821121
014201.209    21439683    23375651
014213.202    21867516    23841843
014225.207    22321735    24337190
014237.206    22818135    24879685
014249.207    23315684    25420702
014301.202    23806985    25955380
014313.200    24315182    26506946
014325.200    24874376    27116669
014337.202    25372766    27658730
014349.202    25819088    28143196
014401.203    26276531    28641390
014413.201    26730751    29134547
014425.203    27202793    29648614
014437.200    27672797    30160512
014449.202    28153971    30684116
014501.202    28674336    31248267
014513.203    29185982    31805306
014525.207    29693500    32358094
014537.202    30197556    32909499
014549.207    30701665    33459757
014601.202    31206530    34009918
014613.207    31710249    34557851
014625.207    32213305    35107309
014637.202    32717398    35657047
014649.202    33222319    36207376
014701.200    33720862    36750917
014713.203    34201495    37274133
014725.207    34685603    37801416
014737.207    35184018    38343685
014749.207    35665798    38867055
014801.201    36129269    39373692
014813.201    36627825    39915649
014825.202    37133874    40466121
014837.203    37564216    40933824
014849.202    38032280    41442525
014901.202    38509472    41960995
014913.207    39014139    42509636
014925.202    39526271    43067585
014937.202    40037290    43625258
014949.206    40552669    44187405
015001.207    41063634    44743816
015013.207    41574957    45302046
015025.203    42085751    45860798
015037.202    42584889    46404216
015049.200    43094002    46959051
015101.202    43606178    47517148
015113.203    44078000    48030412
015125.202    44547181    48541851
015137.202    45004932    49041224
015149.202    45512742    49596562
015201.207    46027295    50159031
015213.202    46540935    50718743
015225.202    47047325    51271752
015237.207    47537104    51805640
015249.202    48024599    52336683
015301.202    48528560    52886227
015313.207    49035517    53437010
015325.202    49594877    54044380
015337.202    50170390    54672200
015349.207    50737856    55290175
015401.207    51238576    55834406
015413.202    51736536    56375694
015425.203    52235488    56920907
015437.203    52728048    57457678
015449.202    53195493    57968072
015501.202    53742056    58564083
015513.202    54251242    59118241
015525.202    54772676    59686018
015537.203    55253074    60208159
015549.202    55689303    60683617
015601.203    56149570    61184467
015613.203    56629705    61706005
015625.203    57084185    62200378
015637.202    57527418    62681859
015649.202    57968829    63162561
015701.201    58392588    63624465
015713.203    58864717    64138400
015725.202    59329392    64642755
015737.203    59772227    65124431
015749.202    60200766    65590898
015801.202    60724845    66161974
015813.202    61240543    66725616
015825.202    61810732    67348130
015837.207    62380748    67967709
015849.207    62894027    68528571
015901.202    63410283    69091617
015913.202    63926853    69656195
015925.202    64440868    70216102
015937.206    64955765    70776294
015949.203    65437167    71300471
020001.207    65940918    71849200
020013.203    66447471    72398196
020025.203    66942211    72937862
020037.207    67446243    73485963
020049.201    67927726    74010245
020101.203    68465449    74595282
020113.207    69013040    75190901
020125.203    69478487    75697356
020137.203    69875470    76128350
020149.207    70349561    76644289
020201.202    70830925    77169169
020213.203    71289379    77668892
020225.204    71748481    78169016
020237.207    72251956    78718435
020249.202    72798982    79315111
020301.203    73348542    79913722
020313.202    73900830    80515698
