 Results from RMCProfile version 6.7.9.5

 (Version 6f format configuration file)                                          

 0 experiments   1 partials

 Partial g(r)'s are printed out below

   245  1 are NR and NPAR

   r (Ang)
   0.06545     0.00000
   0.13090     0.00000
   0.19635     0.00000
   0.26180     0.00000
   0.32725     0.00000
   0.39271     0.00000
   0.45816     0.00000
   0.52361     0.00000
   0.58906     0.00000
   0.65451     0.00000
   0.71996     0.00000
   0.78541     0.00000
   0.85086     0.00000
   0.91631     0.00000
   0.98176     0.00000
   1.04721     0.00000
   1.11267     0.00000
   1.17812     0.00000
   1.24357     0.00000
   1.30902     0.00000
   1.37447     0.00000
   1.43992     0.00000
   1.50537     0.00000
   1.57082     0.13406
   1.63627     0.67953
   1.70172     0.62827
   1.76718     0.90038
   1.83263     1.03422
   1.89808     0.73458
   1.96353     0.77223
   2.02898     1.12500
   2.09443     1.05579
   2.15988     0.81550
   2.22533     1.16905
   2.29078     0.94561
   2.35623     0.89381
   2.42168     0.81794
   2.48714     1.01612
   2.55259     0.99007
   2.61804     1.15839
   2.68349     0.87287
   2.74894     0.74424
   2.81439     1.00240
   2.87984     1.03713
   2.94529     1.20130
   3.01074     1.16789
   3.07619     1.06628
   3.14164     0.93852
   3.20710     0.90061
   3.27255     1.00395
   3.33800     1.18766
   3.40345     1.22810
   3.46890     1.07222
   3.53435     0.88722
   3.59980     1.16161
   3.66525     0.88654
   3.73070     0.86760
   3.79615     0.73463
   3.86161     0.84305
   3.92706     0.89027
   3.99251     0.94434
   4.05796     0.83376
   4.12341     0.82696
   4.18886     0.81075
   4.25431     0.87739
   4.31976     1.03716
   4.38521     0.98923
   4.45066     0.88519
   4.51611     0.82727
   4.58157     0.78805
   4.64702     0.94219
   4.71247     0.87150
   4.77792     0.94924
   4.84337     0.98017
   4.90882     1.18074
   4.97427     0.96269
   5.03972     0.89225
   5.10517     0.99646
   5.17062     0.98995
   5.23607     0.84469
   5.30153     0.91225
   5.36698     0.95904
   5.43243     1.00894
   5.49788     1.04526
   5.56333     1.07426
   5.62878     0.91890
   5.69423     0.92850
   5.75968     1.06709
   5.82513     0.92624
   5.89058     0.95821
   5.95604     1.03519
   6.02149     1.10862
   6.08694     0.96436
   6.15239     1.01824
   6.21784     0.92846
   6.28329     0.97626
   6.34874     0.94803
   6.41419     1.03331
   6.47964     0.92587
   6.54509     1.07349
   6.61054     1.07126
   6.67600     0.99098
   6.74145     0.90631
   6.80690     1.16030
   6.87235     1.02622
   6.93780     0.95540
   7.00325     1.07254
   7.06870     1.01635
   7.13415     0.95554
   7.19960     1.02760
   7.26505     1.04051
   7.33050     1.06511
   7.39596     1.02819
   7.46141     0.94487
   7.52686     1.05698
   7.59231     0.93839
   7.65776     1.02397
   7.72321     0.96232
   7.78866     0.98166
   7.85411     1.00023
   7.91956     0.96266
   7.98501     1.00402
   8.05046     0.98777
   8.11592     1.06231
   8.18137     0.97618
   8.24682     1.03858
   8.31227     0.94089
   8.37772     0.94274
   8.44317     0.97459
   8.50862     1.05562
   8.57407     1.03282
   8.63952     1.11696
   8.70497     1.01727
   8.77043     1.10537
   8.83588     1.03185
   8.90133     0.96871
   8.96678     1.05132
   9.03223     0.97530
   9.09768     1.03527
   9.16313     1.00083
   9.22858     0.96726
   9.29403     0.95943
   9.35948     1.01026
   9.42493     1.03353
   9.49039     0.92198
   9.55584     1.06337
   9.62129     0.97926
   9.68674     1.06480
   9.75219     0.97228
   9.81764     1.01428
   9.88309     0.97210
   9.94854     1.04961
  10.01399     1.03428
  10.07944     0.94274
  10.14489     0.93704
  10.21035     0.96950
  10.27580     0.95875
  10.34125     1.03018
  10.40670     0.93478
  10.47215     0.97442
  10.53760     0.99364
  10.60305     1.01672
  10.66850     0.97522
  10.73395     0.98202
  10.79940     1.01696
  10.86486     0.98513
  10.93031     1.03567
  10.99576     1.04938
  11.06121     0.98967
  11.12666     0.95802
  11.19211     1.00760
  11.25756     0.99069
  11.32301     0.99863
  11.38846     1.02672
  11.45391     0.97467
  11.51936     0.98482
  11.58482     0.96386
  11.65027     1.04569
  11.71572     0.97860
  11.78117     0.96418
  11.84662     1.04078
  11.91207     1.02471
  11.97752     1.02853
  12.04297     0.99799
  12.10842     1.01431
  12.17387     1.02687
  12.23932     0.94083
  12.30478     1.01279
  12.37023     0.99129
  12.43568     1.02581
  12.50113     1.01509
  12.56658     0.96684
  12.63203     1.00660
  12.69748     1.08244
  12.76293     0.98606
  12.82838     1.00920
  12.89383     0.98604
  12.95928     0.96035
  13.02474     1.03653
  13.09019     0.96923
  13.15564     0.97968
  13.22109     1.05802
  13.28654     0.98671
  13.35199     1.02346
  13.41744     1.04014
  13.48289     0.97638
  13.54834     1.04537
  13.61379     0.99072
  13.67925     0.96093
  13.74470     1.02097
  13.81015     0.97923
  13.87560     0.98462
  13.94105     1.04178
  14.00650     1.02364
  14.07195     1.03669
  14.13740     1.02629
  14.20285     1.00701
  14.26830     0.96529
  14.33375     1.00239
  14.39921     1.00845
  14.46466     0.98749
  14.53011     0.98566
  14.59556     1.02965
  14.66101     1.01894
  14.72646     0.98702
  14.79191     1.02971
  14.85736     0.98694
  14.92281     1.05778
  14.98826     0.97124
  15.05371     0.97158
  15.11917     1.01384
  15.18462     0.96709
  15.25007     0.98299
  15.31552     1.01128
  15.38097     1.02577
  15.44642     0.96648
  15.51187     1.01747
  15.57732     0.96190
  15.64277     1.01538
  15.70822     0.98548
  15.77368     0.98530
  15.83913     0.99498
  15.90458     0.94561
  15.97003     1.04878
  16.03548     0.97526
