Time       moves_acc moves_gen
h/m/s/.th    WEIGHT PARAMETERS 
112836.535      371991      406282
112848.535      806708      881289
112900.535     1237950     1351647
112912.534     1660170     1812092
112924.535     2077722     2268432
112936.534     2512108     2742252
112948.534     2938621     3209010
113000.534     3361240     3670656
113012.535     3779716     4127010
113024.535     4199446     4583831
113036.534     4622886     5044043
113048.535     5050461     5509488
113100.535     5471255     5967715
113112.535     5873498     6406686
113124.534     6298610     6871467
113136.534     6719686     7330537
113148.534     7153252     7803549
113200.534     7586702     8277892
113212.534     8013153     8742290
113224.534     8447769     9216428
113236.534     8883913     9693079
113248.534     9312801    10161316
113300.535     9735173    10621422
113312.535    10152812    11077983
113324.534    10579000    11544370
113336.534    11011226    12014263
113348.535    11437505    12478795
113400.535    11866294    12947990
113412.535    12291891    13411928
113424.534    12711859    13870665
113436.535    13143848    14341283
113448.535    13574252    14811792
113500.535    14000002    15274927
113512.534    14433945    15748083
113524.535    14861839    16215337
113536.535    15282461    16674674
113548.535    15713709    17142446
113600.534    16145651    17613116
113612.535    16577678    18084176
113624.534    17004341    18548563
113636.535    17421057    19002204
113648.534    17845806    19464912
113700.534    18273415    19931886
113712.534    18709981    20407305
113724.534    19148342    20884420
113736.535    19579133    21354012
113748.535    20007147    21820586
113800.534    20442622    22294819
113812.534    20879901    22770925
113824.534    21319072    23247789
113836.534    21756482    23723694
113848.535    22192143    24198185
113900.534    22628754    24672924
113912.535    23053596    25135982
113924.534    23477003    25598341
113936.534    23912041    26072967
113948.534    24345951    26545561
114000.534    24772255    27010697
114012.535    25209058    27486077
114024.534    25645821    27961200
114036.534    26086285    28441494
114048.534    26514921    28908116
114100.534    26943511    29373940
114112.534    27380359    29850249
114124.536    27799883    30307000
114136.534    28236493    30782374
114148.535    28672943    31256390
114200.534    29096533    31717041
114212.534    29524094    32182275
114224.534    29957069    32653480
114236.534    30389211    33125425
114248.534    30821880    33596087
114300.534    31255333    34068208
114312.534    31688972    34540534
114324.534    32117462    35007289
114336.554    32429402    35346826
114348.537    32521743    35447429
114400.550    32524322    35450216
114412.535    32649822    35586217
114424.545    32772151    35719025
114436.535    32882884    35839273
114448.549    32909179    35867802
114500.548    32912602    35871508
114512.537    32916415    35875656
114524.556    32920844    35880542
114536.541    32924620    35884676
114548.541    32927768    35888107
114600.543    32932314    35893100
114612.548    32937250    35898494
114624.545    32940226    35901708
114636.551    32944969    35906892
114648.540    32947852    35910003
114700.541    32949683    35911971
114712.545    32951200    35913612
114724.536    32955309    35918056
114736.543    32958604    35921589
114748.555    32961967    35925236
114800.549    32966299    35929949
114812.553    32970079    35934071
114824.553    32973168    35937411
114836.537    32978759    35943383
114848.542    32985389    35950563
114900.535    32990021    35955589
114912.539    32995999    35962129
114924.545    33000959    35967556
114936.539    33004513    35971409
114948.552    33008646    35975954
115000.545    33013391    35981103
115012.543    33017586    35985619
115024.542    33021179    35989518
115036.559    33023590    35992155
115048.545    33024396    35993030
115100.554    33024906    35993578
115112.554    33029064    35998086
115124.553    33031379    36000594
115136.557    33034309    36003786
115148.543    33036704    36006433
115200.578    33037209    36006985
115212.543    33037469    36007275
115224.549    33041642    36011838
115236.553    33045453    36015988
115248.544    33050400    36021301
115300.559    33053286    36024432
115312.557    33055871    36027234
115324.538    33056516    36027941
115336.552    33056779    36028223
115348.548    33060193    36031936
115400.537    33065442    36037625
115412.539    33070067    36042651
115424.550    33073941    36046888
115436.541    33078461    36051799
115448.550    33080004    36053500
115500.577    33080267    36053791
115512.557    33083971    36057822
115524.553    33087775    36062009
115536.555    33092449    36067106
115548.539    33096969    36072033
115600.538    33099467    36074802
115612.562    33101322    36076825
115624.558    33101732    36077265
115636.549    33105051    36080930
115648.552    33108034    36084228
115700.552    33113064    36089811
115712.539    33117549    36094800
115724.542    33120022    36097522
115736.553    33120715    36098293
115748.554    33120983    36098581
115800.554    33122851    36100648
115812.551    33125794    36103864
115824.537    33128817    36107179
