Time       moves_acc moves_gen
h/m/s/.th    WEIGHT PARAMETERS 
140716.781      387782      421854
140728.781      837395      911260
140740.781     1284688     1398100
140752.781     1730419     1883972
140804.781     2161049     2352742
140816.784     2540062     2764045
140828.783     2731629     2971108
140840.783     2871546     3122777
140852.781     3162617     3439689
140904.781     3602830     3919248
140916.782     4043190     4399211
140928.781     4492176     4886711
140940.781     4938798     5371919
140952.781     5378352     5848582
141004.781     5799580     6305725
141016.783     6095141     6627248
141028.788     6238181     6783300
141040.783     6361985     6918489
141052.781     6670139     7254042
141104.781     7120164     7743307
141116.781     7570970     8233602
141128.781     8025382     8728030
141140.781     8443531     9183365
141152.783     8702926     9464904
141204.783     8830737     9603720
141216.787     8965212     9750349
141228.781     9305647    10120714
141240.781     9725890    10578456
141252.781    10167578    11059717
141304.781    10609246    11540371
141316.781    11049047    12017659
141328.781    11497206    12505159
141340.781    11937930    12984867
141352.781    12386657    13472207
141404.781    12840313    13964741
141416.782    13285161    14449263
141428.783    13666330    14863202
141440.783    13813259    15023374
141452.784    13938740    15159501
141504.781    14160384    15401059
141516.781    14606115    15884773
141528.781    15050782    16369492
141540.781    15490179    16848367
141552.781    15934241    17331069
141604.781    16377260    17812777
141616.781    16816920    18290996
141628.783    17253041    18765033
141640.781    17688741    19239473
141652.781    18125491    19715590
141704.781    18575956    20204426
