 Results from RMCProfile version 6.7.9.5

 (Version 6f format configuration file)                                          

 0 experiments   1 partials

 Partial g(r)'s are printed out below

   245  1 are NR and NPAR

   r (Ang)
   0.06545     0.00000
   0.13090     0.00000
   0.19635     0.00000
   0.26180     0.00000
   0.32725     0.00000
   0.39271     0.00000
   0.45816     0.00000
   0.52361     0.00000
   0.58906     0.00000
   0.65451     0.00000
   0.71996     0.00000
   0.78541     0.00000
   0.85086     0.00000
   0.91631     0.00000
   0.98176     0.00000
   1.04721     0.00000
   1.11267     0.00000
   1.17812     0.00000
   1.24357     0.00000
   1.30902     0.00000
   1.37447     0.00000
   1.43992     0.00000
   1.50537     0.00000
   1.57082     0.00000
   1.63627     0.98841
   1.70172     0.97097
   1.76718     1.11224
   1.83263     0.73873
   1.89808     0.87231
   1.96353     1.07254
   2.02898     0.96429
   2.09443     0.94267
   2.15988     0.85095
   2.22533     0.90184
   2.29078     0.66193
   2.35623     0.98319
   2.42168     0.95897
   2.48714     0.72198
   2.55259     0.91391
   2.61804     0.86879
   2.68349     1.10257
   2.74894     1.20392
   2.81439     1.00240
   2.87984     0.87757
   2.94529     0.97248
   3.01074     1.04015
   3.07619     1.13620
   3.14164     1.44130
   3.20710     1.19009
   3.27255     1.37465
   3.33800     1.29158
   3.40345     0.88537
   3.46890     1.03098
   3.53435     0.86073
   3.59980     0.86801
   3.66525     0.82498
   3.73070     0.82006
   3.79615     0.79202
   3.86161     0.73212
   3.92706     0.80446
   3.99251     0.84056
   4.05796     0.96435
   4.12341     0.88533
   4.18886     0.82017
   4.25431     0.83169
   4.31976     0.83327
   4.38521     0.92901
   4.45066     0.86014
   4.51611     0.87594
   4.58157     0.99294
   4.64702     0.85027
   4.71247     0.93109
   4.77792     0.99996
   4.84337     1.04363
   4.90882     0.90615
   4.97427     0.92257
   5.03972     1.01600
   5.10517     1.04723
   5.17062     0.98377
   5.23607     1.00156
   5.30153     0.89459
   5.36698     0.99350
   5.43243     0.95850
   5.49788     1.01790
   5.56333     1.09564
   5.62878     0.92412
   5.69423     1.01013
   5.75968     0.97234
   5.82513     1.05787
   5.89058     0.91054
   5.95604     1.08649
   6.02149     1.04931
   6.08694     0.83489
   6.15239     1.11002
   6.21784     1.04398
   6.28329     1.08101
   6.34874     0.94392
   6.41419     1.00919
   6.47964     1.02436
   6.54509     1.06576
   6.61054     0.89335
   6.67600     1.05778
   6.74145     1.01550
   6.80690     0.99607
   6.87235     1.02622
   6.93780     0.97258
   7.00325     1.09614
   7.06870     1.01635
   7.13415     0.97179
   7.19960     0.94143
   7.26505     1.13766
   7.33050     0.94813
   7.39596     0.97073
   7.46141     0.99538
   7.52686     1.01610
   7.59231     1.15075
   7.65776     1.06346
   7.72321     1.10098
   7.78866     0.93803
   7.85411     1.01900
   7.91956     0.98376
   7.98501     1.04553
   8.05046     0.93672
   8.11592     0.86642
   8.18137     1.04291
   8.24682     0.96318
   8.31227     0.97441
   8.37772     0.97338
   8.44317     0.98155
   8.50862     0.93909
   8.57407     0.99456
   8.63952     0.90642
   8.70497     1.09586
   8.77043     1.07096
   8.83588     0.92591
   8.90133     0.95201
   8.96678     0.91347
   9.03223     1.03411
   9.09768     1.04526
   9.16313     1.05600
   9.22858     1.00611
   9.29403     1.03795
   9.35948     1.07636
   9.42493     1.00373
   9.49039     1.05238
   9.55584     0.97823
   9.62129     0.98999
   9.68674     0.99957
   9.75219     0.94793
   9.81764     0.95765
   9.88309     0.92976
   9.94854     1.00281
  10.01399     1.00294
  10.07944     1.05997
  10.14489     1.01098
  10.21035     1.05201
  10.27580     0.97285
  10.34125     0.98532
  10.40670     1.04170
  10.47215     0.93369
  10.53760     0.95342
  10.60305     1.01525
  10.66850     1.03481
  10.73395     0.98633
  10.79940     0.96023
  10.86486     1.00755
  10.93031     0.93737
  10.99576     0.98234
  11.06121     1.01671
  11.12666     1.02884
  11.19211     0.94421
  11.25756     0.97633
  11.32301     1.03475
  11.38846     1.04457
  11.45391     0.98980
  11.51936     1.02596
  11.58482     0.98728
  11.65027     1.00791
  11.71572     1.04006
  11.78117     0.96537
  11.84662     1.04667
  11.91207     0.97341
  11.97752     0.98241
  12.04297     0.96035
  12.10842     1.03462
  12.17387     1.04027
  12.23932     0.98610
  12.30478     0.96909
  12.37023     0.97075
  12.43568     1.02046
  12.50113     1.01827
  12.56658     1.01293
  12.63203     0.96514
  12.69748     1.00959
  12.76293     0.98505
  12.82838     0.98507
  12.89383     1.05569
  12.95928     1.02831
  13.02474     0.94975
  13.09019     0.98951
  13.15564     0.96439
  13.22109     1.01354
  13.28654     1.03450
  13.35199     0.98913
  13.41744     1.04198
  13.48289     1.01096
  13.54834     1.03276
  13.61379     1.05766
  13.67925     1.00955
  13.74470     0.96581
  13.81015     0.96362
  13.87560     0.97603
  13.94105     1.02476
  14.00650     1.02026
  14.07195     0.98657
  14.13740     0.99401
  14.20285     0.98569
  14.26830     0.98723
  14.33375     1.00078
  14.39921     1.01643
  14.46466     0.97089
  14.53011     0.95432
  14.59556     1.02809
  14.66101     0.98199
  14.72646     1.04041
  14.79191     1.00400
  14.85736     0.95921
  14.92281     1.02881
  14.98826     0.99039
  15.05371     0.96574
  15.11917     1.01601
  15.18462     0.96422
  15.25007     0.96663
  15.31552     1.02257
  15.38097     0.99151
  15.44642     1.04275
  15.51187     1.04221
  15.57732     0.99939
  15.64277     1.05459
  15.70822     0.98146
  15.77368     0.97865
  15.83913     1.00948
  15.90458     0.96915
  15.97003     1.00403
  16.03548     1.00100
