 Q (1/Ang),Ge-Ge,Ge-O ,O-O  
   0.46825 ,    -0.247872170581552E+01 ,     0.325054984007698E+00 ,    -0.711391321001255E+00 , 
   0.49828 ,    -0.242748502791560E+01 ,     0.362829797098724E+00 ,    -0.674278353812496E+00 , 
   0.52832 ,    -0.237707492150707E+01 ,     0.399097210903821E+00 ,    -0.647661057023649E+00 , 
   0.55835 ,    -0.233962461319152E+01 ,     0.428885694590975E+00 ,    -0.637310572478709E+00 , 
   0.58839 ,    -0.232203479337163E+01 ,     0.449749294778795E+00 ,    -0.641713586284204E+00 , 
   0.61842 ,    -0.232417465513832E+01 ,     0.462595788562115E+00 ,    -0.653342400428447E+00 , 
   0.64846 ,    -0.233913448138498E+01 ,     0.471673016747119E+00 ,    -0.660940460342679E+00 , 
   0.67849 ,    -0.235534483197923E+01 ,     0.483706897376845E+00 ,    -0.652335160285223E+00 , 
   0.70853 ,    -0.235989686032629E+01 ,     0.506388034843862E+00 ,    -0.617209435616517E+00 , 
   0.73856 ,    -0.234211637855816E+01 ,     0.546559225464157E+00 ,    -0.549299137377958E+00 , 
   0.76860 ,    -0.229642542170890E+01 ,     0.608527185486726E+00 ,    -0.447625480050759E+00 , 
   0.79863 ,    -0.222376187165375E+01 ,     0.692892649424801E+00 ,    -0.316588662479539E+00 , 
   0.82867 ,    -0.213124575712826E+01 ,     0.796171717564053E+00 ,    -0.164991743340542E+00 , 
   0.85870 ,    -0.203026093879729E+01 ,     0.911297734453035E+00 ,    -0.427971254853438E-02 , 
   0.88874 ,    -0.193353244451875E+01 ,     0.102889103781324E+01 ,     0.153578527516348E+00 , 
   0.91878 ,    -0.185201606763322E+01 ,     0.113901114145241E+01 ,     0.298096016327357E+00 , 
   0.94881 ,    -0.179242284642419E+01 ,     0.123300201612915E+01 ,     0.421756022216905E+00 , 
   0.97885 ,    -0.175598593785253E+01 ,     0.130502877110630E+01 ,     0.520726429139073E+00 , 
   1.00888 ,    -0.173870980562524E+01 ,     0.135298384503537E+01 ,     0.594739156512813E+00 , 
   1.03892 ,    -0.173292868830583E+01 ,     0.137859176175231E+01 ,     0.646267042147146E+00 , 
   1.06895 ,    -0.172965798128077E+01 ,     0.138672644770108E+01 ,     0.679277242961470E+00 , 
   1.09899 ,    -0.172103952483746E+01 ,     0.138413001728861E+01 ,     0.697908478788426E+00 , 
   1.12902 ,    -0.170220280825555E+01 ,     0.137784654615940E+01 ,     0.705398560520625E+00 , 
   1.15906 ,    -0.167207347080356E+01 ,     0.137373161285287E+01 ,     0.703490188087734E+00 , 
   1.18909 ,    -0.163299087279539E+01 ,     0.137536045575945E+01 ,     0.692397009239477E+00 , 
   1.21913 ,    -0.158934907855786E+01 ,     0.138354705985164E+01 ,     0.671258474024702E+00 , 
   1.24916 ,    -0.154574871264086E+01 ,     0.139653265890008E+01 ,     0.638890618382036E+00 , 
   1.27920 ,    -0.150526517499338E+01 ,     0.141074339453405E+01 ,     0.594579492058793E+00 , 
   1.30923 ,    -0.146837272277397E+01 ,     0.142189110925843E+01 ,     0.538675957370031E+00 , 
   1.33927 ,    -0.143283888341246E+01 ,     0.142612676241729E+01 ,     0.472826897954369E+00 , 
   1.36930 ,    -0.139459004958899E+01 ,     0.142096498108539E+01 ,     0.399793874699419E+00 , 
   1.39934 ,    -0.134924188131774E+01 ,     0.140577464897244E+01 ,     0.322932123372524E+00 , 
   1.42937 ,    -0.129377897598474E+01 ,     0.138175193298999E+01 ,     0.245496880973046E+00 , 
   1.45941 ,    -0.122781907334170E+01 ,     0.135142649411683E+01 ,     0.169985920033723E+00 , 
   1.48944 ,    -0.115402227617955E+01 ,     0.131786493735521E+01 ,     0.977078060124177E-01 , 
   1.51948 ,    -0.107746836945497E+01 ,     0.128380075151885E+01 ,     0.286929295298547E-01 , 
   1.54951 ,    -0.100414763077151E+01 ,     0.125092326144115E+01 ,    -0.380387044206701E-01 , 
   1.57955 ,    -0.938996658301933E+00 ,     0.121950181889548E+01 ,    -0.103942464806626E+00 , 
   1.60958 ,    -0.884074329030749E+00 ,     0.118842287786883E+01 ,    -0.170311082978548E+00 , 
   1.63962 ,    -0.837462300205756E+00 ,     0.115560400593864E+01 ,    -0.237723389669232E+00 , 
   1.66966 ,    -0.793287738638822E+00 ,     0.111865025232768E+01 ,    -0.305739908590385E+00 , 
   1.69969 ,    -0.742952685209304E+00 ,     0.107555958705260E+01 ,    -0.372930243335047E+00 , 
   1.72973 ,    -0.677301971046959E+00 ,     0.102527909913730E+01 ,    -0.437218736633649E+00 , 
   1.75976 ,    -0.589170795732613E+00 ,     0.967961693694565E+00 ,    -0.496441540821512E+00 , 
   1.78980 ,    -0.475609938592765E+00 ,     0.904859806816170E+00 ,    -0.548946548387575E+00 , 
   1.81983 ,    -0.339137463488999E+00 ,     0.837894165249433E+00 ,    -0.594054878059227E+00 , 
   1.84987 ,    -0.187603475117326E+00 ,     0.769024667611345E+00 ,    -0.632242132955662E+00 , 
   1.87990 ,    -0.326190034511806E-01 ,     0.699603786366254E+00 ,    -0.664978056964618E+00 , 
   1.90994 ,     0.113105765996865E+00 ,     0.629897058176300E+00 ,    -0.694261713961468E+00 , 
   1.93997 ,     0.238853170529968E+00 ,     0.558909915116741E+00 ,    -0.721978120997234E+00 , 
   1.97001 ,     0.338611574515124E+00 ,     0.484577893207372E+00 ,    -0.749256368344981E+00 , 
   2.00004 ,     0.412669313931942E+00 ,     0.404280129623638E+00 ,    -0.776013332357492E+00 , 
   2.03008 ,     0.467617031572739E+00 ,     0.315549574330697E+00 ,    -0.800819695536979E+00 , 
