Time       moves_acc moves_gen     G(r)_1     S(Q)_1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01
192550.006       20506       58216  0.357E-01  0.992E+00
192602.059       28818       91750  0.286E-01  0.991E+00
192614.033       32818      111120  0.283E-01  0.990E+00
192626.006       36289      130013  0.282E-01  0.990E+00
192638.009       38607      143562  0.283E-01  0.989E+00
192650.082       42610      168807  0.293E-01  0.988E+00
192702.083       45756      190922  0.300E-01  0.988E+00
192714.006       47906      206606  0.305E-01  0.988E+00
192726.058       50439      226557  0.309E-01  0.987E+00
192738.024       53299      251901  0.311E-01  0.987E+00
192750.008       55459      270777  0.314E-01  0.987E+00
192802.019       58550      299780  0.319E-01  0.986E+00
192814.008       61092      324971  0.325E-01  0.986E+00
192826.087       62844      342642  0.331E-01  0.986E+00
192838.062       64559      360521  0.334E-01  0.985E+00
192850.020       66285      378773  0.333E-01  0.985E+00
192902.004       68392      402165  0.339E-01  0.985E+00
192914.015       70287      424450  0.335E-01  0.985E+00
192926.027       72662      452119  0.338E-01  0.985E+00
192938.014       74114      468209  0.330E-01  0.985E+00
192950.030       76038      488277  0.327E-01  0.985E+00
193002.029       78417      509338  0.302E-01  0.985E+00
193014.008       81819      535144  0.291E-01  0.985E+00
193026.047       83770      553025  0.293E-01  0.985E+00
193038.007       87343      574605  0.272E-01  0.986E+00
193050.063       92735      602519  0.259E-01  0.986E+00
193102.024       97877      625525  0.256E-01  0.986E+00
193114.018      101750      645756  0.269E-01  0.985E+00
193126.033      105613      663722  0.290E-01  0.985E+00
193138.030      110971      685671  0.258E-01  0.986E+00
193150.079      116942      705315  0.218E-01  0.987E+00
193202.084      123795      728740  0.192E-01  0.988E+00
193214.036      132078      758735  0.167E-01  0.989E+00
193226.020      138158      783884  0.152E-01  0.989E+00
193238.037      144684      805982  0.167E-01  0.988E+00
193250.052      148183      821791  0.160E-01  0.989E+00
193302.064      153693      845971  0.143E-01  0.989E+00
193314.045      159514      870067  0.138E-01  0.990E+00
193326.007      163287      892036  0.129E-01  0.990E+00
193338.008      169031      921933  0.129E-01  0.990E+00
193350.072      173422      939287  0.146E-01  0.989E+00
193402.057      179756      968965  0.129E-01  0.990E+00
193414.041      183608      989205  0.132E-01  0.989E+00
