 Q (1/Ang),Ge-Ge,Ge-O ,O-O  
   0.46825 ,    -0.222121437418405E+01 ,     0.752888666069472E+00 ,    -0.207191850011189E+00 , 
   0.49828 ,    -0.200842809680379E+01 ,     0.102036778973481E+01 ,     0.641027445311019E-01 , 
   0.52832 ,    -0.187356527418204E+01 ,     0.116146387763210E+01 ,     0.186943751649587E+00 , 
   0.55835 ,    -0.182080620945481E+01 ,     0.118322169040993E+01 ,     0.172974009379280E+00 , 
   0.58839 ,    -0.183167196502236E+01 ,     0.112563202005154E+01 ,     0.705036889375323E-01 , 
   0.61842 ,    -0.187589120050892E+01 ,     0.104163095200955E+01 ,    -0.579277816166293E-01 , 
   0.64846 ,    -0.192396159572446E+01 ,     0.976410741785126E+00 ,    -0.158334244935105E+00 , 
   0.67849 ,    -0.195679157024755E+01 ,     0.953484411713822E+00 ,    -0.200715978368743E+00 , 
   0.70853 ,    -0.196955219019566E+01 ,     0.971381061874784E+00 ,    -0.183198432711544E+00 , 
   0.73856 ,    -0.196939914659053E+01 ,     0.101034559277837E+01 ,    -0.125555434885155E+00 , 
   0.76860 ,    -0.196902410763888E+01 ,     0.104477008102422E+01 ,    -0.564893035990061E-01 , 
   0.79863 ,    -0.197924826971255E+01 ,     0.105556210718855E+01 ,    -0.560437351377209E-03 , 
   0.82867 ,    -0.200374514494568E+01 ,     0.103756991912515E+01 ,     0.302646024596397E-01 , 
   0.85870 ,    -0.203769597561918E+01 ,     0.999872812606845E+00 ,     0.381472906463326E-01 , 
   0.88874 ,    -0.207037270578895E+01 ,     0.959931463109659E+00 ,     0.348260916866316E-01 , 
   0.91878 ,    -0.209006996701798E+01 ,     0.934953227190083E+00 ,     0.341061380754402E-01 , 
   0.94881 ,    -0.208905133129577E+01 ,     0.934518371340781E+00 ,     0.451726287941786E-01 , 
   0.97885 ,    -0.206643592821505E+01 ,     0.957457252494943E+00 ,     0.694971353778591E-01 , 
   1.00888 ,    -0.202801051616345E+01 ,     0.993804069978517E+00 ,     0.102076378422632E+00 , 
   1.03892 ,    -0.198330190668186E+01 ,     0.103040036488265E+01 ,     0.135693337128971E+00 , 
   1.06895 ,    -0.194131902045353E+01 ,     0.105732676211804E+01 ,     0.165703768277535E+00 , 
   1.09899 ,    -0.190677662767177E+01 ,     0.107229376672893E+01 ,     0.192937179019954E+00 , 
   1.12902 ,    -0.187825615716993E+01 ,     0.108129727924013E+01 ,     0.223471722119615E+00 , 
   1.15906 ,    -0.184886519411968E+01 ,     0.109561626790582E+01 ,     0.265653063387303E+00 , 
   1.18909 ,    -0.180893733334154E+01 ,     0.112678354216640E+01 ,     0.326003194367580E+00 , 
   1.21913 ,    -0.174958334241422E+01 ,     0.118185397325859E+01 ,     0.406054702090666E+00 , 
   1.24916 ,    -0.166571678489499E+01 ,     0.126091637102196E+01 ,     0.501546804396835E+00 , 
   1.27920 ,    -0.155754091484792E+01 ,     0.135761574069071E+01 ,     0.604188436249378E+00 , 
   1.30923 ,    -0.143018690512936E+01 ,     0.146206412216631E+01 ,     0.704951809629194E+00 , 
   1.33927 ,    -0.129191532656319E+01 ,     0.156455012222040E+01 ,     0.797192037186695E+00 , 
   1.36930 ,    -0.115174636733568E+01 ,     0.165829831834741E+01 ,     0.878078294461168E+00 , 
   1.39934 ,    -0.101742955232165E+01 ,     0.174017689623448E+01 ,     0.947738427523791E+00 , 
   1.42937 ,    -0.894346468790585E+00 ,     0.180934252809934E+01 ,     0.100669638770076E+01 , 
   1.45941 ,    -0.785448742488450E+00 ,     0.186481161528527E+01 ,     0.105304949004356E+01 , 
   1.48944 ,    -0.691901554573661E+00 ,     0.190340226233840E+01 ,     0.108098148154088E+01 , 
   1.51948 ,    -0.613903240553264E+00 ,     0.191922591107127E+01 ,     0.108157497607443E+01 , 
   1.54951 ,    -0.551229780269405E+00 ,     0.190508616397140E+01 ,     0.104577633204901E+01 , 
   1.57955 ,    -0.503324575202285E+00 ,     0.185517597582615E+01 ,     0.968299845480755E+00 , 
   1.60958 ,    -0.469058194472896E+00 ,     0.176781075620955E+01 ,     0.850734297451288E+00 , 
   1.63962 ,    -0.446465698759588E+00 ,     0.164688813228866E+01 ,     0.702380236139170E+00 , 
   1.66966 ,    -0.432754001947320E+00 ,     0.150132957953815E+01 ,     0.538287264065974E+00 , 
   1.69969 ,    -0.424687329204833E+00 ,     0.134265980258502E+01 ,     0.375158106770050E+00 , 
   1.72973 ,    -0.419216117471929E+00 ,     0.118169799318137E+01 ,     0.226707432437570E+00 , 
   1.75976 ,    -0.414046674743727E+00 ,     0.102570355753748E+01 ,     0.100300754612987E+00 , 
   1.78980 ,    -0.407844467052363E+00 ,     0.877085537869328E+00 ,    -0.384987165401767E-02 , 
   1.81983 ,    -0.399926754772178E+00 ,     0.734073700330568E+00 ,    -0.907463825482967E-01 , 
   1.84987 ,    -0.389550560293777E+00 ,     0.592894253506993E+00 ,    -0.166885994558942E+00 , 
   1.87990 ,    -0.375117218220726E+00 ,     0.450380728157734E+00 ,    -0.236441436114213E+00 , 
   1.90994 ,    -0.353689603989051E+00 ,     0.305843452890518E+00 ,    -0.298993642530282E+00 , 
   1.93997 ,    -0.321113423972694E+00 ,     0.161444609650930E+00 ,    -0.349734059000717E+00 , 
   1.97001 ,    -0.272793639318467E+00 ,     0.210649856463255E-01 ,    -0.381941369430333E+00 , 
   2.00004 ,    -0.204906140426051E+00 ,    -0.111646529057463E+00 ,    -0.390541126056843E+00 , 
   2.03008 ,    -0.115639957002532E+00 ,    -0.235000349911903E+00 ,    -0.375106457659200E+00 , 
   2.06011 ,    -0.604258249716543E-02 ,    -0.349884449479717E+00 ,    -0.340935817934656E+00 , 
   2.09015 ,     0.119816204185515E+00 ,    -0.458957554056858E+00 ,    -0.297710160266742E+00 , 
   2.12018 ,     0.255405199450046E+00 ,    -0.564810612815835E+00 ,    -0.256294870179574E+00 , 
   2.15022 ,     0.392823854333585E+00 ,    -0.668003520895617E+00 ,    -0.225043976445230E+00 , 
   2.18025 ,     0.524092279355467E+00 ,    -0.765964181420263E+00 ,    -0.207149029244709E+00 , 
   2.21029 ,     0.642304072115991E+00 ,    -0.853349342415015E+00 ,    -0.200090046735669E+00 , 
   2.24032 ,     0.742420229814794E+00 ,    -0.923793091128050E+00 ,    -0.197322163486554E+00 , 
   2.27036 ,     0.821641475439586E+00 ,    -0.972321117256850E+00 ,    -0.191384189629684E+00 , 
   2.30039 ,     0.879422867538470E+00 ,    -0.997384588166900E+00 ,    -0.177056190289379E+00 , 
   2.33043 ,     0.917240481723035E+00 ,    -0.100161514222197E+01 ,    -0.153250763000010E+00 , 
   2.36046 ,     0.938188117467427E+00 ,    -0.990955415006539E+00 ,    -0.122947081038077E+00 , 
   2.39050 ,     0.946419530558850E+00 ,    -0.972528163455978E+00 ,    -0.913707237604365E-01 , 
   2.42054 ,     0.946420203260251E+00 ,    -0.952153492775603E+00 ,    -0.633803196217355E-01 , 
   2.45057 ,     0.942131178914402E+00 ,    -0.932565265976797E+00 ,    -0.413134337374469E-01 , 
   2.48061 ,     0.936047781480872E+00 ,    -0.913055197840133E+00 ,    -0.242578859287233E-01 , 
   2.51064 ,     0.928523519236741E+00 ,    -0.890634871555745E+00 ,    -0.900233022445092E-02 , 
   2.54068 ,     0.917550174355872E+00 ,    -0.862139182778015E+00 ,     0.787981407611684E-02 , 
   2.57071 ,     0.899205964584300E+00 ,    -0.826295366010697E+00 ,     0.278776360606424E-01 , 
   2.60075 ,     0.868766009028350E+00 ,    -0.784822221668635E+00 ,     0.493922789628024E-01 , 
   2.63078 ,     0.822217452605304E+00 ,    -0.742078519225219E+00 ,     0.681623908480932E-01 , 
   2.66082 ,     0.757720299904745E+00 ,    -0.703438331080588E+00 ,     0.790770031565071E-01 , 
   2.69085 ,     0.676504116837510E+00 ,    -0.673137685107653E+00 ,     0.785183219876702E-01 , 
   2.72089 ,     0.582836908457764E+00 ,    -0.652561417022420E+00 ,     0.661123923285328E-01 , 
   2.75092 ,     0.483010856421791E+00 ,    -0.639728575898521E+00 ,     0.450287645110186E-01 , 
   2.78096 ,     0.383650619630006E+00 ,    -0.630191834461807E+00 ,     0.206408045204490E-01 , 
   2.81099 ,     0.289920472537766E+00 ,    -0.618939637748231E+00 ,    -0.187208698536952E-02 , 
   2.84103 ,     0.204269608993803E+00 ,    -0.602459861521097E+00 ,    -0.198857413671094E-01 , 
   2.87106 ,     0.126171742833385E+00 ,    -0.580077089070966E+00 ,    -0.345449792457288E-01 , 
   2.90110 ,     0.529467437345124E-01 ,    -0.554023262614838E+00 ,    -0.502153732482511E-01 , 
   2.93113 ,    -0.186611491307257E-01 ,    -0.528277693097004E+00 ,    -0.723505112818853E-01 , 
   2.96117 ,    -0.907676304574063E-01 ,    -0.506752947125601E+00 ,    -0.104685427482659E+00 , 
   2.99120 ,    -0.163167738365334E+00 ,    -0.491666202426973E+00 ,    -0.147008569115307E+00 , 
   3.02124 ,    -0.233150935044448E+00 ,    -0.482810640075102E+00 ,    -0.194553370235954E+00 , 
   3.05127 ,    -0.296377374836813E+00 ,    -0.477996233460257E+00 ,    -0.239369579585654E+00 , 
   3.08131 ,    -0.348460776770129E+00 ,    -0.474376072138658E+00 ,    -0.273177201221162E+00 , 
   3.11134 ,    -0.386627121899638E+00 ,    -0.469970317029719E+00 ,    -0.290546970938935E+00 , 
   3.14138 ,    -0.410796324336148E+00 ,    -0.464628956994582E+00 ,    -0.291081855889700E+00 , 
   3.17142 ,    -0.423672077128548E+00 ,    -0.459964079408906E+00 ,    -0.279673056394476E+00 , 
   3.20145 ,    -0.429823069712282E+00 ,    -0.458292348229995E+00 ,    -0.264702682096903E+00 , 
   3.23149 ,    -0.434132773882980E+00 ,    -0.461117367078705E+00 ,    -0.254920660851240E+00 , 
   3.26152 ,    -0.440226033806711E+00 ,    -0.467918822678650E+00 ,    -0.256268003596704E+00 , 
   3.29156 ,    -0.449460589533008E+00 ,    -0.475887335141433E+00 ,    -0.269920501867634E+00 , 
   3.32159 ,    -0.460818089640892E+00 ,    -0.480807237826072E+00 ,    -0.292290559221707E+00 , 
   3.35163 ,    -0.471655523655484E+00 ,    -0.478744830890450E+00 ,    -0.316887218035606E+00 , 
   3.38166 ,    -0.478943192085795E+00 ,    -0.467800123581860E+00 ,    -0.337160396416001E+00 , 
   3.41170 ,    -0.480455347493310E+00 ,    -0.449114819498143E+00 ,    -0.349077426666284E+00 , 
   3.44173 ,    -0.475450931993791E+00 ,    -0.426635743300022E+00 ,    -0.352353638745178E+00 , 
   3.47177 ,    -0.464640233808456E+00 ,    -0.405677995825284E+00 ,    -0.349896299872351E+00 , 
   3.50180 ,    -0.449556857696764E+00 ,    -0.390871304909015E+00 ,    -0.345833038947897E+00 , 
   3.53184 ,    -0.431699258752224E+00 ,    -0.384360708900311E+00 ,    -0.343119737617318E+00 , 
   3.56187 ,    -0.411869979835269E+00 ,    -0.385034200371323E+00 ,    -0.341884335151785E+00 , 
   3.59191 ,    -0.390006415874794E+00 ,    -0.389104166925334E+00 ,    -0.339295952897351E+00 , 
   3.62194 ,    -0.365536636682516E+00 ,    -0.391773275974548E+00 ,    -0.331023251604857E+00 , 
   3.65198 ,    -0.338033731609969E+00 ,    -0.389236276089966E+00 ,    -0.313591618780287E+00 , 
   3.68201 ,    -0.307803631749217E+00 ,    -0.380124581142594E+00 ,    -0.286507924773403E+00 , 
   3.71205 ,    -0.276085591459312E+00 ,    -0.365758964128719E+00 ,    -0.253096840580050E+00 , 
   3.74208 ,    -0.244745608130063E+00 ,    -0.349123759485517E+00 ,    -0.219556579862944E+00 , 
   3.77212 ,    -0.215601538904415E+00 ,    -0.333067252012340E+00 ,    -0.192547829752421E+00 , 
   3.80215 ,    -0.189708653126460E+00 ,    -0.318597848731029E+00 ,    -0.176319739231450E+00 , 
   3.83219 ,    -0.166962827171333E+00 ,    -0.304113279324365E+00 ,    -0.170639417962069E+00 , 
   3.86222 ,    -0.146229443515291E+00 ,    -0.285977342661555E+00 ,    -0.170498804535004E+00 , 
   3.89226 ,    -0.125948546565502E+00 ,    -0.260230514901730E+00 ,    -0.167839524674029E+00 , 
   3.92230 ,    -0.104924137184017E+00 ,    -0.224669950184095E+00 ,    -0.154671889941483E+00 , 
   3.95233 ,    -0.828975716947538E-01 ,    -0.180316266513506E+00 ,    -0.126340321052565E+00 , 
   3.98237 ,    -0.605914360927957E-01 ,    -0.131510817199718E+00 ,    -0.835781371923520E-01 , 
   4.01240 ,    -0.391597404453798E-01 ,    -0.844723227733348E-01 ,    -0.324569305189455E-01 , 
   4.04244 ,    -0.192816677509365E-01 ,    -0.448358834741514E-01 ,     0.178162467479678E-01 , 
   4.07247 ,    -0.346891332108567E-03 ,    -0.151933053501847E-01 ,     0.584179734336409E-01 , 
   4.10251 ,     0.198081312893457E-01 ,     0.627823924821378E-02 ,     0.843584689087274E-01 , 
   4.13254 ,     0.443639986881754E-01 ,     0.254201930298717E-01 ,     0.964904212299759E-01 , 
   4.16258 ,     0.762866909040876E-01 ,     0.499749641583738E-01 ,     0.101275452689872E+00 , 
   4.19261 ,     0.116849878663217E+00 ,     0.865311104390006E-01 ,     0.108399460154142E+00 , 
   4.22265 ,     0.164539347098297E+00 ,     0.137750451312541E+00 ,     0.127175290714794E+00 , 
   4.25268 ,     0.214884461110070E+00 ,     0.201030628806570E+00 ,     0.163130098829714E+00 , 
   4.28272 ,     0.261430580527118E+00 ,     0.269203877181639E+00 ,     0.216067583852042E+00 , 
   4.31275 ,     0.297611138283223E+00 ,     0.333053462888725E+00 ,     0.280280060287026E+00 , 
   4.34279 ,     0.318884279299526E+00 ,     0.384681207981239E+00 ,     0.346725894455728E+00 , 
   4.37282 ,     0.324337184961374E+00 ,     0.420395993221608E+00 ,     0.406239374926524E+00 , 
   4.40286 ,     0.317113498216491E+00 ,     0.441970287421558E+00 ,     0.452499256302757E+00 , 
   4.43289 ,     0.303440155607692E+00 ,     0.455761505974735E+00 ,     0.483666622586673E+00 , 
   4.46293 ,     0.290560341277032E+00 ,     0.470052413691768E+00 ,     0.502209079681367E+00 , 
   4.49296 ,     0.284308784530449E+00 ,     0.491678283947336E+00 ,     0.513184637633610E+00 , 
   4.52300 ,     0.287218179670587E+00 ,     0.523286495671890E+00 ,     0.521845290037655E+00 , 
   4.55303 ,     0.297853065443983E+00 ,     0.562306012418758E+00 ,     0.531605990329407E+00 , 
   4.58307 ,     0.311600431382351E+00 ,     0.602004602716948E+00 ,     0.543159714340063E+00 , 
   4.61310 ,     0.322587123986991E+00 ,     0.634171245413047E+00 ,     0.554947345467787E+00 , 
   4.64314 ,     0.325964523518932E+00 ,     0.652323651337505E+00 ,     0.564578457368759E+00 , 
   4.67318 ,     0.319671996153789E+00 ,     0.654160414671870E+00 ,     0.570414017880036E+00 , 
   4.70321 ,     0.305012849626116E+00 ,     0.642315613084588E+00 ,     0.572518968894424E+00 , 
   4.73325 ,     0.285859183184536E+00 ,     0.623178836585069E+00 ,     0.572550236501050E+00 , 
   4.76328 ,     0.266849999034173E+00 ,     0.604318451457537E+00 ,     0.572684243924723E+00 , 
   4.79332 ,     0.251340237641981E+00 ,     0.591574584525419E+00 ,     0.574155058491721E+00 , 
   4.82335 ,     0.239941480407605E+00 ,     0.586967137306449E+00 ,     0.576159357079097E+00 , 
   4.85339 ,     0.230239307464229E+00 ,     0.588181471110645E+00 ,     0.575710745908288E+00 , 
   4.88342 ,     0.217786142258530E+00 ,     0.589727959414683E+00 ,     0.568580687529723E+00 , 
   4.91346 ,     0.197951539477769E+00 ,     0.585206949657023E+00 ,     0.550953772151075E+00 , 
   4.94349 ,     0.167872847753672E+00 ,     0.569717959006923E+00 ,     0.521083556871961E+00 , 
   4.97353 ,     0.127720786220805E+00 ,     0.541474289070771E+00 ,     0.480214725804702E+00 , 
   5.00356 ,     0.807814147828629E-01 ,     0.502084551005074E+00 ,     0.432345300919431E+00 , 
   5.03360 ,     0.323357610582111E-01 ,     0.455548636406474E+00 ,     0.382900332096442E+00 , 
   5.06363 ,    -0.122060549223568E-01 ,     0.406529781042364E+00 ,     0.336855137363196E+00 , 
   5.09367 ,    -0.491779044685393E-01 ,     0.358696413533626E+00 ,     0.297077812590335E+00 , 
   5.12370 ,    -0.778185157546645E-01 ,     0.313801790401972E+00 ,     0.263559644362948E+00 , 
   5.15374 ,    -0.100302045138538E+00 ,     0.271769410804875E+00 ,     0.233817439375598E+00 , 
   5.18377 ,    -0.120673683237355E+00 ,     0.231574854381817E+00 ,     0.204255120038390E+00 , 
   5.21381 ,    -0.143144942950186E+00 ,     0.192377777522660E+00 ,     0.171879355329914E+00 , 
   5.24384 ,    -0.170424143682191E+00 ,     0.154302587064477E+00 ,     0.135640957079518E+00 , 
   5.27388 ,    -0.202702992460693E+00 ,     0.118498571003965E+00 ,     0.968643642146109E-01 , 
   5.30391 ,    -0.237627510780718E+00 ,     0.865043114004317E-01 ,     0.586387550011659E-01 , 
   5.33395 ,    -0.271181862279943E+00 ,     0.593026163039304E-01 ,     0.244907559155186E-01 , 
   5.36398 ,    -0.299073140407026E+00 ,     0.366092683351913E-01 ,    -0.305363314620942E-02 , 
   5.39402 ,    -0.318055441594101E+00 ,     0.168207777301896E-01 ,    -0.233989199754308E-01 , 
   5.42406 ,    -0.326717507978732E+00 ,    -0.228672061759158E-02 ,    -0.379399991192461E-01 , 
   5.45409 ,    -0.325524974997840E+00 ,    -0.224022798032393E-01 ,    -0.492907524063526E-01 , 
   5.48413 ,    -0.316230278236711E+00 ,    -0.436184559868024E-01 ,    -0.600808697899504E-01 , 
   5.51416 ,    -0.301001621626308E+00 ,    -0.640109505167859E-01 ,    -0.718835155796877E-01 , 
   5.54420 ,    -0.281684349906884E+00 ,    -0.801422762516518E-01 ,    -0.847386022851530E-01 , 
   5.57423 ,    -0.259483614186424E+00 ,    -0.883593776023122E-01 ,    -0.974338105714448E-01 , 
   5.60427 ,    -0.235118105724294E+00 ,    -0.863800078539555E-01 ,    -0.108344662336482E+00 , 
   5.63430 ,    -0.209257989643030E+00 ,    -0.744968441210612E-01 ,    -0.116383798966426E+00 , 
   5.66434 ,    -0.182934282679157E+00 ,    -0.558526180967313E-01 ,    -0.121580553495438E+00 , 
   5.69437 ,    -0.157643521211344E+00 ,    -0.356072589030464E-01 ,    -0.125012010191386E+00 , 
   5.72441 ,    -0.135045302497382E+00 ,    -0.192748527820537E-01 ,    -0.128136754493302E+00 , 
   5.75444 ,    -0.116373334346911E+00 ,    -0.108594328601438E-01 ,    -0.131884246597106E+00 , 
   5.78448 ,    -0.101844781431878E+00 ,    -0.115138402331570E-01 ,    -0.135982702791377E+00 , 
   5.81451 ,    -0.903792885031970E-01 ,    -0.192438912617031E-01 ,    -0.138903805873188E+00 , 
   5.84455 ,    -0.798143420592358E-01 ,    -0.297656491507400E-01 ,    -0.138510210318925E+00 , 
   5.87458 ,    -0.675841092154868E-01 ,    -0.381699702983447E-01 ,    -0.133146438093847E+00 , 
   5.90462 ,    -0.516149050397216E-01 ,    -0.407424040910473E-01 ,    -0.122676719748052E+00 , 
   5.93465 ,    -0.310803408794370E-01 ,    -0.362490178911340E-01 ,    -0.108958886929664E+00 , 
   5.96469 ,    -0.670489951889673E-02 ,    -0.262359830623183E-01 ,    -0.954661883045637E-01 , 
   5.99472 ,     0.195116812689780E-01 ,    -0.142952484299094E-01 ,    -0.861359788125917E-01 , 
   6.02476 ,     0.450348613746720E-01 ,    -0.464849741028568E-02 ,    -0.838755206248157E-01 , 
   6.05479 ,     0.676918277595403E-01 ,    -0.635536363123783E-03 ,    -0.893338877727760E-01 , 
   6.08483 ,     0.863537523872496E-01 ,    -0.367770311360559E-02 ,    -0.100471253103896E+00 , 
   6.11486 ,     0.101131607696702E+00 ,    -0.130468148037581E-01 ,    -0.113149194507080E+00 , 
   6.14490 ,     0.113028198877933E+00 ,    -0.264220906765520E-01 ,    -0.122554442156640E+00 , 
   6.17494 ,     0.123226474377613E+00 ,    -0.409140051522845E-01 ,    -0.124925730896973E+00 , 
   6.20497 ,     0.132350471502161E+00 ,    -0.540962265592822E-01 ,    -0.118923031803877E+00 , 
   6.23501 ,     0.140042538704392E+00 ,    -0.646544879313512E-01 ,    -0.106114922658599E+00 , 
   6.26504 ,     0.145056130963697E+00 ,    -0.724820455738125E-01 ,    -0.904059080195960E-01 , 
   6.29508 ,     0.145831046690219E+00 ,    -0.783112789505725E-01 ,    -0.766375511740012E-01 , 
   6.32511 ,     0.141299250125294E+00 ,    -0.831502353418201E-01 ,    -0.689072733633615E-01 , 
   6.35515 ,     0.131560044930409E+00 ,    -0.878207595493354E-01 ,    -0.692348383265375E-01 , 
   6.38518 ,     0.118111376267882E+00 ,    -0.927780378061108E-01 ,    -0.770427496376102E-01 , 
   6.41522 ,     0.103509286357107E+00 ,    -0.982049139790554E-01 ,    -0.895800721115728E-01 , 
   6.44525 ,     0.905706654233184E-01 ,    -0.104220499329594E+00 ,    -0.103053512709492E+00 , 
   6.47529 ,     0.814312731977780E-01 ,    -0.110999214440918E+00 ,    -0.113982941505512E+00 , 
   6.50532 ,     0.768374237744916E-01 ,    -0.118679300894649E+00 ,    -0.120261152112739E+00 , 
