Time       moves_acc moves_gen
h/m/s/.th    WEIGHT PARAMETERS 
184658.269      198523      234524
184710.269      378204      447078
184722.270      554815      656883
184734.270      721289      854383
184746.269      888882     1053657
184758.269     1060964     1258879
184810.269     1225820     1454168
184822.269     1392023     1651478
184834.268     1583557     1878817
184846.270     1754746     2082193
184858.268     1936259     2297478
184910.269     2099034     2491342
184922.268     2279524     2706012
184934.269     2455808     2916259
184946.269     2622196     3113959
184958.269     2791939     3315923
185010.269     2969144     3527344
185022.270     3125752     3713789
185034.274     3302452     3924700
185046.268     3473013     4127737
185058.268     3672943     4365058
185110.268     3874889     4605182
185122.268     4076690     4844581
185134.270     4273977     5079953
185146.270     4431282     5266462
185158.270     4602175     5469067
185210.270     4772032     5670939
185222.270     4943056     5873808
185234.269     5113160     6075439
185246.268     5292050     6287763
185258.268     5484101     6515871
185310.270     5667215     6733665
185322.270     5828310     6924940
185334.270     5979287     7103209
185346.269     6158973     7315780
185358.269     6349269     7541648
185410.269     6523583     7748915
185422.270     6698104     7956399
185434.271     6866247     8155890
185446.272     7034494     8355733
185458.270     7193176     8543392
185510.270     7370948     8755102
185522.269     7528828     8942727
185534.268     7709543     9157710
185546.269     7888133     9369782
185558.270     8068464     9583162
185610.270     8245364     9793860
185622.270     8421489    10002829
185634.272     8584846    10197744
185646.270     8748849    10393027
185658.270     8915137    10590138
185710.270     9070947    10774723
185722.270     9237217    10972705
185734.269     9394911    11160348
185746.269     9559193    11356208
185758.270     9720041    11547440
185810.270     9866443    11721645
185822.269    10020687    11905587
185834.268    10215968    12137554
185846.270    10393744    12348207
185858.269    10569572    12557679
185910.270    10740212    12759865
185922.268    10911848    12963621
185934.270    11115172    13206403
185946.270    11317622    13446706
185958.270    11483924    13644762
190010.269    11642806    13834446
190022.269    11810134    14033841
190034.270    11982702    14239773
190046.271    12137998    14423959
190058.269    12293604    14608749
190110.268    12490389    14841933
190122.269    12667680    15053273
190134.271    12840888    15259022
190146.270    12990534    15436360
190158.269    13158263    15634873
190210.272    13322412    15829618
190222.268    13501731    16041644
190234.270    13688416    16263278
190246.269    13867762    16475976
190258.270    14034330    16674090
190310.271    14195185    16866047
190322.269    14379574    17083561
190334.268    14570942    17310747
190346.268    14774602    17552707
190358.268    14978514    17794585
190410.270    15183136    18037336
190422.269    15376629    18266739
190434.268    15552400    18475624
190446.269    15737746    18695587
190458.268    15928484    18923031
190510.268    16129675    19162234
190522.269    16321875    19389293
190534.269    16499925    19601080
190546.271    16658845    19789106
190558.270    16816006    19976646
190610.269    16992227    20186135
190622.272    17160066    20386476
190634.268    17320007    20577979
190646.272    17498330    20790830
190658.270    17665122    20989638
190710.270    17816977    21170171
190722.271    17946188    21323882
190734.273    18110233    21518828
190746.272    18247727    21682493
190758.269    18402230    21865865
190810.270    18571685    22067064
190822.272    18716893    22239347
190834.272    18851326    22398334
190846.270    19000739    22574975
190858.270    19138753    22738188
190910.270    19269027    22891995
190922.270    19437763    23092032
190934.271    19578836    23259058
190946.271    19715346    23420379
190958.270    19843451    23572209
191010.271    19995305    23752519
191022.270    20136188    23920031
191034.269    20297713    24111902
191046.271    20450646    24293127
191058.271    20599369    24469371
191110.270    20747379    24645504
191122.270    20902870    24829788
191134.270    21071053    25029276
191146.270    21229303    25217354
191158.269    21390683    25408741
191210.270    21556917    25606475
191222.270    21725136    25805918
191234.269    21883995    25993666
191246.268    22037347    26175469
191258.268    22203064    26371811
191310.270    22355122    26551622
191322.269    22509811    26734663
191334.269    22648661    26899632
191346.270    22793531    27071297
191358.270    22932175    27235468
191410.270    23094567    27428214
191422.270    23262606    27627865
191434.270    23431350    27827636
191446.270    23600764    28027765
191458.270    23771254    28229813
191510.270    23942336    28431974
191522.270    24109093    28629695
191534.270    24270241    28820669
191546.270    24395974    28969585
191558.270    24548696    29150163
191610.272    24711602    29343432
191622.270    24855486    29514238
191634.271    25002679    29689690
191646.270    25135848    29848465
