Time       moves_acc moves_gen     G(r)_1     S(Q)_1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01
132225.870        2887       44789  0.120E-01  0.841E+00
132237.870        3229       74932  0.112E-01  0.826E+00
132249.870        3645      103608  0.109E-01  0.814E+00
132301.870        4038      139818  0.101E-01  0.793E+00
132313.870        4298      175208  0.971E-02  0.787E+00
132325.876        4480      203134  0.954E-02  0.782E+00
132337.872        5011      221410  0.941E-02  0.782E+00
132349.870        5200      245775  0.924E-02  0.775E+00
132401.870        5504      278942  0.920E-02  0.772E+00
132413.870        5742      311088  0.891E-02  0.768E+00
132425.870        5910      337931  0.885E-02  0.765E+00
132437.870        6131      364969  0.891E-02  0.763E+00
132449.870        6309      392401  0.885E-02  0.757E+00
132501.870        6788      420177  0.898E-02  0.756E+00
132513.872        7055      452009  0.869E-02  0.756E+00
132525.870        7304      488235  0.868E-02  0.751E+00
132537.870        7523      526267  0.859E-02  0.749E+00
132549.870        7841      565175  0.851E-02  0.745E+00
132601.870        8154      603943  0.848E-02  0.744E+00
132613.870        8532      642250  0.836E-02  0.742E+00
132625.870        8836      680992  0.827E-02  0.740E+00
132637.870        9604      719132  0.833E-02  0.742E+00
132649.870        9950      758861  0.812E-02  0.737E+00
132701.870       10216      796786  0.821E-02  0.731E+00
132713.870       10558      835110  0.812E-02  0.727E+00
132725.871       10899      874098  0.796E-02  0.729E+00
132737.870       11220      913961  0.786E-02  0.730E+00
132749.870       11709      951852  0.794E-02  0.734E+00
132801.870       12482      985817  0.800E-02  0.734E+00
132813.921       12960     1018534  0.808E-02  0.737E+00
132825.883       13133     1032540  0.800E-02  0.730E+00
132837.927       13242     1045778  0.788E-02  0.729E+00
132849.903       13351     1060620  0.782E-02  0.731E+00
132901.871       13468     1076339  0.780E-02  0.729E+00
132913.870       13741     1091829  0.801E-02  0.732E+00
132925.871       13904     1106157  0.790E-02  0.726E+00
132937.871       14029     1121498  0.778E-02  0.728E+00
132949.870       14162     1136176  0.776E-02  0.727E+00
133001.871       14267     1148201  0.771E-02  0.727E+00
133013.878       14429     1166275  0.773E-02  0.726E+00
133025.878       14541     1180514  0.770E-02  0.724E+00
133037.870       14680     1196131  0.774E-02  0.724E+00
133049.896       14834     1213017  0.781E-02  0.719E+00
133101.876       14980     1229307  0.782E-02  0.718E+00
133113.871       15367     1245291  0.781E-02  0.722E+00
133125.870       15796     1261611  0.781E-02  0.722E+00
133137.878       15955     1276536  0.770E-02  0.719E+00
133149.948       16017     1281613  0.769E-02  0.718E+00
133201.883       16040     1283884  0.767E-02  0.719E+00
133213.878       16053     1285078  0.766E-02  0.718E+00
133225.911       16078     1286727  0.763E-02  0.719E+00
133237.900       16098     1288154  0.761E-02  0.719E+00
133249.880       16111     1290036  0.762E-02  0.718E+00
133301.894       16118     1291214  0.761E-02  0.718E+00
133313.892       16134     1292694  0.760E-02  0.718E+00
133325.915       16146     1294297  0.760E-02  0.719E+00
133337.875       16167     1296268  0.757E-02  0.720E+00
133349.871       16184     1297984  0.754E-02  0.720E+00
133401.897       16197     1299605  0.754E-02  0.720E+00
133413.890       16213     1301205  0.757E-02  0.719E+00
133425.915       16227     1303435  0.757E-02  0.719E+00
133437.900       16250     1305507  0.758E-02  0.718E+00
133449.875       16272     1307743  0.757E-02  0.718E+00
133501.915       16302     1310427  0.760E-02  0.719E+00
133513.889       16320     1312470  0.761E-02  0.718E+00
133525.882       16336     1314779  0.760E-02  0.718E+00
133537.875       16347     1316747  0.759E-02  0.719E+00
133549.908       16422     1319492  0.774E-02  0.719E+00
133601.887       16483     1321385  0.769E-02  0.722E+00
133613.875       16513     1323341  0.766E-02  0.720E+00
133625.902       16541     1325426  0.763E-02  0.720E+00
133637.887       16568     1327647  0.761E-02  0.719E+00
133649.919       16585     1329180  0.760E-02  0.720E+00
133701.876       16619     1332006  0.760E-02  0.719E+00
133713.871       16657     1334651  0.757E-02  0.718E+00
133725.871       16677     1336938  0.757E-02  0.718E+00
133737.891       16704     1339714  0.758E-02  0.717E+00
133749.878       16726     1341926  0.758E-02  0.717E+00
133801.878       16752     1344880  0.755E-02  0.717E+00
133813.921       16768     1347033  0.755E-02  0.717E+00
133825.877       16781     1348534  0.756E-02  0.717E+00
133837.936       16798     1350669  0.759E-02  0.716E+00
133849.910       16825     1353918  0.755E-02  0.716E+00
133901.906       16848     1356167  0.757E-02  0.715E+00
133913.916       16881     1358151  0.757E-02  0.714E+00
133925.909       16901     1360240  0.759E-02  0.715E+00
133937.887       16922     1362316  0.755E-02  0.715E+00
133949.879       16944     1364202  0.757E-02  0.714E+00
134001.879       16963     1366239  0.755E-02  0.714E+00
134013.880       17018     1369798  0.759E-02  0.713E+00
134025.871       17052     1372243  0.756E-02  0.713E+00
134037.882       17078     1374502  0.758E-02  0.714E+00
134049.907       17110     1377249  0.756E-02  0.714E+00
134101.891       17136     1379121  0.758E-02  0.714E+00
134113.900       17163     1381409  0.756E-02  0.714E+00
134125.899       17193     1383514  0.756E-02  0.715E+00
134137.901       17215     1385533  0.757E-02  0.715E+00
134149.925       17245     1388288  0.755E-02  0.714E+00
134201.872       17279     1391135  0.754E-02  0.713E+00
134213.877       17312     1394172  0.755E-02  0.714E+00
134225.875       17323     1395373  0.752E-02  0.714E+00
134237.879       17349     1397180  0.750E-02  0.714E+00
134249.883       17362     1398896  0.749E-02  0.715E+00
134301.890       17366     1400478  0.749E-02  0.715E+00
134313.931       17379     1402109  0.751E-02  0.714E+00
134325.874       17384     1402965  0.748E-02  0.714E+00
134337.875       17389     1403745  0.747E-02  0.714E+00
134349.870       17414     1405840  0.749E-02  0.714E+00
134401.890       17436     1408181  0.750E-02  0.714E+00
134413.920       17452     1409753  0.749E-02  0.714E+00
134425.871       17479     1412518  0.748E-02  0.715E+00
134437.885       17495     1414441  0.750E-02  0.714E+00
134449.870       17523     1416264  0.749E-02  0.715E+00
134501.906       17558     1418806  0.747E-02  0.715E+00
134513.887       17580     1421146  0.749E-02  0.715E+00
134525.871       17622     1424277  0.752E-02  0.714E+00
134537.897       17643     1426583  0.751E-02  0.713E+00
134549.876       17671     1429090  0.753E-02  0.713E+00
134601.899       17690     1430820  0.756E-02  0.713E+00
134613.871       17713     1433132  0.756E-02  0.712E+00
134625.876       17733     1435539  0.751E-02  0.713E+00
134638.879       17767     1439177  0.750E-02  0.714E+00
134650.910       17794     1441338  0.747E-02  0.714E+00
134702.878       17823     1443913  0.747E-02  0.714E+00
134714.913       17849     1445883  0.748E-02  0.713E+00
134726.915       17870     1447928  0.745E-02  0.714E+00
134738.921       17885     1449853  0.745E-02  0.714E+00
134750.926       17905     1452089  0.744E-02  0.715E+00
134802.882       17934     1454810  0.744E-02  0.715E+00
134814.931       17960     1457039  0.743E-02  0.715E+00
134826.911       17993     1460147  0.746E-02  0.714E+00
134838.897       18026     1462073  0.750E-02  0.714E+00
134850.875       18048     1464143  0.748E-02  0.714E+00
134902.894       18070     1466441  0.747E-02  0.714E+00
134914.875       18095     1468437  0.744E-02  0.714E+00
134926.930       18110     1470043  0.748E-02  0.714E+00
134938.887       18144     1472824  0.749E-02  0.714E+00
134950.907       18167     1475331  0.749E-02  0.713E+00
135002.898       18187     1476953  0.747E-02  0.714E+00
135014.890       18200     1478475  0.746E-02  0.715E+00
135026.881       18231     1481076  0.751E-02  0.713E+00
135038.894       18257     1483488  0.753E-02  0.712E+00
135050.883       18280     1485570  0.748E-02  0.713E+00
135102.887       18301     1487644  0.747E-02  0.712E+00
135114.878       18323     1490602  0.745E-02  0.712E+00
135126.886       18374     1492535  0.763E-02  0.719E+00
135138.875       18584     1494458  0.791E-02  0.726E+00
135150.885       18649     1496689  0.773E-02  0.723E+00
135202.898       18696     1498801  0.766E-02  0.719E+00
135214.925       18739     1501237  0.760E-02  0.718E+00
135226.890       18792     1504521  0.756E-02  0.718E+00
135238.923       18821     1506266  0.754E-02  0.717E+00
135250.909       18844     1508279  0.753E-02  0.716E+00
135302.887       18864     1509745  0.755E-02  0.715E+00
135314.878       18908     1512345  0.750E-02  0.716E+00
135326.898       18944     1514613  0.749E-02  0.715E+00
135338.875       18959     1516159  0.752E-02  0.714E+00
135350.905       18984     1518291  0.751E-02  0.714E+00
135402.919       18999     1520532  0.752E-02  0.713E+00
135414.890       19024     1522514  0.750E-02  0.714E+00
135426.882       19044     1524839  0.753E-02  0.712E+00
135438.876       19066     1526325  0.750E-02  0.712E+00
135450.877       19091     1528797  0.749E-02  0.713E+00
135502.902       19126     1531386  0.748E-02  0.713E+00
135514.915       19160     1533633  0.750E-02  0.713E+00
135526.885       19205     1536036  0.752E-02  0.713E+00
135538.883       19220     1537929  0.752E-02  0.713E+00
135550.888       19253     1540859  0.755E-02  0.714E+00
135602.886       19283     1543088  0.755E-02  0.713E+00
135614.902       19315     1545320  0.755E-02  0.712E+00
135626.898       19344     1547109  0.753E-02  0.713E+00
135638.886       19371     1548892  0.749E-02  0.712E+00
135650.903       19401     1551501  0.752E-02  0.711E+00
135702.886       19446     1554347  0.752E-02  0.712E+00
135714.890       19470     1556334  0.753E-02  0.711E+00
135726.906       19499     1559154  0.751E-02  0.710E+00
135738.951       19523     1561307  0.751E-02  0.710E+00
135750.894       19570     1564109  0.749E-02  0.711E+00
135802.880       19606     1567119  0.750E-02  0.710E+00
135814.883       19634     1569624  0.751E-02  0.709E+00
135826.888       19654     1571350  0.749E-02  0.710E+00
135838.898       19669     1573242  0.749E-02  0.710E+00
