   r (Ang),     Ge-Ge,     Ge-O ,     O-O  
   0.06545 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   0.13090 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   0.19635 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   0.26180 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   0.32725 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   0.39271 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   0.45816 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   0.52361 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   0.58906 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   0.65451 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   0.71996 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   0.78541 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   0.85086 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   0.91631 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   0.98176 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   1.04721 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   1.11267 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   1.17812 ,         0.000000000000000 ,         0.231683014568550 ,         0.000000000000000 , 
   1.24357 ,         0.000000000000000 ,         0.415885180547931 ,         0.000000000000000 , 
   1.30902 ,         0.000000000000000 ,         0.750689642705347 ,         0.000000000000000 , 
   1.37447 ,         0.000000000000000 ,         2.383187872888588 ,         0.000000000000000 , 
   1.43992 ,         0.000000000000000 ,         1.395960955915619 ,         0.172340858755015 , 
   1.50537 ,         0.000000000000000 ,         2.412546722660351 ,         0.473048376992226 , 
   1.57082 ,         0.000000000000000 ,         5.083117966530681 ,         0.724090878423174 , 
   1.63627 ,         0.000000000000000 ,         4.324296596674488 ,         0.934261610392636 , 
   1.70172 ,         0.000000000000000 ,         5.552910413269397 ,         0.987184073470115 , 
   1.76718 ,         0.000000000000000 ,         3.913427735623443 ,         1.029849404111432 , 
   1.83263 ,         0.000000000000000 ,         3.734678977853821 ,         1.383214436242156 , 
   1.89808 ,         0.000000000000000 ,         3.124495544238405 ,         1.487855021065908 , 
   1.96353 ,         0.000000000000000 ,         2.502588400121541 ,         1.204949970428890 , 
   2.02898 ,         0.000000000000000 ,         1.796874239496499 ,         1.649304857508864 , 
   2.09443 ,         0.000000000000000 ,         0.953144939990414 ,         1.303446071781763 , 
   2.15988 ,         0.000000000000000 ,         0.137885874000626 ,         0.766032633336813 , 
   2.22533 ,         0.000000000000000 ,         0.064947397365897 ,         1.371111722168942 , 
   2.29078 ,         0.000000000000000 ,         0.061289384644384 ,         0.885291111529994 , 
   2.35623 ,         0.000000000000000 ,         0.521387333177768 ,         2.381645842910793 , 
   2.42168 ,         0.000000000000000 ,         0.000000000000000 ,         1.157796148374809 , 
   2.48714 ,         0.000000000000000 ,         0.000000000000000 ,         0.808805625201127 , 
   2.55259 ,         0.000000000000000 ,         0.098725167770459 ,         1.371182885700817 , 
   2.61804 ,         0.000000000000000 ,         0.234627166204128 ,         1.303484256689600 , 
   2.68349 ,         0.000000000000000 ,         0.312650904952146 ,         1.687322344186186 , 
   2.74894 ,         0.000000000000000 ,         0.638444359906296 ,         1.702518293083457 , 
   2.81439 ,         0.000000000000000 ,         1.096372598077493 ,         1.534019273030237 , 
   2.87984 ,         0.418842363512960 ,         1.047105908782400 ,         1.163451009758222 , 
   2.94529 ,         3.870869159203342 ,         0.815700397533271 ,         1.071121734134599 , 
