Time       moves_acc moves_gen     G(r)_1     S(Q)_1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01
160919.323        5461      100822  0.580E-01  0.993E+00
160931.323        8948      189637  0.512E-01  0.996E+00
160943.323       13248      290027  0.425E-01  0.102E+01
160955.322       32287      722295  0.371E-01  0.117E+01
161007.323       36383      813715  0.343E-01  0.203E+01
161019.323       40893      902563  0.335E-01  0.667E+01
161031.323       45046      993549  0.336E-01  0.315E+02
161043.323       48872     1086607  0.343E-01  0.163E+03
161055.323       53019     1179804  0.296E-01  0.861E+03
161107.323       63072     1408112  0.317E-01  0.454E+04
161119.323       72094     1600951  0.330E-01  0.240E+05
161131.323       75749     1689395  0.294E-01  0.127E+06
161143.323       80664     1783239  0.291E-01  0.669E+06
161155.323       85298     1872747  0.261E-01  0.353E+07
161207.323       89643     1958378  0.310E-01  0.186E+08
161219.322      106472     2292010  0.274E-01  0.984E+08
161231.323      122824     2612134  0.311E-01  0.520E+09
161243.323      127541     2703256  0.279E-01  0.274E+10
161255.323      133702     2793767  0.284E-01  0.145E+11
161307.323      140648     2885317  0.172E-01  0.764E+11
