 Q (1/Ang),Ge-Ge,Ge-O ,O-O  
   0.46825 ,    -0.194701847213172E+01 ,     0.446599794713685E+00 ,    -0.580896674034681E+00 , 
   0.49828 ,    -0.185867922373815E+01 ,     0.554628507217526E+00 ,    -0.540427865364531E+00 , 
   0.52832 ,    -0.178945695549720E+01 ,     0.640256849784342E+00 ,    -0.507860903439961E+00 , 
   0.55835 ,    -0.173924383719713E+01 ,     0.703688201538176E+00 ,    -0.483355251584713E+00 , 
   0.58839 ,    -0.170722976483832E+01 ,     0.745936476116602E+00 ,    -0.466797846188815E+00 , 
   0.61842 ,    -0.169196089443761E+01 ,     0.768743605638042E+00 ,    -0.457819057919208E+00 , 
   0.64846 ,    -0.169142074756943E+01 ,     0.774470605468278E+00 ,    -0.455817484293885E+00 , 
   0.67849 ,    -0.170312993588487E+01 ,     0.765967748653118E+00 ,    -0.459992409851952E+00 , 
   0.70853 ,    -0.172425991577023E+01 ,     0.746430134184939E+00 ,    -0.469382507069205E+00 , 
   0.73856 ,    -0.175175576538402E+01 ,     0.719245382854387E+00 ,    -0.482909150825461E+00 , 
   0.76860 ,    -0.178246278582363E+01 ,     0.687840324474233E+00 ,    -0.499422587868478E+00 , 
   0.79863 ,    -0.181325176644357E+01 ,     0.655533352496144E+00 ,    -0.517749143517111E+00 , 
   0.82867 ,    -0.184113801109906E+01 ,     0.625398633420222E+00 ,    -0.536737660883378E+00 , 
   0.85870 ,    -0.186338967730999E+01 ,     0.600147599943573E+00 ,    -0.555303450260245E+00 , 
   0.88874 ,    -0.187762160560781E+01 ,     0.582032171801695E+00 ,    -0.572468172359744E+00 , 
   0.91878 ,    -0.188187157650847E+01 ,     0.572772989905868E+00 ,    -0.587394280737850E+00 , 
   0.94881 ,    -0.187465678777775E+01 ,     0.573514677907571E+00 ,    -0.599412895999635E+00 , 
   0.97885 ,    -0.185500925245190E+01 ,     0.584808824888958E+00 ,    -0.608044265794194E+00 , 
   1.00888 ,    -0.182248973555738E+01 ,     0.606624078310017E+00 ,    -0.613010267852945E+00 , 
   1.03892 ,    -0.177718073344531E+01 ,     0.638381509892499E+00 ,    -0.614238725749440E+00 , 
   1.06895 ,    -0.171965981654859E+01 ,     0.679012325441283E+00 ,    -0.611859616250336E+00 , 
   1.09899 ,    -0.165095537189731E+01 ,     0.727034081063206E+00 ,    -0.606193541418251E+00 , 
   1.12902 ,    -0.157248737019788E+01 ,     0.780640880718763E+00 ,    -0.597733107545521E+00 , 
   1.15906 ,    -0.148599622549232E+01 ,     0.837802589296390E+00 ,    -0.587118087634861E+00 , 
   1.18909 ,    -0.139346310313174E+01 ,     0.896367914111436E+00 ,    -0.575105437430767E+00 , 
   1.21913 ,    -0.129702516177305E+01 ,     0.954166285217172E+00 ,    -0.562535381892008E+00 , 
   1.24916 ,    -0.119888919269375E+01 ,     0.100910378753287E+01 ,    -0.550294886519462E+00 , 
   1.27920 ,    -0.110124695709078E+01 ,     0.105924894001107E+01 ,    -0.539279875219125E+00 , 
   1.30923 ,    -0.100619523710591E+01 ,     0.110290484310284E+01 ,    -0.530357554443824E+00 , 
   1.33927 ,    -0.915663231429616E+00 ,     0.113866508174285E+01 ,    -0.524330155035022E+00 , 
   1.36930 ,    -0.831349466746326E+00 ,     0.116545172745180E+01 ,    -0.521901312800983E+00 , 
   1.39934 ,    -0.754669888657646E+00 ,     0.118253477753192E+01 ,    -0.523646181950331E+00 , 
   1.42937 ,    -0.686718266610415E+00 ,     0.118953334920050E+01 ,    -0.529986218467327E+00 , 
   1.45941 ,    -0.628239521814950E+00 ,     0.118639986198463E+01 ,    -0.541169390337991E+00 , 
   1.48944 ,    -0.579616087513514E+00 ,     0.117338924804738E+01 ,    -0.557256375420879E+00 , 
   1.51948 ,    -0.540866955942117E+00 ,     0.115101588991387E+01 ,    -0.578113102848888E+00 , 
   1.54951 ,    -0.511658670292070E+00 ,     0.112000146994591E+01 ,    -0.603409786978382E+00 , 
   1.57955 ,    -0.491327192619487E+00 ,     0.108121720776226E+01 ,    -0.632626400370864E+00 , 
   1.60958 ,    -0.478909324954454E+00 ,     0.103562405338691E+01 ,    -0.665064339715600E+00 , 
   1.63962 ,    -0.473182181346557E+00 ,     0.984214298911494E+00 ,    -0.699863860802070E+00 , 
   1.66966 ,    -0.472709099813927E+00 ,     0.927957783923064E+00 ,    -0.736026699604782E+00 , 
   1.69969 ,    -0.475890338462801E+00 ,     0.867755423193735E+00 ,    -0.772443159370321E+00 , 
   1.72973 ,    -0.481016910356860E+00 ,     0.804402210188656E+00 ,    -0.807922830592777E+00 , 
   1.75976 ,    -0.486325966540129E+00 ,     0.738561183654933E+00 ,    -0.841228023458019E+00 , 
   1.78980 ,    -0.490056224955916E+00 ,     0.670749127348180E+00 ,    -0.871108931572153E+00 , 
   1.81983 ,    -0.490502054247459E+00 ,     0.601334046577163E+00 ,    -0.896339511808144E+00 , 
   1.84987 ,    -0.486064946121037E+00 ,     0.530543770423274E+00 ,    -0.915753057638782E+00 , 
