Time       moves_acc moves_gen
h/m/s/.th    WEIGHT PARAMETERS 
133152.686       65924       79402
133204.707      121099      146507
133216.707      159268      192625
133228.686      190489      230200
133240.690      221771      268501
133252.702      272487      330130
133304.688      302339      366402
133316.689      350808      425100
133328.690      409365      495925
133340.683      461394      558481
133352.694      498656      603855
133404.702      556788      673421
133416.695      622107      751887
133428.694      676557      817475
133440.706      729601      881405
133452.683      780044      942401
133504.689      833916     1007601
133516.693      884836     1070701
133528.711      939197     1136302
133540.683     1004538     1215208
133552.686     1091573     1321514
133604.698     1142622     1383296
133616.683     1191613     1443200
133628.685     1248683     1512026
133640.706     1291635     1564006
133652.703     1358556     1644606
133704.690     1419537     1718601
133716.693     1498177     1814001
133728.686     1548379     1874819
133740.710     1606654     1945668
133752.712     1661931     2012616
133804.706     1708020     2068802
133816.688     1768168     2141341
133828.706     1826919     2213182
133840.705     1893827     2295231
133852.696     1954393     2368988
133904.690     2005136     2430802
133916.683     2073771     2514995
133928.699     2131816     2585702
133940.697     2177912     2641161
133952.702     2232481     2707301
134004.691     2290642     2778163
134016.693     2345457     2844494
134028.688     2395226     2904401
134040.685     2455745     2978103
134052.690     2521036     3057201
134104.714     2570059     3116802
134116.685     2631875     3192235
134128.693     2700998     3277247
134140.689     2754674     3342207
134152.695     2803689     3401782
134204.683     2852674     3461267
134216.706     2896778     3515119
134228.693     2932393     3558178
134240.689     2969929     3603901
134252.687     3030807     3677275
134304.714     3084809     3743723
134316.686     3156134     3830969
134328.693     3210462     3897041
134340.690     3244163     3938101
134352.687     3295887     4000600
134404.716     3350306     4066547
134416.694     3401437     4129708
134428.714     3461702     4202404
134440.713     3533538     4288802
134452.690     3610303     4382602
134504.694     3649523     4430692
134516.693     3699923     4492965
134528.693     3758706     4564102
134540.702     3806431     4622401
134552.707     3865275     4694202
134604.698     3925511     4767601
134616.709     3968169     4819101
134628.700     4016263     4877302
134641.702     4091555     4969002
134653.707     4142895     5030502
134705.697     4194176     5092600
134717.691     4248820     5158800
134729.689     4322491     5248901
134741.706     4376768     5315504
134753.704     4430451     5380921
134805.695     4506789     5473301
134817.695     4584073     5566904
134829.746     4668860     5670607
134841.709     4745141     5765001
134853.699     4800979     5833301
134905.690     4861011     5905501
134917.702     4904593     5958884
134929.698     4940910     6002978
134941.691     4995150     6068379
134953.693     5043604     6127300
135005.694     5073823     6163801
135017.689     5129304     6230576
135029.695     5229576     6352301
135041.703     5301388     6438202
135053.717     5362068     6512826
135105.692     5416919     6579801
135117.693     5476939     6652672
135129.690     5530808     6717854
135141.703     5585651     6784486
135153.703     5647906     6859653
135205.692     5717864     6944804
135217.690     5780661     7020507
135229.700     5845765     7098702
135241.712     5889275     7151206
135253.712     5935917     7207052
135305.694     6057203     7354218
135317.695     6103185     7409708
135329.697     6152338     7469045
135341.706     6225386     7557801
135353.710     6290950     7637409
135405.693     6383301     7749300
135417.700     6445084     7824400
135429.687     6509844     7902791
135441.710     6575056     7982822
135453.721     6631120     8051303
135505.707     6685354     8117469
135517.695     6730995     8172935
135529.698     6783932     8237204
135541.709     6852690     8320208
135553.708     6908593     8387849
135605.690     6970681     8462601
135617.694     7027907     8532200
135629.698     7102737     8622863
135641.692     7162686     8695101
135653.690     7210293     8753403
135705.699     7269595     8825605
135717.705     7334906     8904905
135729.694     7402808     8988018
135741.694     7452956     9049238
135753.689     7514349     9124400
135805.704     7566562     9189107
135817.712     7631879     9269404
135829.713     7704008     9357415
135841.717     7742231     9404505
135853.718     7807936     9484001
135905.715     7906697     9603701
135917.710     7963605     9673401
135929.699     8020036     9741803
135941.700     8083940     9820201
135953.706     8137204     9884860
140005.694     8203019     9964699
140017.689     8255921    10028453
140029.697     8322937    10110301
140041.695     8398223    10201800
140053.711     8469728    10289002
140105.702     8531612    10363782
140117.698     8587241    10432002
140129.689     8655990    10514805
140141.698     8726308    10600002
