Time       moves_acc moves_gen
h/m/s/.th    WEIGHT PARAMETERS 
152751.440      446235      524131
152803.453     1022761     1204112
152815.440     1530948     1808461
152827.450     2071826     2452268
152839.446     2619277     3102244
152851.440     3173090     3758913
152903.462     3645416     4319695
152915.439     4178780     4950840
152927.440     4570748     5415601
152939.448     5013490     5943047
152951.440     5564647     6600257
153003.441     6134634     7279301
153015.440     6781708     8049334
153027.455     7365284     8744084
153039.447     7819918     9282693
153051.442     8329589     9887600
153103.446     8953172    10625710
153115.439     9507919    11281510
153127.456     9948265    11803692
153139.439    10476982    12430842
153151.439    11086367    13154020
153203.458    11726817    13911702
153215.441    12268922    14556347
153227.445    12938946    15356335
153239.443    13385851    15885102
153251.446    14076157    16710345
153303.441    14633207    17372520
153315.445    15112250    17940705
153327.441    15545466    18456441
153339.462    15948451    18936221
153351.491    16223624    19261565
153403.439    16693665    19816690
153415.439    17241465    20467529
153427.457    17676057    20983301
153439.454    18070972    21452247
153451.444    18702037    22200709
153503.439    19309397    22921991
153515.444    19696862    23383600
153527.446    20272296    24064855
153539.440    20941743    24863738
153551.439    21543126    25576007
153603.440    22103951    26242354
153615.439    22459023    26662801
153627.462    23120914    27448125
153639.442    23505401    27905801
153651.459    24120258    28633488
153703.439    24650290    29260597
153715.441    25109337    29807504
153727.441    25632982    30431613
153739.447    26059575    30938993
153751.447    26635970    31626604
153803.447    27079282    32156501
153815.445    27629001    32809200
153827.439    28194012    33478660
153839.447    28833430    34236043
153851.445    29353979    34857201
153903.454    29659755    35221071
153915.439    30224380    35894012
153927.441    30831076    36614003
153939.440    31159123    37002266
153951.446    31715127    37663578
154003.455    32295873    38352702
154015.445    32830542    38991333
154027.441    33301066    39552902
154039.446    33951919    40325794
154051.444    34423951    40885066
154103.452    34751990    41276952
154115.445    35245504    41861769
154127.452    35627838    42315845
154139.445    35901251    42636471
154151.440    36426351    43257657
154203.450    37046580    43993064
154215.440    37638088    44694804
154227.442    38200680    45359689
154239.439    38699736    45952572
154251.445    39163574    46505506
154303.462    39832219    47297701
154315.447    40499133    48088800
154327.440    41052024    48742302
154339.439    41513161    49287223
154351.448    42068574    49944556
154403.440    42517844    50479376
154415.445    43014522    51066866
154427.469    43443643    51576626
154439.459    43702659    51884660
154451.445    44198681    52476783
154503.464    44623196    52983903
154515.461    45080220    53526028
154527.460    45426406    53938417
154539.454    45767154    54343050
154551.443    46338790    55022074
154603.440    46915188    55706557
154615.439    47498437    56399592
154627.449    47946150    56930191
154639.440    48351652    57410866
154651.456    48701154    57826437
154703.447    49255605    58486000
154715.446    49751630    59072011
154727.471    50192692    59595602
154739.442    50642294    60128988
154751.441    51026097    60587752
154803.447    51563979    61225637
154815.442    52173150    61946026
154827.441    52718679    62596125
154839.458    53270056    63253902
154851.442    53914367    64019608
154903.446    54433977    64637800
154915.439    55110817    65447219
154927.440    55776170    66236701
154939.451    56239910    66783733
154951.440    56842825    67501700
155003.446    57407581    68170795
155015.442    57795101    68629983
155027.450    58270660    69198001
155039.440    58857283    69893058
155051.462    59348416    70475168
155103.441    59750875    70952649
155115.439    60266809    71565694
155127.442    60732546    72117931
155139.440    61368251    72876975
155151.440    61814335    73407446
155203.442    62332434    74024956
155215.439    62862896    74655988
155227.466    63472840    75381277
155239.439    64050094    76065946
155251.446    64470752    76562644
155303.480    65021969    77220852
155315.442    65428227    77702823
155327.440    65981239    78357326
155339.463    66200306    78617802
155351.444    66552223    79033700
155403.444    67186307    79786107
155415.449    67637278    80323092
155427.439    68070647    80835960
155439.447    68704258    81585383
155451.446    69086626    82041421
155503.446    69496786    82528013
155515.453    69949284    83063754
155527.442    70432446    83641163
155539.452    71074972    84406735
155551.439    71574165    85001798
155603.440    71988660    85494152
155615.443    72560841    86174679
155627.446    73077929    86786801
155639.462    73613841    87423494
155651.442    74230578    88156842
155703.439    74812681    88846802
155715.447    75445123    89597303
155727.440    76042867    90305545
155739.446    76685489    91066801
