 Results from RMCProfile version 6.7.9.5

 (Version 6f format configuration file)                                          

 0 experiments   1 partials

 Partial g(r)'s are printed out below

   128  1 are NR and NPAR

   r (Ang)
   0.06545     0.00000
   0.13090     0.00000
   0.19635     0.00000
   0.26180     0.00000
   0.32725     0.00000
   0.39271     0.00000
   0.45816     0.00000
   0.52361     0.00000
   0.58906     0.00000
   0.65451     0.00000
   0.71996     0.00000
   0.78541     0.00000
   0.85086     0.00000
   0.91631     0.00000
   0.98176     0.00000
   1.04721     0.00000
   1.11267     0.00000
   1.17812     0.00000
   1.24357     0.00000
   1.30902     0.00000
   1.37447     0.00000
   1.43992     0.00000
   1.50537     0.00000
   1.57082     0.00000
   1.63627     0.00000
   1.70172     0.00000
   1.76718     0.00000
   1.83263     0.00000
   1.89808     0.00000
   1.96353     0.00000
   2.02898     0.00000
   2.09443     0.00000
   2.15988     0.00000
   2.22533     0.00000
   2.29078     0.00000
   2.35623     0.00000
   2.42168     0.00000
   2.48714     0.00000
   2.55259     0.00000
   2.61804     0.00000
   2.68349     0.00000
   2.74894     0.00000
   2.81439     0.00000
   2.87984     0.41884
   2.94529     1.60174
   3.01074     1.66060
   3.07619     2.44721
   3.14164     2.11168
   3.20710     2.13895
   3.27255     2.70296
   3.33800     2.39016
   3.40345     2.09919
   3.46890     1.25093
   3.53435     1.94658
   3.59980     1.42967
   3.66525     0.51715
   3.73070     0.83194
   3.79615     1.12490
   3.86161     0.77650
   3.92706     0.52558
   3.99251     0.72641
   4.05796     1.12507
   4.12341     1.02154
   4.18886     0.92387
   4.25431     0.63976
   4.31976     0.93078
   4.38521     0.78278
   4.45066     1.11066
   4.51611     0.73806
   4.58157     1.10327
   4.64702     0.53620
   4.71247     1.25139
   4.77792     1.01445
   4.84337     0.88850
   4.90882     0.91302
   4.97427     0.79555
   5.03972     0.91179
   5.10517     0.71085
   5.17062     0.69297
   5.23607     1.05586
   5.30153     1.23594
   5.36698     0.56279
   5.43243     0.86321
   5.49788     0.95770
   5.56333     0.97271
   5.62878     1.09641
   5.69423     0.82137
   5.75968     0.97733
   5.82513     0.68249
   5.89058     1.06786
   5.95604     1.14244
   6.02149     1.14968
   6.08694     0.84381
   6.15239     1.40719
   6.21784     1.04826
   6.28329     0.93855
   6.34874     1.20658
   6.41419     0.95692
   6.47964     1.15832
   6.54509     0.89200
   6.61054     1.03341
   6.67600     1.14315
   6.74145     1.24845
   6.80690     1.04962
   6.87235     1.29941
   6.93780     0.84199
   7.00325     1.18046
   7.06870     1.04283
   7.13415     0.84178
   7.19960     0.98292
   7.26505     1.20661
   7.33050     1.03432
   7.39596     0.99493
   7.46141     1.16474
   7.52686     0.91975
   7.59231     0.86378
   7.65776     0.84908
   7.72321     1.08711
   7.78866     0.78260
   7.85411     0.95732
   7.91956     0.94157
   7.98501     1.19860
   8.05046     0.69680
   8.11592     0.84382
   8.18137     1.02066
   8.24682     1.05561
   8.31227     1.18988
   8.37772     0.97338
