 Q (1/Ang),Ge-Ge,Ge-O ,O-O  
   0.46825 ,    -0.294069946938571E+01 ,     0.500884266094844E-01 ,    -0.121084221129718E+01 , 
   0.49828 ,    -0.290509847978495E+01 ,     0.487113451299710E-01 ,    -0.120814410265323E+01 , 
   0.52832 ,    -0.286134063640011E+01 ,     0.469479631115893E-01 ,    -0.120844606571853E+01 , 
   0.55835 ,    -0.281364004125580E+01 ,     0.447231327323808E-01 ,    -0.121158871212220E+01 , 
   0.58838 ,    -0.276614240188311E+01 ,     0.420119296021831E-01 ,    -0.121724119175176E+01 , 
   0.61841 ,    -0.272260322850815E+01 ,     0.388471961890270E-01 ,    -0.122491254624927E+01 , 
   0.64843 ,    -0.268610971718062E+01 ,     0.353216916989943E-01 ,    -0.123397472078714E+01 , 
   0.67846 ,    -0.265886677903941E+01 ,     0.315845894628679E-01 ,    -0.124369628956842E+01 , 
   0.70848 ,    -0.264206192596098E+01 ,     0.278326353003594E-01 ,    -0.125328497757321E+01 , 
   0.73850 ,    -0.263581692403640E+01 ,     0.242968238472490E-01 ,    -0.126193619920339E+01 , 
   0.76852 ,    -0.263922686116672E+01 ,     0.212259082192315E-01 ,    -0.126888417034002E+01 , 
   0.79854 ,    -0.265048015278635E+01 ,     0.188683835616296E-01 ,    -0.127345175554761E+01 , 
   0.82855 ,    -0.266704661474529E+01 ,     0.174547420254942E-01 ,    -0.127509513587503E+01 , 
   0.85856 ,    -0.268591557579237E+01 ,     0.171817673740429E-01 ,    -0.127343964608463E+01 , 
   0.88857 ,    -0.270386248024453E+01 ,     0.182004224986782E-01 ,    -0.126830372345499E+01 , 
   0.91857 ,    -0.271772079499696E+01 ,     0.206085024124191E-01 ,    -0.125970879284491E+01 , 
   0.94858 ,    -0.272463637112228E+01 ,     0.244487159143289E-01 ,    -0.124787401568531E+01 , 
   0.97858 ,    -0.272228363872648E+01 ,     0.297122720217867E-01 ,    -0.123319606271009E+01 , 
   1.00857 ,    -0.270902689753840E+01 ,     0.363474422606006E-01 ,    -0.121621532566112E+01 , 
   1.03857 ,    -0.268401513489600E+01 ,     0.442720097625741E-01 ,    -0.119757115082201E+01 , 
   1.06856 ,    -0.264720478868606E+01 ,     0.533880602903761E-01 ,    -0.117794965088228E+01 , 
   1.09855 ,    -0.259931115011504E+01 ,     0.635972688389660E-01 ,    -0.115802833992641E+01 , 
   1.12853 ,    -0.254169513391410E+01 ,     0.748147237787461E-01 ,    -0.113842217139755E+01 , 
   1.15851 ,    -0.247619743063570E+01 ,     0.869794255579631E-01 ,    -0.111963550301682E+01 , 
   1.18849 ,    -0.240493617254783E+01 ,     0.100059895157444E+00 ,    -0.110202406241918E+01 , 
   1.21846 ,    -0.233008687730540E+01 ,     0.114053804532258E+00 ,    -0.108577017450418E+01 , 
   1.24843 ,    -0.225366440238280E+01 ,     0.128981154243983E+00 ,    -0.107087340102313E+01 , 
