 Q (1/Ang),Ge-Ge,Ge-O ,O-O  
   0.46825 ,    -0.260047449753821E+01 ,    -0.532882021968353E-01 ,    -0.135521055297115E+01 , 
   0.49828 ,    -0.262078596326585E+01 ,     0.199928620136276E+00 ,    -0.128079946336909E+01 , 
   0.52832 ,    -0.264422802212825E+01 ,     0.427014184161684E+00 ,    -0.121637085995595E+01 , 
   0.55835 ,    -0.266990263792983E+01 ,     0.625173463260524E+00 ,    -0.116241159281166E+01 , 
   0.58838 ,    -0.269669230242158E+01 ,     0.792422239078055E+00 ,    -0.111904656088500E+01 , 
   0.61841 ,    -0.272328833386661E+01 ,     0.927616331685775E+00 ,    -0.108604600632356E+01 , 
   0.64843 ,    -0.274822789200412E+01 ,     0.103045827625199E+01 ,    -0.106284450506213E+01 , 
   0.67846 ,    -0.276993856854749E+01 ,     0.110148157673001E+01 ,    -0.104857091947858E+01 , 
   0.70848 ,    -0.278678910459844E+01 ,     0.114201327957200E+01 ,    -0.104208821498722E+01 , 
   0.73850 ,    -0.279714452732975E+01 ,     0.115411619534471E+01 ,    -0.104204171620762E+01 , 
   0.76852 ,    -0.279942379791524E+01 ,     0.114051263703143E+01 ,    -0.104691410066263E+01 , 
   0.79854 ,    -0.279215792886207E+01 ,     0.110449202586821E+01 ,    -0.105508520802004E+01 , 
   0.82855 ,    -0.277404646718994E+01 ,     0.104980512577208E+01 ,    -0.106489458794418E+01 , 
   0.85856 ,    -0.274401025333068E+01 ,     0.980547994995700E+00 ,    -0.107470462472598E+01 , 
   0.88857 ,    -0.270123845455188E+01 ,     0.901038980335854E+00 ,    -0.108296206471820E+01 , 
   0.91857 ,    -0.264522803381577E+01 ,     0.815692219517308E+00 ,    -0.108825583348508E+01 , 
   0.94858 ,    -0.257581404532596E+01 ,     0.728891158623110E+00 ,    -0.108936916130858E+01 , 
   0.97858 ,    -0.249318943918632E+01 ,     0.644865533904924E+00 ,    -0.108532423374182E+01 , 
   1.00857 ,    -0.239791339998706E+01 ,     0.567575114103433E+00 ,    -0.107541784152203E+01 , 
   1.03857 ,    -0.229090762624573E+01 ,     0.500603256385007E+00 ,    -0.105924681263624E+01 , 
   1.06856 ,    -0.217344036648284E+01 ,     0.447063004519694E+00 ,    -0.103672235827927E+01 , 
