Time       moves_acc moves_gen     G(r)_1     S(Q)_1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01
114128.571       17481      332286  0.972E-01  0.101E+01
114140.571       30744      630358  0.101E+00  0.101E+01
114152.571       42129      933324  0.108E+00  0.101E+01
114204.571       52729     1239466  0.965E-01  0.101E+01
114216.571       65368     1538554  0.881E-01  0.101E+01
114228.571       77757     1837275  0.912E-01  0.101E+01
114240.572       89728     2142645  0.913E-01  0.100E+01
114252.571      100682     2446203  0.945E-01  0.100E+01
114304.571      114330     2757973  0.854E-01  0.100E+01
114316.571      123742     3050017  0.906E-01  0.100E+01
114328.571      133990     3343654  0.833E-01  0.100E+01
114340.571      144197     3629402  0.775E-01  0.100E+01
114352.571      156457     3918963  0.777E-01  0.100E+01
114404.571      168033     4217530  0.819E-01  0.100E+01
114416.571      179719     4537609  0.836E-01  0.100E+01
114428.571      190182     4832628  0.785E-01  0.100E+01
114440.571      202323     5144764  0.729E-01  0.100E+01
114452.571      212165     5454823  0.731E-01  0.100E+01
114504.571      223689     5746084  0.754E-01  0.100E+01
114516.571      233688     6054491  0.745E-01  0.100E+01
114528.571      244715     6368157  0.762E-01  0.100E+01
114540.571      255075     6673695  0.681E-01  0.100E+01
114552.571      267509     6983206  0.748E-01  0.100E+01
114604.571      280163     7296879  0.705E-01  0.100E+01
114616.571      292604     7597981  0.765E-01  0.100E+01
114628.571      304524     7911123  0.759E-01  0.100E+01
114640.571      315186     8220290  0.782E-01  0.100E+01
114652.571      327241     8527420  0.744E-01  0.100E+01
114704.571      339654     8840568  0.736E-01  0.100E+01
114716.571      353822     9142495  0.624E-01  0.100E+01
114728.571      364814     9464480  0.713E-01  0.100E+01
114740.571      376049     9772191  0.637E-01  0.100E+01
114752.571      387717    10089415  0.630E-01  0.100E+01
114804.571      399227    10399983  0.705E-01  0.100E+01
114816.571      409439    10717514  0.717E-01  0.100E+01
114828.571      419929    11038053  0.719E-01  0.100E+01
114840.571      431980    11341576  0.579E-01  0.100E+01
114852.571      442765    11638555  0.531E-01  0.100E+01
114904.571      452482    11931349  0.578E-01  0.100E+01
114916.571      462524    12207879  0.565E-01  0.100E+01
114928.571      470393    12484190  0.538E-01  0.100E+01
114940.571      479426    12757692  0.476E-01  0.100E+01
114952.571      489659    13036529  0.373E-01  0.100E+01
115004.571      500831    13343829  0.515E-01  0.100E+01
115016.571      509599    13654029  0.561E-01  0.100E+01
115028.571      520555    13990987  0.537E-01  0.100E+01
115040.571      531602    14315077  0.502E-01  0.100E+01
115052.571      541548    14618509  0.579E-01  0.100E+01
115104.571      550521    14931176  0.544E-01  0.100E+01
115116.571      559785    15247398  0.589E-01  0.100E+01
