Time       moves_acc moves_gen     G(r)_1     S(Q)_1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01
130007.855       11297      335313  0.532E-01  0.100E+01
130019.855       20663      626702  0.559E-01  0.100E+01
130031.855       30592      917066  0.424E-01  0.100E+01
130043.855       39817     1208295  0.553E-01  0.100E+01
130055.855       51344     1506731  0.489E-01  0.100E+01
130107.855       64652     1858831  0.573E-01  0.100E+01
130119.855       76400     2215426  0.485E-01  0.100E+01
130131.855       87641     2519521  0.584E-01  0.100E+01
130143.855       96549     2824571  0.496E-01  0.100E+01
130155.855      106349     3121877  0.480E-01  0.100E+01
130207.855      114208     3417439  0.496E-01  0.100E+01
130219.855      121421     3715712  0.498E-01  0.100E+01
130231.855      133243     4012907  0.535E-01  0.100E+01
130243.855      142633     4308158  0.568E-01  0.100E+01
130255.855      150119     4603556  0.605E-01  0.100E+01
130307.855      158479     4916497  0.523E-01  0.100E+01
130319.855      166772     5235275  0.565E-01  0.100E+01
130331.855      176895     5552806  0.514E-01  0.100E+01
130343.856      186538     5862812  0.586E-01  0.100E+01
130355.855      195992     6171473  0.565E-01  0.100E+01
130407.855      205353     6482392  0.515E-01  0.100E+01
130419.855      216011     6800615  0.423E-01  0.100E+01
130431.855      225195     7114281  0.483E-01  0.100E+01
130443.855      234726     7430593  0.451E-01  0.100E+01
130455.855      245131     7748228  0.529E-01  0.100E+01
130507.855      255544     8064992  0.604E-01  0.999E+00
130519.855      267172     8381699  0.572E-01  0.100E+01
130531.855      279134     8699139  0.595E-01  0.100E+01
130543.855      289831     9015234  0.496E-01  0.100E+01
130555.855      299745     9331205  0.571E-01  0.100E+01
130607.855      309943     9648362  0.604E-01  0.100E+01
130619.855      321436     9963710  0.386E-01  0.100E+01
130631.855      331844    10281046  0.533E-01  0.100E+01
130643.855      341843    10597861  0.580E-01  0.100E+01
130655.855      351774    10920047  0.566E-01  0.100E+01
130707.855      360519    11233047  0.544E-01  0.100E+01
130719.855      371915    11551966  0.537E-01  0.100E+01
130731.855      382841    11868642  0.574E-01  0.100E+01
130743.855      392301    12175865  0.514E-01  0.100E+01
