Time       moves_acc moves_gen     G(r)_1     S(Q)_1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01
125331.818       37161      445807  0.224E-01  0.102E+01
125343.818       76567      905614  0.229E-01  0.102E+01
125355.818      111179     1341815  0.237E-01  0.101E+01
125407.818      137779     1690382  0.230E-01  0.101E+01
125419.820      162739     2038959  0.227E-01  0.101E+01
125431.820      191026     2395225  0.223E-01  0.101E+01
125443.818      221209     2785097  0.225E-01  0.101E+01
125455.818      248101     3148999  0.229E-01  0.101E+01
125507.818      277453     3544224  0.258E-01  0.101E+01
125519.818      305230     3917540  0.232E-01  0.101E+01
125531.818      334183     4309303  0.234E-01  0.101E+01
125543.818      365649     4707196  0.239E-01  0.101E+01
125555.818      394975     5103625  0.250E-01  0.101E+01
125607.818      424990     5501486  0.227E-01  0.101E+01
125619.818      454502     5897533  0.259E-01  0.101E+01
125631.818      485772     6290507  0.240E-01  0.101E+01
125643.818      517818     6685522  0.243E-01  0.101E+01
125655.818      545809     7080649  0.243E-01  0.101E+01
125707.818      574435     7476662  0.238E-01  0.101E+01
125719.818      602055     7871314  0.233E-01  0.101E+01
125731.818      631285     8267208  0.229E-01  0.101E+01
125743.818      658805     8664807  0.242E-01  0.101E+01
125755.818      686151     9061527  0.246E-01  0.101E+01
125807.818      714585     9458892  0.234E-01  0.101E+01
125819.818      742097     9856353  0.247E-01  0.101E+01
125831.818      770622    10257060  0.236E-01  0.101E+01
125843.818      798467    10653680  0.241E-01  0.101E+01
125855.818      829539    11051205  0.227E-01  0.101E+01
125907.818      858018    11447628  0.229E-01  0.101E+01
125919.818      884988    11841981  0.229E-01  0.101E+01
125931.818      914421    12238866  0.219E-01  0.101E+01
125943.818      942652    12638086  0.231E-01  0.101E+01
125955.818      970925    13036951  0.238E-01  0.101E+01
130007.818      999773    13435790  0.223E-01  0.101E+01
130019.818     1028031    13831336  0.223E-01  0.101E+01
130031.818     1055166    14229554  0.223E-01  0.101E+01
130043.818     1082089    14626599  0.250E-01  0.101E+01
130055.818     1109789    15023166  0.245E-01  0.101E+01
130107.818     1138710    15422000  0.341E-01  0.149E+01
130119.818     1167110    15817261  0.239E-01  0.101E+01
130131.818     1195586    16215551  0.242E-01  0.101E+01
130143.818     1223286    16614947  0.222E-01  0.101E+01
130155.818     1253595    17015568  0.216E-01  0.101E+01
130207.818     1280941    17413127  0.235E-01  0.101E+01
130219.818     1309237    17809876  0.254E-01  0.101E+01
130231.818     1338147    18208079  0.262E-01  0.101E+01
130243.818     1366498    18602290  0.236E-01  0.101E+01
130255.818     1397861    18999030  0.249E-01  0.101E+01
130307.818     1425106    19395582  0.242E-01  0.101E+01
130319.818     1453866    19792546  0.235E-01  0.101E+01
130331.818     1482742    20189888  0.241E-01  0.101E+01
130343.818     1513046    20585884  0.243E-01  0.101E+01
130355.818     1543614    20982957  0.233E-01  0.101E+01
130407.818     1570931    21380295  0.230E-01  0.101E+01
130419.818     1598723    21776055  0.218E-01  0.101E+01
130431.818     1626050    22172372  0.223E-01  0.101E+01
130443.818     1654858    22569206  0.240E-01  0.101E+01
130455.818     1684963    22966083  0.228E-01  0.101E+01
130507.818     1713875    23362203  0.242E-01  0.101E+01
130519.818     1743448    23803207  0.221E-01  0.101E+01
130531.818     1777492    24299185  0.221E-01  0.101E+01
130543.818     1814335    24797871  0.244E-01  0.101E+01
130555.818     1842206    25197386  0.229E-01  0.101E+01
130607.818     1870721    25595337  0.233E-01  0.101E+01
130619.818     1898653    25992559  0.235E-01  0.101E+01
130631.818     1925987    26390531  0.232E-01  0.101E+01
130643.818     1952961    26791636  0.243E-01  0.101E+01
130655.818     1982819    27188639  0.217E-01  0.101E+01
130707.818     2013445    27586454  0.217E-01  0.101E+01
130719.818     2042394    27983004  0.238E-01  0.101E+01
130731.818     2071029    28381009  0.243E-01  0.101E+01
130743.818     2098748    28780758  0.236E-01  0.101E+01
130755.818     2126801    29178687  0.230E-01  0.101E+01
130807.818     2154255    29581030  0.244E-01  0.101E+01
130819.818     2181236    29978655  0.225E-01  0.101E+01
130831.818     2208300    30375582  0.234E-01  0.101E+01
130843.818     2236320    30774987  0.236E-01  0.101E+01
130855.818     2263930    31173141  0.228E-01  0.101E+01
130907.818     2292698    31572562  0.219E-01  0.101E+01
130919.818     2320691    31969297  0.224E-01  0.101E+01
130931.818     2350724    32369063  0.232E-01  0.101E+01
