 Q (1/Ang),Ge-Ge,Ge-O ,O-O  
   0.46825 ,    -0.242906284277832E+01 ,    -0.313177863180122E-01 ,    -0.120693759616308E+01 , 
   0.49828 ,    -0.215074223537833E+01 ,     0.532711767371812E-01 ,    -0.114240392049436E+01 , 
   0.52832 ,    -0.192631053358996E+01 ,     0.130956273894313E+00 ,    -0.109565480644806E+01 , 
   0.55835 ,    -0.175875610498998E+01 ,     0.200738412421162E+00 ,    -0.106708987020463E+01 , 
   0.58838 ,    -0.164934078931915E+01 ,     0.261825110838552E+00 ,    -0.105649446978119E+01 , 
   0.61841 ,    -0.159758873220813E+01 ,     0.313646326131399E+00 ,    -0.106305400040033E+01 , 
   0.64843 ,    -0.160132638340451E+01 ,     0.355865257319377E+00 ,    -0.108538793399957E+01 , 
   0.67846 ,    -0.165677201665998E+01 ,     0.388383878092898E+00 ,    -0.112160242391395E+01 , 
   0.70848 ,    -0.175867164767410E+01 ,     0.411343066591682E+00 ,    -0.116935968522842E+01 , 
   0.73850 ,    -0.190047685183683E+01 ,     0.425117318876446E+00 ,    -0.122596181038925E+01 , 
   0.76852 ,    -0.207455875664041E+01 ,     0.430304151657055E+00 ,    -0.128844620645418E+01 , 
   0.79854 ,    -0.227245144133105E+01 ,     0.427708416817502E+00 ,    -0.135368946032818E+01 , 
   0.82855 ,    -0.248511714941624E+01 ,     0.418321862685349E+00 ,    -0.141851616386194E+01 , 
   0.85856 ,    -0.270322513186615E+01 ,     0.403298382392707E+00 ,    -0.147980907067171E+01 , 
   0.88857 ,    -0.291743560644179E+01 ,     0.383925485777104E+00 ,    -0.153461691607984E+01 , 
   0.91857 ,    -0.311868024964374E+01 ,     0.361592615980043E+00 ,    -0.158025631183999E+01 , 
   0.94858 ,    -0.329843083211915E+01 ,     0.337757003366282E+00 ,    -0.161440432549536E+01 , 
   0.97858 ,    -0.344894805758948E+01 ,     0.313907806036440E+00 ,    -0.163517866364791E+01 , 
   1.00857 ,    -0.356350335319051E+01 ,     0.291529326782232E+00 ,    -0.164120278878037E+01 , 
   1.03857 ,    -0.363656726197221E+01 ,     0.272064119921780E+00 ,    -0.163165379696774E+01 , 
   1.06856 ,    -0.366395917612465E+01 ,     0.256876807497523E+00 ,    -0.160629145240618E+01 , 
   1.09855 ,    -0.364295438672778E+01 ,     0.247219412640019E+00 ,    -0.156546739545233E+01 , 
   1.12853 ,    -0.357234577261196E+01 ,     0.244198988694117E+00 ,    -0.151011419342017E+01 , 
   1.15851 ,    -0.345245886439106E+01 ,     0.248748276540715E+00 ,    -0.144171456634931E+01 , 
   1.18849 ,    -0.328512045539397E+01 ,     0.261600060361604E+00 ,    -0.136225177167416E+01 , 
   1.21846 ,    -0.307358234436216E+01 ,     0.283265815165237E+00 ,    -0.127414275094991E+01 , 
   1.24843 ,    -0.282240314189428E+01 ,     0.314019149314054E+00 ,    -0.118015620840470E+01 , 
   1.27840 ,    -0.253729231275449E+01 ,     0.353884443951156E+00 ,    -0.108331828673820E+01 , 
   1.30836 ,    -0.222492172219517E+01 ,     0.402630980744130E+00 ,    -0.986808914287128E+00 , 
   1.33832 ,    -0.189271087420036E+01 ,     0.459772732077688E+00 ,    -0.893852206317138E+00 , 
   1.36827 ,    -0.154859274676384E+01 ,     0.524573866219522E+00 ,    -0.807604501962066E+00 , 
   1.39822 ,    -0.120076762436971E+01 ,     0.596059896643083E+00 ,    -0.731043700994848E+00 , 
   1.42817 ,    -0.857452588336591E+00 ,     0.673034282252139E+00 ,    -0.666863528749230E+00 , 
   1.45811 ,    -0.526634346713257E+00 ,     0.754100166343469E+00 ,    -0.617376204532119E+00 , 
   1.48805 ,    -0.215832869627705E+00 ,     0.837686829331149E+00 ,    -0.584426723974611E+00 , 
   1.51798 ,     0.681171465789774E-01 ,     0.922080325986368E+00 ,    -0.569321597763826E+00 , 
   1.54791 ,     0.319260615469044E+00 ,     0.100545768449858E+01 ,    -0.572774430171534E+00 , 
   1.57783 ,     0.532686664754816E+00 ,     0.108592396409536E+01 ,    -0.594870185729317E+00 , 
   1.60775 ,     0.704658973060049E+00 ,     0.116155140206400E+01 ,    -0.635049398660662E+00 , 
   1.63766 ,     0.832708424407735E+00 ,     0.123041983128751E+01 ,    -0.692112946446463E+00 , 
   1.66757 ,     0.915685874066738E+00 ,     0.129065751699363E+01 ,    -0.764247356533713E+00 , 
   1.69747 ,     0.953774076486214E+00 ,     0.134048154710453E+01 ,    -0.849069964577332E+00 , 
   1.72737 ,     0.948459091980520E+00 ,     0.137823691477082E+01 ,    -0.943692614455303E+00 , 
   1.75726 ,     0.902462724109204E+00 ,     0.140243345438328E+01 ,    -0.104480200451648E+01 , 
   1.78715 ,     0.819638706431840E+00 ,     0.141177983318773E+01 ,    -0.114875425954990E+01 , 
   1.81703 ,     0.704836420376499E+00 ,     0.140521385879866E+01 ,    -0.125168086020402E+01 , 
   1.84691 ,     0.563736854046922E+00 ,     0.138192843725024E+01 ,    -0.134960270488061E+01 , 
   1.87678 ,     0.402666278370047E+00 ,     0.134139260521772E+01 ,    -0.143854882434894E+01 , 
   1.90664 ,     0.228393701034274E+00 ,     0.128336716183868E+01 ,    -0.151467612403226E+01 , 
   1.93650 ,     0.479185452635199E-01 ,     0.120791453802228E+01 ,    -0.157438649715042E+01 , 
   1.96636 ,    -0.131744818855611E+00 ,     0.111540266187123E+01 ,    -0.161443773407377E+01 , 
   1.99620 ,    -0.303779089880341E+00 ,     0.100650270527477E+01 ,    -0.163204484615979E+01 , 
   2.02604 ,    -0.461766226918693E+00 ,     0.882180726139403E+00 ,    -0.162496871933430E+01 , 
   2.05588 ,    -0.599873869770070E+00 ,     0.743683350305240E+00 ,    -0.159158940383494E+01 , 
   2.08571 ,    -0.713020636671385E+00 ,     0.592517764123540E+00 ,    -0.153096181905819E+01 , 
   2.11553 ,    -0.797015699832836E+00 ,     0.430426410163178E+00 ,    -0.144285219108242E+01 , 
   2.14535 ,    -0.848668916644132E+00 ,     0.259356891889788E+00 ,    -0.132775412796827E+01 , 
   2.17516 ,    -0.865868769154845E+00 ,     0.814276959053832E-01 ,    -0.118688385576414E+01 , 
   2.20496 ,    -0.847626403866310E+00 ,    -0.101109569846062E+00 ,    -0.102215476688563E+01 , 
   2.23476 ,    -0.794085134319356E+00 ,    -0.285910648630496E+00 ,    -0.836132052643456E+00 , 
   2.26455 ,    -0.706495836436517E+00 ,    -0.470580986729431E+00 ,    -0.631968784074100E+00 , 
   2.29433 ,    -0.587159697890888E+00 ,    -0.652719092747210E+00 ,    -0.413325351840000E+00 , 
   2.32410 ,    -0.439340746571490E+00 ,    -0.829960011336482E+00 ,    -0.184274660384920E+00 , 
   2.35387 ,    -0.267151450933127E+00 ,    -0.100001801636213E+01 ,     0.508041205626496E-01 , 
   2.38363 ,    -0.754154317323371E-01 ,    -0.116072764614591E+01 ,     0.287340124430651E+00 , 
   2.41339 ,     0.130488070210938E+00 ,    -0.131008224021627E+01 ,     0.520690331062491E+00 , 
