Time       moves_acc moves_gen     G(r)_1     S(Q)_1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01
185220.474        4844       65457  0.926E-01  0.101E+01
185232.466        9213      190905  0.102E+00  0.101E+01
185244.466       17955      327129  0.990E-01  0.101E+01
185256.471       25647      458782  0.983E-01  0.101E+01
185308.466       31541      586425  0.100E+00  0.101E+01
185320.481       34819      682278  0.969E-01  0.101E+01
185332.466       39375      825165  0.105E+00  0.101E+01
185344.498       44931      999686  0.100E+00  0.101E+01
185356.466       50468     1162815  0.932E-01  0.101E+01
185408.495       54304     1281701  0.964E-01  0.101E+01
185420.466       61704     1431829  0.615E-01  0.101E+01
185432.488       69688     1589135  0.813E-01  0.101E+01
185444.515       73997     1709388  0.917E-01  0.100E+01
185456.472       78749     1842961  0.836E-01  0.100E+01
185508.470       82585     1921290  0.731E-01  0.101E+01
185520.466       86027     1984475  0.776E-01  0.101E+01
185532.502       89088     2069424  0.907E-01  0.100E+01
185544.466       93844     2206596  0.944E-01  0.100E+01
185556.466      101069     2382590  0.871E-01  0.100E+01
185608.480      104498     2487538  0.823E-01  0.100E+01
185620.496      107892     2587522  0.850E-01  0.100E+01
185632.471      111717     2699227  0.843E-01  0.100E+01
185644.468      114859     2794210  0.852E-01  0.100E+01
185656.466      117527     2875736  0.916E-01  0.100E+01
185708.466      130948     3166367  0.814E-01  0.100E+01
185720.466      144051     3471191  0.919E-01  0.100E+01
185732.466      155187     3762701  0.904E-01  0.100E+01
185744.466      168404     4062145  0.782E-01  0.100E+01
185756.466      179114     4365005  0.825E-01  0.100E+01
185808.466      190437     4669293  0.856E-01  0.100E+01
185820.466      203090     4973733  0.774E-01  0.100E+01
185832.466      207353     5098543  0.800E-01  0.100E+01
185844.490      211361     5210065  0.791E-01  0.100E+01
185856.483      216261     5330996  0.502E-01  0.101E+01
185908.467      221540     5420148  0.687E-01  0.100E+01
185920.466      229327     5583400  0.672E-01  0.100E+01
