Time       moves_acc moves_gen     G(r)_1     S(Q)_1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01
115614.972       24550      428913  0.384E+00  0.267E+00
115626.971       47541      833052  0.410E+00  0.248E+00
115639.000       74795     1292000  0.551E+00  0.323E+00
115650.971      100892     1732715  0.427E+00  0.235E+00
115702.971      127563     2170605  0.405E+00  0.232E+00
115714.971      153419     2597608  0.430E+00  0.228E+00
115726.971      179161     3007871  0.437E+00  0.226E+00
115739.011      204844     3406000  0.604E+00  0.298E+00
115750.971      231083     3812253  0.448E+00  0.223E+00
115802.984      255791     4188000  0.329E+00  0.170E+00
115814.971      283064     4604051  0.471E+00  0.221E+00
115826.971      309682     5007363  0.475E+00  0.220E+00
115838.971      336345     5402769  0.461E+00  0.221E+00
115850.971      363086     5791431  0.529E+00  0.216E+00
115902.987      388097     6166000  0.525E+00  0.241E+00
115914.971      413873     6543108  0.484E+00  0.218E+00
115926.971      438816     6911295  0.464E+00  0.220E+00
115938.984      463922     7282000  0.657E+00  0.284E+00
115950.971      489231     7657984  0.471E+00  0.218E+00
120002.971      515097     8042447  0.507E+00  0.216E+00
120014.971      540525     8415375  0.458E+00  0.219E+00
120026.971      564314     8761217  0.518E+00  0.215E+00
120038.973      590031     9132515  0.508E+00  0.216E+00
120050.971      616895     9519404  0.480E+00  0.218E+00
120102.971      643144     9906701  0.484E+00  0.217E+00
120114.971      670095    10302277  0.519E+00  0.215E+00
120126.971      695675    10678174  0.481E+00  0.219E+00
120139.016      721012    11052000  0.541E+00  0.225E+00
120150.971      747122    11431297  0.491E+00  0.217E+00
120202.973      770514    11770744  0.449E+00  0.220E+00
120214.971      793187    12102653  0.561E+00  0.211E+00
120227.040      815806    12430000  0.463E+00  0.191E+00
120238.971      839649    12782201  0.467E+00  0.218E+00
120250.971      865447    13158753  0.531E+00  0.214E+00
120302.973      892727    13557470  0.510E+00  0.215E+00
120314.971      919616    13943172  0.556E+00  0.211E+00
120326.981      945589    14320000  0.542E+00  0.218E+00
120338.971      969302    14667555  0.491E+00  0.217E+00
120351.015      993966    15022000  0.611E+00  0.233E+00
120402.971     1018878    15386227  0.504E+00  0.215E+00
120414.990     1042301    15726000  0.544E+00  0.205E+00
120427.014     1067461    16088000  0.716E+00  0.279E+00
120438.972     1091567    16436564  0.517E+00  0.215E+00
120450.978     1114927    16778000  0.431E+00  0.195E+00
120502.995     1138144    17116000  0.598E+00  0.247E+00
120514.971     1160686    17442151  0.515E+00  0.214E+00
120526.971     1184689    17791590  0.469E+00  0.219E+00
120538.972     1208951    18144748  0.528E+00  0.213E+00
120550.973     1233633    18501396  0.527E+00  0.213E+00
120602.971     1256941    18838461  0.553E+00  0.212E+00
