 Q (1/Ang),Ge-Ge,Ge-O ,O-O  
   0.46825 ,    -0.252074489641944E+01 ,     0.616292299010238E-01 ,    -0.126120714361891E+01 , 
   0.49828 ,    -0.271331277447528E+01 ,    -0.524458072752895E-01 ,    -0.128842268661708E+01 , 
   0.52832 ,    -0.289797933384861E+01 ,    -0.153814995838610E+00 ,    -0.132185134768765E+01 , 
   0.55835 ,    -0.307201448276550E+01 ,    -0.241032173092122E+00 ,    -0.136085562903235E+01 , 
   0.58838 ,    -0.323279372629563E+01 ,    -0.312997605723600E+00 ,    -0.140453131522578E+01 , 
   0.61841 ,    -0.337784225590402E+01 ,    -0.368970015912172E+00 ,    -0.145172765552365E+01 , 
   0.64843 ,    -0.350487879704135E+01 ,    -0.408568887621035E+00 ,    -0.150107715119173E+01 , 
   0.67846 ,    -0.361185824963034E+01 ,    -0.431767277161942E+00 ,    -0.155103411763034E+01 , 
   0.70848 ,    -0.369701209776747E+01 ,    -0.438875628420076E+00 ,    -0.159992087457019E+01 , 
   0.73850 ,    -0.375888553533792E+01 ,    -0.430517349396222E+00 ,    -0.164598013658575E+01 , 
   0.76852 ,    -0.379637025655802E+01 ,    -0.407597135193801E+00 ,    -0.168743194031658E+01 , 
   0.79854 ,    -0.380873189669348E+01 ,    -0.371263216449029E+00 ,    -0.172253326235232E+01 , 
   0.82855 ,    -0.379563117918589E+01 ,    -0.322864865841684E+00 ,    -0.174963835922787E+01 , 
   0.85856 ,    -0.375713793076999E+01 ,    -0.263906604442203E+00 ,    -0.176725780294518E+01 , 
   0.88857 ,    -0.369373726425709E+01 ,    -0.196000611426976E+00 ,    -0.177411419431997E+01 , 
   0.91857 ,    -0.360632739664794E+01 ,    -0.120818853853024E+00 ,    -0.176919261248585E+01 , 
   0.94858 ,    -0.349620876411903E+01 ,    -0.400464180237169E-01 ,    -0.175178400009732E+01 , 
   0.97858 ,    -0.336506431014281E+01 ,     0.446625576538339E-01 ,    -0.172151988602879E+01 , 
   1.00857 ,    -0.321493105259248E+01 ,     0.131725073200374E+00 ,    -0.167839710451692E+01 , 
   1.03857 ,    -0.304816327345945E+01 ,     0.219664469123166E+00 ,    -0.162279147375973E+01 , 
   1.06856 ,    -0.286738791357228E+01 ,     0.307139724011435E+00 ,    -0.155545973841963E+01 , 
   1.09855 ,    -0.267545298696490E+01 ,     0.392968153316702E+00 ,    -0.147752944846885E+01 , 
   1.12853 ,    -0.247537004777633E+01 ,     0.476141054769991E+00 ,    -0.139047682964362E+01 , 
   1.15851 ,    -0.227025193946861E+01 ,     0.555832095757635E+00 ,    -0.129609308618229E+01 , 
   1.18849 ,    -0.206324722488424E+01 ,     0.631398489583632E+00 ,    -0.119643995212337E+01 , 
   1.21846 ,    -0.185747283009631E+01 ,     0.702375252603549E+00 ,    -0.109379566110517E+01 , 
   1.24843 ,    -0.165594652992514E+01 ,     0.768463064751298E+00 ,    -0.990592824873309E+00 , 
   1.27840 ,    -0.146152095431376E+01 ,     0.829510464594649E+00 ,    -0.889349987124617E+00 , 
   1.30836 ,    -0.127682079965616E+01 ,     0.885491290153951E+00 ,    -0.792598842822632E+00 , 
   1.33832 ,    -0.110418488623420E+01 ,     0.936478422720587E+00 ,    -0.702809276295186E+00 , 
   1.36827 ,    -0.945614612187745E+00 ,     0.982614998422689E+00 ,    -0.622314468750227E+00 , 
   1.39822 ,    -0.802730217455866E+00 ,     0.102408431822811E+01 ,    -0.553238353879390E+00 , 
   1.42817 ,    -0.676736090893955E+00 ,     0.106107970977564E+01 ,    -0.497427657702866E+00 , 
   1.45811 ,    -0.568396134702025E+00 ,     0.109377557365640E+01 ,    -0.456390646713213E+00 , 
   1.48805 ,    -0.478019948082529E+00 ,     0.112230078373693E+01 ,    -0.431244529864323E+00 , 
   1.51798 ,    -0.405460313494194E+00 ,     0.114671550841408E+01 ,    -0.422673220283338E+00 , 
   1.54791 ,    -0.350122171713128E+00 ,     0.116699238119419E+01 ,    -0.430896868942249E+00 , 
   1.57783 ,    -0.310982964577643E+00 ,     0.118300277971122E+01 ,    -0.455654243793600E+00 , 
   1.60775 ,    -0.286623915635003E+00 ,     0.119450877822468E+01 ,    -0.496198654347760E+00 , 
   1.63766 ,    -0.275271517946523E+00 ,     0.120116112651120E+01 ,    -0.551307724732216E+00 , 
   1.66757 ,    -0.274848213942541E+00 ,     0.120250338515950E+01 ,    -0.619306910040114E+00 , 
   1.69747 ,    -0.283030992955699E+00 ,     0.119798212115971E+01 ,    -0.698106243706444E+00 , 
   1.72737 ,    -0.297316405739474E+00 ,     0.118696284594326E+01 ,    -0.785249410163264E+00 , 
   1.75726 ,    -0.315090308825776E+00 ,     0.116875116806782E+01 ,    -0.877973869105340E+00 , 
   1.78715 ,    -0.333700510782832E+00 ,     0.114261844148495E+01 ,    -0.973280426526500E+00 , 
   1.81703 ,    -0.350530401773230E+00 ,     0.110783102403912E+01 ,    -0.106801036329671E+01 , 
   1.84691 ,    -0.363071610285497E+00 ,     0.106368212491012E+01 ,    -0.115892800301606E+01 , 
   1.87678 ,    -0.368993747957033E+00 ,     0.100952511847613E+01 ,    -0.124280643406358E+01 , 
   1.90664 ,    -0.366209374838692E+00 ,     0.944807138716265E+00 ,    -0.131651400109393E+01 , 
   1.93650 ,    -0.352932441469344E+00 ,     0.869101744701322E+00 ,    -0.137709915159781E+01 , 
   1.96636 ,    -0.327728637360000E+00 ,     0.782139464539310E+00 ,    -0.142187126426471E+01 , 
   1.99620 ,    -0.289556293088767E+00 ,     0.683835081625788E+00 ,    -0.144847519634931E+01 , 
   2.02604 ,    -0.237796739011555E+00 ,     0.574310621194180E+00 ,    -0.145495746353262E+01 , 
   2.05588 ,    -0.172273310291487E+00 ,     0.453913123757282E+00 ,    -0.143982220239701E+01 , 
   2.08571 ,    -0.932584973176703E-01 ,     0.323226450778099E+00 ,    -0.140207535532377E+01 , 
   2.11553 ,    -0.146906372890591E-02 ,     0.183076551565912E+00 ,    -0.134125585154018E+01 , 
   2.14535 ,     0.101950718108848E+00 ,     0.345298229608300E-01 ,    -0.125745292608470E+01 , 
   2.17516 ,     0.215457241605408E+00 ,    -0.121115591714414E+00 ,    -0.115130910956827E+01 , 
   2.20496 ,     0.337146369297398E+00 ,    -0.282345497598006E+00 ,    -0.102400882412037E+01 , 
   2.23476 ,     0.464801798286019E+00 ,    -0.447452051511868E+00 ,    -0.877252922911734E+00 , 
   2.26455 ,     0.595951666383663E+00 ,    -0.614562377564488E+00 ,    -0.713219900348228E+00 , 
   2.29433 ,     0.727931861111481E+00 ,    -0.781672704034666E+00 ,    -0.534514866118484E+00 , 
   2.32410 ,     0.857954321309675E+00 ,    -0.946687156374163E+00 ,    -0.344107708249140E+00 , 
   2.35387 ,     0.983178497471363E+00 ,    -0.110746019357401E+01 ,    -0.145262158801840E+00 , 
   2.38363 ,     0.110078406515654E+01 ,    -0.126184155846733E+01 ,     0.585422871460744E-01 , 
   2.41339 ,     0.120804296760406E+01 ,    -0.140772253022894E+01 ,     0.263693469417730E+00 , 
   2.44313 ,     0.130238889897312E+01 ,    -0.154308222170920E+01 ,     0.466532430948203E+00 , 
   2.47287 ,     0.138148242697785E+01 ,    -0.166603265646707E+01 ,     0.663439757959799E+00 , 
   2.50260 ,     0.144327008998676E+01 ,    -0.177486139041658E+01 ,     0.850920107782603E+00 , 
   2.53233 ,     0.148603598449861E+01 ,    -0.186807050966858E+01 ,     0.102568271849247E+01 , 
   2.56205 ,     0.150844457858089E+01 ,    -0.194441093711329E+01 ,     0.118471583434704E+01 , 
   2.59175 ,     0.150957373860160E+01 ,    -0.200291111219392E+01 ,     0.132535317719825E+01 , 
   2.62145 ,     0.148893723278456E+01 ,    -0.204289926690141E+01 ,     0.144533084012237E+01 , 
   2.65115 ,     0.144649626754586E+01 ,    -0.206401870124303E+01 ,     0.154283326753776E+01 , 
   2.68083 ,     0.138265991264150E+01 ,    -0.206623565767517E+01 ,     0.161652730706327E+01 , 
   2.71051 ,     0.129827457019810E+01 ,    -0.204983960020159E+01 ,     0.166558366246689E+01 , 
   2.74018 ,     0.119460293220198E+01 ,    -0.201543591376469E+01 ,     0.168968543391108E+01 , 
   2.76984 ,     0.107329314290166E+01 ,    -0.196393124691996E+01 ,     0.168902379076593E+01 , 
   2.79949 ,     0.936339129406062E+00 ,    -0.189651191947838E+01 ,     0.166428117310790E+01 , 
   2.82913 ,     0.786033278977935E+00 ,    -0.181461600108535E+01 ,     0.161660275065818E+01 , 
   2.85876 ,     0.624912819621701E+00 ,    -0.171989983136631E+01 ,     0.154755717307595E+01 , 
   2.88839 ,     0.455701397238879E+00 ,    -0.161419989277932E+01 ,     0.145908791493453E+01 , 
   2.91801 ,     0.281247434868882E+00 ,    -0.149949105995526E+01 ,     0.135345674531932E+01 , 
   2.94761 ,     0.104460905715185E+00 ,    -0.137784233126546E+01 ,     0.123318103014932E+01 , 
   2.97721 ,    -0.717498484651542E-01 ,    -0.125137119780094E+01 ,     0.110096670094360E+01 , 
   3.00680 ,    -0.244539667328094E+00 ,    -0.112219782105542E+01 ,     0.959638794370450E+00 , 
   3.03638 ,    -0.411184992022751E+00 ,    -0.992400173572460E+00 ,     0.812071481753699E+00 , 
   3.06596 ,    -0.569137784281867E+00 ,    -0.863971247828630E+00 ,     0.661119467653026E+00 , 
   3.09552 ,    -0.716073734954480E+00 ,    -0.738779359796212E+00 ,     0.509552544173375E+00 , 
   3.12507 ,    -0.849933742738626E+00 ,    -0.618532467919428E+00 ,     0.359994946774575E+00 , 
   3.15461 ,    -0.968957856677068E+00 ,    -0.504747299341157E+00 ,     0.214870973365666E+00 , 
   3.18415 ,    -0.107171110445262E+01 ,    -0.398723927430775E+00 ,     0.763581078478011E-01 , 
   3.21367 ,    -0.115710086557336E+01 ,    -0.301526282741724E+00 ,    -0.536513605911218E-01 , 
   3.24318 ,    -0.122438568702787E+01 ,    -0.213968908524803E+00 ,    -0.173579502151191E+00 , 
