Time       moves_acc moves_gen
h/m/s/.th    WEIGHT PARAMETERS 
174520.851      287647      397009
174532.858      505417      703914
174544.880      760904     1060804
174556.852     1137530     1588712
174608.852     1537888     2140822
174620.860     1842961     2563404
174632.880     2213370     3075480
174644.852     2579904     3583152
174656.851     2904608     4030230
174708.873     3243666     4498606
174720.861     3646636     5056790
174732.858     3907815     5418721
174744.863     4153748     5759388
174756.854     4519643     6264146
174808.851     4869127     6748306
174820.866     5302683     7348804
174832.856     5599812     7759728
174844.852     5862904     8124828
174856.869     6308296     8742005
174908.851     6617221     9167764
174920.852     6929626     9598374
174932.852     7258384    10050539
174944.852     7567887    10479564
174956.852     7871053    10899528
175008.852     8225233    11388703
175020.865     8549991    11834721
175032.851     8758426    12122118
175044.857     9070976    12553570
175056.863     9319490    12897204
175108.851     9654960    13360960
175120.852    10007213    13846758
175132.870    10371022    14351384
175144.852    10647247    14732900
175156.852    10877231    15049488
175208.871    11129778    15398462
175220.869    11385558    15752786
175232.873    11552918    15984833
175244.851    11837494    16378800
175256.883    12224780    16915310
175308.851    12542076    17354266
175320.861    12868678    17807107
175332.851    13273989    18374796
175344.852    13647795    18891847
175356.852    14043558    19441631
175408.872    14396986    19932504
175420.852    14734895    20401001
175432.867    15046760    20835687
175444.868    15376100    21294817
175456.860    15660208    21685384
175508.851    15954800    22092902
