 Q (1/Ang),Ge-Ge,Ge-O ,O-O  
   0.46825 ,    -0.260434857970779E+01 ,     0.192067524895691E-01 ,    -0.130704563823625E+01 , 
   0.49828 ,    -0.276039329939027E+01 ,    -0.789552917487452E-01 ,    -0.129645508611940E+01 , 
   0.52832 ,    -0.291202919377984E+01 ,    -0.165855400462488E+00 ,    -0.129656212769198E+01 , 
   0.55835 ,    -0.305691455697719E+01 ,    -0.240226236256633E+00 ,    -0.130715778340213E+01 , 
   0.58838 ,    -0.319270523821454E+01 ,    -0.301103525045917E+00 ,    -0.132763059869163E+01 , 
   0.61841 ,    -0.331709568296799E+01 ,    -0.347836205038661E+00 ,    -0.135698341337750E+01 , 
   0.64843 ,    -0.342786281695610E+01 ,    -0.380088040922779E+00 ,    -0.139386361325244E+01 , 
   0.67846 ,    -0.352291173766593E+01 ,    -0.397830921196857E+00 ,    -0.143660594706342E+01 , 
   0.70848 ,    -0.360032203249118E+01 ,    -0.401330300783406E+00 ,    -0.148328656599548E+01 , 
   0.73850 ,    -0.365839343200922E+01 ,    -0.391123476806849E+00 ,    -0.153178655954650E+01 , 
   0.76852 ,    -0.369568943679469E+01 ,    -0.367991585814621E+00 ,    -0.157986293396969E+01 , 
   0.79854 ,    -0.371107753056348E+01 ,    -0.332926379741800E+00 ,    -0.162522471821876E+01 , 
   0.82855 ,    -0.370376461394797E+01 ,    -0.287092970609317E+00 ,    -0.166561169631334E+01 , 
   0.85856 ,    -0.367332636278349E+01 ,    -0.231789826560761E+00 ,    -0.169887316055350E+01 , 
   0.88857 ,    -0.361972933170428E+01 ,    -0.168407351969895E+00 ,    -0.172304406068872E+01 , 
   0.91857 ,    -0.354334478568174E+01 ,    -0.983863909718200E-01 ,    -0.173641599084398E+01 , 
   0.94858 ,    -0.344495344482198E+01 ,    -0.231779572840412E-01 ,    -0.173760060676950E+01 , 
   0.97858 ,    -0.332574056568852E+01 ,     0.557945846204132E-01 ,    -0.172558329611335E+01 , 
   1.00857 ,    -0.318728104868433E+01 ,     0.137169777936300E+00 ,    -0.169976522662950E+01 , 
   1.03857 ,    -0.303151454753939E+01 ,     0.219677812392677E+00 ,    -0.165999226189215E+01 , 
   1.06856 ,    -0.286071085474901E+01 ,     0.302164962820426E+00 ,    -0.160656964951698E+01 , 
   1.09855 ,    -0.267742613636100E+01 ,     0.383612147356747E+00 ,    -0.154026183976876E+01 , 
   1.12853 ,    -0.248445088101520E+01 ,     0.463147241263014E+00 ,    -0.146227726821795E+01 , 
   1.15851 ,    -0.228475070186389E+01 ,     0.540051006403733E+00 ,    -0.137423841950819E+01 , 
   1.18849 ,    -0.208140137660892E+01 ,     0.613756721022175E+00 ,    -0.127813796477360E+01 , 
   1.21846 ,    -0.187751972176180E+01 ,     0.683843812103003E+00 ,    -0.117628221751341E+01 , 
   1.24843 ,    -0.167619206476510E+01 ,     0.750025996193376E+00 ,    -0.107122356725430E+01 , 
   1.27840 ,    -0.148040219549182E+01 ,     0.812134617460547E+00 ,    -0.965683913781216E+00 , 
   1.30836 ,    -0.129296074206149E+01 ,     0.870098028147117E+00 ,    -0.862471425413690E+00 , 
   1.33832 ,    -0.111643792176668E+01 ,     0.923917981532430E+00 ,    -0.764393173074229E+00 , 
   1.36827 ,    -0.953101564895516E+00 ,     0.973644097197343E+00 ,    -0.674166340388364E+00 , 
   1.39822 ,    -0.804862197946444E+00 ,     0.101934751020186E+01 ,    -0.594330773969569E+00 , 
   1.42817 ,    -0.673226805622287E+00 ,     0.106109482838291E+01 ,    -0.527165615271360E+00 , 
   1.45811 ,    -0.559262672342042E+00 ,     0.109892349533668E+01 ,    -0.474612646583635E+00 , 
   1.48805 ,    -0.463572439796354E+00 ,     0.113281959204160E+01 ,    -0.438208792288121E+00 , 
   1.51798 ,    -0.386281214791606E+00 ,     0.116269901002499E+01 ,    -0.419029948356173E+00 , 
   1.54791 ,    -0.327036230059817E+00 ,     0.118839279715392E+01 ,    -0.417647976668888E+00 , 
   1.57783 ,    -0.285019209655671E+00 ,     0.120963731823388E+01 ,    -0.434102306597157E+00 , 
   1.60775 ,    -0.258971230521930E+00 ,     0.122606969218054E+01 ,    -0.467887146721929E+00 , 
   1.63766 ,    -0.247229513660848E+00 ,     0.123722877181193E+01 ,    -0.517954838320113E+00 , 
   1.66757 ,    -0.247775233010018E+00 ,     0.124256172796823E+01 ,    -0.582735393960130E+00 , 
   1.69747 ,    -0.258291108176433E+00 ,     0.124143609361634E+01 ,    -0.660171774398500E+00 , 
   1.72737 ,    -0.276227258564252E+00 ,     0.123315692275496E+01 ,    -0.747769980105445E+00 , 
   1.75726 ,    -0.298873550096183E+00 ,     0.121698852999690E+01 ,    -0.842662584859484E+00 , 
   1.78715 ,    -0.323436469368674E+00 ,     0.119218010592855E+01 ,    -0.941683931692657E+00 , 
   1.81703 ,    -0.347118419880524E+00 ,     0.115799435634668E+01 ,    -0.104145485843366E+01 , 
   1.84691 ,    -0.367197255408008E+00 ,     0.111373819505089E+01 ,    -0.113847453184050E+01 , 
   1.87678 ,    -0.381103849289886E+00 ,     0.105879443385843E+01 ,    -0.122921675443000E+01 , 
   1.90664 ,    -0.386495546019298E+00 ,     0.992653362654272E+00 ,    -0.131022797287409E+01 , 
   1.93650 ,    -0.381323451844185E+00 ,     0.914943098178911E+00 ,    -0.137822416502185E+01 , 
   1.96636 ,    -0.363891690863209E+00 ,     0.825457603267644E+00 ,    -0.143018381540542E+01 , 
   1.99620 ,    -0.332906977362875E+00 ,     0.724181337561540E+00 ,    -0.146343430506900E+01 , 
   2.02604 ,    -0.287517127208538E+00 ,     0.611309594313380E+00 ,    -0.147572923674901E+01 , 
   2.05588 ,    -0.227337442865686E+00 ,     0.487263702720615E+00 ,    -0.146531448445501E+01 , 
   2.08571 ,    -0.152464248786578E+00 ,     0.352700427154060E+00 ,    -0.143098108879784E+01 , 
   2.11553 ,    -0.634752162521607E-01 ,     0.208515068793883E+00 ,    -0.137210350553181E+01 , 
   2.14535 ,     0.385835114653943E-01 ,     0.558379659324738E-01 ,    -0.128866214271348E+01 , 
   2.17516 ,     0.152223012574160E+00 ,    -0.103975709537260E+00 ,    -0.118124957845764E+01 , 
   2.20496 ,     0.275549360151758E+00 ,    -0.269362756546738E+00 ,    -0.105106032256890E+01 , 
   2.23476 ,     0.406312402049708E+00 ,    -0.438575044255622E+00 ,    -0.899864457112794E+00 , 
   2.26455 ,     0.541964171922610E+00 ,    -0.609708406171270E+00 ,    -0.729965949163608E+00 , 
   2.29433 ,     0.679725295365273E+00 ,    -0.780736649126207E+00 ,    -0.544146859992209E+00 , 
   2.32410 ,     0.816657543222833E+00 ,    -0.949549837919984E+00 ,    -0.345599066275432E+00 , 
   2.35387 ,     0.949740526749769E+00 ,    -0.111399588219755E+01 ,    -0.137845449308281E+00 , 
   2.38363 ,     0.107595043056004E+01 ,    -0.127192434702421E+01 ,     0.753472118542584E-01 , 
   2.41339 ,     0.119233864155466E+01 ,    -0.142123133570569E+01 ,     0.290061195495489E+00 , 
   2.44313 ,     0.129610815570064E+01 ,    -0.155990425474235E+01 ,     0.502324054318121E+00 , 
   2.47287 ,     0.138468572828105E+01 ,    -0.168606526737178E+01 ,     0.708205446446251E+00 , 
   2.50260 ,     0.145578787386810E+01 ,    -0.179801227382039E+01 ,     0.903911947893797E+00 , 
   2.53233 ,     0.150747901494990E+01 ,    -0.189425632194997E+01 ,     0.108587730551425E+01 , 
   2.56205 ,     0.153822031652949E+01 ,    -0.197355444922249E+01 ,     0.125084575296458E+01 , 
   2.59175 ,     0.154690802049189E+01 ,    -0.203493708264392E+01 ,     0.139594624186275E+01 , 
   2.62145 ,     0.153290039944989E+01 ,    -0.207772927358503E+01 ,     0.151875572827870E+01 , 
   2.65115 ,     0.149603277572994E+01 ,    -0.210156521441551E+01 ,     0.161734999153255E+01 , 
   2.68083 ,     0.143662038729384E+01 ,    -0.210639566849420E+01 ,     0.169034083723357E+01 , 
   2.71051 ,     0.135544921871664E+01 ,    -0.209248813862606E+01 ,     0.173689893786962E+01 , 
   2.74018 ,     0.125375524203042E+01 ,    -0.206041979583317E+01 ,     0.175676197975681E+01 , 
   2.76984 ,     0.113319281993922E+01 ,    -0.201106338438809E+01 ,     0.175022820228899E+01 , 
   2.79949 ,     0.995793303999059E+00 ,    -0.194556650489187E+01 ,     0.171813582187665E+01 , 
   2.82913 ,     0.843915105222259E+00 ,    -0.186532484945157E+01 ,     0.166182921698119E+01 , 
   2.85876 ,     0.680186717802410E+00 ,    -0.177195011692704E+01 ,     0.158311310138104E+01 , 
   2.88839 ,     0.507444333244529E+00 ,    -0.166723346761028E+01 ,     0.148419622061555E+01 , 
   2.91801 ,     0.328665788615671E+00 ,    -0.155310548215692E+01 ,     0.136762636328796E+01 , 
   2.94761 ,     0.146902646982311E+00 ,    -0.143159366653198E+01 ,     0.123621867812084E+01 , 
   2.97721 ,    -0.347877899367002E-01 ,    -0.130477859148107E+01 ,     0.109297942475765E+01 , 
   3.00680 ,    -0.213408786021170E+00 ,    -0.117474977084844E+01 ,     0.941027358669544E+00 , 
   3.03638 ,    -0.386087138494738E+00 ,    -0.104356236811859E+01 ,     0.783514957530425E+00 , 
   3.06596 ,    -0.550131297368411E+00 ,    -0.913195775954825E+00 ,     0.623551639418141E+00 , 
   3.09552 ,    -0.703083305138191E+00 ,    -0.785515041189778E+00 ,     0.464131005423727E+00 , 
   3.12507 ,    -0.842763437944830E+00 ,    -0.662236010411546E+00 ,     0.308063965692944E+00 , 
