Time       moves_acc moves_gen     G(r)_1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01
235952.061       11182      299209  0.269E-01
000004.059       22918      591411  0.245E-01
000016.049       38446     1004126  0.238E-01
000028.049       54444     1388877  0.234E-01
000040.048       66578     1713772  0.232E-01
000052.060       76749     1980813  0.230E-01
000104.066       94168     2330003  0.243E-01
000116.048      105278     2679012  0.240E-01
000128.049      114852     2985857  0.227E-01
000140.049      125042     3303271  0.224E-01
000152.071      134157     3585250  0.223E-01
000204.048      145716     3938716  0.222E-01
000216.049      158418     4218000  0.198E-01
000228.048      165858     4447487  0.239E-01
000240.063      185599     4882673  0.225E-01
000252.049      195924     5218165  0.224E-01
000304.072      209384     5610979  0.235E-01
000316.062      225877     6017420  0.237E-01
000328.048      234016     6218904  0.235E-01
000340.048      246074     6629299  0.233E-01
000352.070      263441     7041858  0.236E-01
000404.064      276527     7375311  0.235E-01
000416.048      291022     7819079  0.236E-01
000428.049      302676     8126541  0.235E-01
000440.067      317631     8590355  0.233E-01
000452.048      333709     9061231  0.233E-01
000504.048      349642     9425355  0.236E-01
000516.049      362967     9814239  0.232E-01
000528.049      372936    10120872  0.238E-01
000540.049      388708    10461227  0.239E-01
000552.049      405485    10898769  0.254E-01
000604.049      415412    11211255  0.234E-01
000616.072      426274    11540797  0.231E-01
000628.049      439542    11917294  0.232E-01
000640.068      450788    12263942  0.228E-01
000652.073      460715    12576398  0.231E-01
000704.060      473871    12865094  0.230E-01
000716.049      487842    13310654  0.229E-01
000728.049      507785    13882392  0.230E-01
000740.048      517745    14238001  0.227E-01
000752.076      531745    14647803  0.235E-01
000804.051      540877    14910417  0.210E-01
000816.053      555264    15290913  0.339E-01
000828.049      572657    15755852  0.233E-01
000840.049      589446    16246612  0.227E-01
000852.049      603416    16644848  0.229E-01
000904.052      616259    16994324  0.226E-01
000916.056      629340    17337833  0.228E-01
000928.061      643393    17702867  0.228E-01
000940.049      661060    18148968  0.230E-01
000952.049      680313    18686009  0.230E-01
001004.072      696504    19108509  0.228E-01
001016.049      710712    19557307  0.228E-01
001028.048      725600    19949759  0.228E-01
001040.048      742678    20456543  0.228E-01
001052.055      756960    20774561  0.230E-01
001104.068      769913    21100422  0.231E-01
001116.048      781964    21439029  0.227E-01
001128.058      801334    21834006  0.246E-01
001140.064      813691    22209150  0.226E-01
001152.065      824312    22549855  0.228E-01
001204.071      839529    22915579  0.231E-01
001216.057      855864    23383809  0.377E-01
001228.048      868675    23785567  0.228E-01
001240.049      885150    24208841  0.228E-01
001252.049      904693    24683945  0.231E-01
001304.075      916600    25081917  0.226E-01
001316.052      934017    25557757  0.227E-01
001328.078      943708    25888574  0.226E-01
001340.049      958402    26239260  0.229E-01
001352.049      970887    26609263  0.214E-01
001404.069      984774    27010821  0.228E-01
001416.080      997348    27359298  0.227E-01
001428.048     1012566    27815706  0.227E-01
001440.049     1037574    28292801  0.228E-01
001452.049     1054400    28780843  0.226E-01
001504.087     1065453    29119797  0.228E-01
001516.065     1083216    29564506  0.229E-01
001528.049     1096763    29974307  0.226E-01
001540.068     1108104    30344454  0.226E-01
001552.049     1123917    30724237  0.227E-01
001604.077     1141780    31170866  0.230E-01
001616.049     1162665    31635939  0.349E-01
001628.048     1175996    32038559  0.214E-01
001640.049     1191900    32508787  0.217E-01
001652.049     1206614    32883103  0.227E-01
001704.048     1221351    33216528  0.227E-01
001716.063     1236620    33609228  0.227E-01
001728.067     1253578    34056412  0.228E-01
001740.049     1275269    34570606  0.226E-01
001752.048     1291880    35048591  0.226E-01
001804.075     1305797    35383683  0.226E-01
001816.048     1321121    35849739  0.226E-01
001828.048     1341116    36364860  0.228E-01
001840.073     1355644    36741359  0.227E-01
001852.049     1365464    36997664  0.229E-01
001904.049     1379268    37382067  0.234E-01
001916.049     1394131    37818230  0.225E-01
001928.069     1410080    38191559  0.227E-01
001940.053     1430831    38725307  0.231E-01
001952.050     1446387    39102924  0.217E-01
002004.060     1458749    39484196  0.214E-01
002016.049     1472142    39863124  0.215E-01
002028.048     1497264    40387404  0.226E-01
002040.055     1517245    40810671  0.232E-01
002052.063     1528548    41146744  0.226E-01
002104.049     1541698    41506515  0.226E-01
002116.078     1554395    41815043  0.228E-01
002128.065     1567224    42218447  0.225E-01
002140.069     1584045    42618019  0.227E-01
002152.049     1599947    43033500  0.224E-01
002204.053     1617707    43502946  0.227E-01
002216.058     1632182    43846257  0.226E-01
002228.048     1646858    44220345  0.226E-01
002240.068     1663111    44580018  0.225E-01
002252.049     1678211    45042000  0.221E-01
002304.068     1692568    45431464  0.224E-01
002316.049     1713160    45917479  0.225E-01
002328.049     1731667    46417570  0.226E-01
002340.049     1744874    46818418  0.224E-01
002352.052     1762482    47324804  0.224E-01
002404.056     1778467    47759270  0.223E-01
002416.072     1790505    48068549  0.224E-01
002428.067     1802900    48390934  0.228E-01
002440.066     1819633    48842157  0.224E-01
002452.048     1841429    49292212  0.230E-01
002504.063     1857227    49726884  0.224E-01
002516.063     1871947    50137970  0.225E-01
002528.056     1885723    50575740  0.224E-01
002540.052     1900693    50980326  0.225E-01
002552.074     1912856    51303639  0.224E-01
002604.049     1928440    51665559  0.226E-01
002616.049     1946107    52104601  0.229E-01
