Time       moves_acc moves_gen     G(r)_1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01
161843.500        4329       11981  0.885E+00
161855.500        6196       22818  0.740E+00
161907.500        7963       35472  0.626E+00
161919.502        9337       48079  0.551E+00
161931.500       10450       59742  0.499E+00
161943.505       11106       67963  0.474E+00
161955.501       12002       80021  0.443E+00
162007.513       12819       91845  0.417E+00
162019.500       13180       98667  0.405E+00
162031.541       13715      107102  0.391E+00
162043.502       14509      120429  0.370E+00
162055.501       15274      134147  0.354E+00
162107.509       15943      146230  0.341E+00
162119.501       16594      159243  0.328E+00
162131.500       17242      172075  0.318E+00
162143.501       17823      184776  0.310E+00
162155.500       18400      198191  0.302E+00
162207.504       19031      211992  0.295E+00
162219.501       19648      226304  0.287E+00
162231.500       20275      240892  0.280E+00
162243.500       20870      254210  0.273E+00
162255.501       21464      267631  0.267E+00
162307.500       22030      281751  0.261E+00
162319.500       22609      296125  0.257E+00
162331.504       23126      309604  0.252E+00
162343.501       23583      321159  0.249E+00
162355.501       24071      333143  0.245E+00
162407.501       24534      345347  0.242E+00
162419.519       24896      354279  0.239E+00
162431.501       25334      365044  0.236E+00
162443.517       25734      376212  0.232E+00
162455.500       26055      384934  0.230E+00
162507.501       26341      392667  0.229E+00
162519.500       26851      406208  0.226E+00
162531.530       27315      418676  0.223E+00
162543.501       27740      430863  0.221E+00
162555.514       28194      443723  0.219E+00
162607.510       28495      451467  0.217E+00
162619.502       28937      463096  0.215E+00
162631.506       29432      476092  0.213E+00
162643.544       29842      488130  0.211E+00
162655.545       30250      499855  0.208E+00
162707.518       30690      512062  0.207E+00
162719.501       31126      524552  0.205E+00
162731.502       31599      537656  0.203E+00
162743.500       32076      551977  0.201E+00
162755.501       32595      566404  0.199E+00
162807.502       33059      579805  0.197E+00
162819.502       33517      593256  0.196E+00
162831.501       33948      605255  0.194E+00
162843.503       34330      617320  0.193E+00
162855.500       34814      631527  0.191E+00
162907.501       35332      645603  0.190E+00
162919.500       35760      657975  0.188E+00
162931.501       36207      671762  0.187E+00
162943.500       36549      681251  0.186E+00
162955.500       36963      694049  0.184E+00
163007.504       37438      706889  0.183E+00
163019.500       37873      720008  0.182E+00
163031.501       38280      732228  0.180E+00
163043.500       38701      744906  0.180E+00
163055.500       39175      758689  0.179E+00
163107.500       39651      771790  0.178E+00
163119.501       40102      784906  0.176E+00
163131.500       40523      797445  0.176E+00
163143.501       40958      810978  0.175E+00
163155.500       41344      823948  0.174E+00
163207.499       41782      838216  0.173E+00
163219.500       42250      852026  0.172E+00
163231.501       42758      866852  0.171E+00
163243.500       43200      879003  0.169E+00
163255.500       43654      891904  0.168E+00
163307.500       44154      906305  0.167E+00
163319.536       44568      917862  0.166E+00
163331.525       44784      923858  0.166E+00
163343.501       45026      931713  0.165E+00
163355.500       45487      945442  0.164E+00
163407.502       45964      958665  0.163E+00
163419.500       46359      970948  0.162E+00
163431.502       46778      981884  0.162E+00
163443.500       47223      994139  0.161E+00
163455.501       47610     1006060  0.160E+00
163507.501       47866     1014198  0.160E+00
163519.531       48155     1022235  0.160E+00
163531.501       48613     1035907  0.159E+00
163543.500       49112     1050607  0.158E+00
163555.501       49586     1065204  0.157E+00
163607.501       50027     1079626  0.156E+00
163619.500       50552     1094091  0.156E+00
163631.500       51081     1109128  0.155E+00
163643.500       51528     1122886  0.153E+00
163655.500       51928     1136781  0.152E+00
163707.501       52369     1150629  0.152E+00
163719.502       52830     1165082  0.151E+00
163731.502       53261     1178515  0.151E+00
163743.499       53821     1195677  0.149E+00
163755.498       54567     1218907  0.148E+00
163807.499       55351     1242286  0.148E+00
163819.498       56138     1265572  0.146E+00
163831.499       56907     1289014  0.145E+00
163843.499       57735     1312611  0.145E+00
163855.499       58466     1336239  0.143E+00
163907.499       59185     1359672  0.143E+00
163919.498       59941     1383150  0.142E+00
163931.498       60692     1406487  0.141E+00
163943.499       61424     1429626  0.140E+00
163955.499       62203     1452761  0.140E+00
164007.498       63033     1476017  0.139E+00
164019.498       63806     1499182  0.138E+00
164031.499       64633     1522675  0.137E+00
164043.499       65449     1546402  0.137E+00
164055.498       66205     1569838  0.135E+00
164107.499       66959     1593328  0.135E+00
164119.499       67818     1616838  0.134E+00
164131.498       68600     1640417  0.133E+00
164143.498       69350     1664006  0.131E+00
164155.499       70103     1687532  0.130E+00
164207.498       70868     1710964  0.129E+00
164219.498       72194     1734445  0.134E+00
164231.499       73024     1758025  0.130E+00
164243.499       73780     1781245  0.128E+00
164255.498       74485     1804733  0.127E+00
164307.498       75200     1828151  0.126E+00
164319.499       75961     1851495  0.125E+00
164331.499       76747     1874823  0.125E+00
164343.499       77560     1898248  0.124E+00
164355.499       78273     1921695  0.124E+00
164407.498       79060     1945017  0.124E+00
164419.498       79821     1968180  0.123E+00
164431.499       80642     1991611  0.123E+00
164443.498       81448     2015135  0.122E+00
164455.498       82243     2038694  0.121E+00
164507.499       83022     2061935  0.120E+00
164519.498       83805     2085536  0.119E+00
164531.499       84546     2109257  0.118E+00
164543.499       85331     2132870  0.118E+00
164555.498       86105     2156528  0.117E+00
164607.498       86925     2180044  0.116E+00
164619.498       87644     2203330  0.115E+00
164631.499       88400     2226442  0.114E+00
164643.498       89130     2249619  0.114E+00
164655.499       89979     2272889  0.113E+00
164707.498       90758     2296175  0.113E+00
164719.498       91494     2319659  0.112E+00
164731.498       92303     2343229  0.112E+00
164743.498       93043     2366789  0.111E+00
164755.499       93845     2390230  0.111E+00
164807.498       94546     2413376  0.110E+00
164819.499       95314     2436712  0.109E+00
164831.499       96100     2460003  0.109E+00
164843.499       96891     2483482  0.108E+00
164855.499       97649     2506854  0.108E+00
164907.499       98459     2530061  0.108E+00
164919.499       99172     2553029  0.106E+00
164931.499       99877     2576074  0.107E+00
164943.498      100634     2599191  0.106E+00
164955.499      101388     2622311  0.105E+00
165007.499      102185     2645492  0.105E+00
165019.498      102985     2668791  0.105E+00
165031.498      103778     2692173  0.105E+00
165043.498      104577     2715556  0.104E+00
165055.499      105374     2739027  0.104E+00
165107.499      106147     2762185  0.103E+00
165119.502      106872     2785336  0.103E+00
165131.499      107673     2808444  0.103E+00
165143.498      108410     2831433  0.102E+00
165155.498      109197     2854960  0.102E+00
165207.499      109966     2878404  0.102E+00
165219.499      110813     2901823  0.101E+00
165231.499      111629     2925323  0.100E+00
165243.499      112387     2948840  0.100E+00
165255.498      113226     2972420  0.100E+00
165307.498      114075     2995944  0.997E-01
165319.498      114927     3019537  0.991E-01
165331.498      115759     3043086  0.986E-01
165343.498      116599     3066522  0.986E-01
165355.499      117382     3089778  0.984E-01
165407.499      118187     3113140  0.977E-01
165419.499      118996     3136704  0.978E-01
165431.498      119778     3159937  0.975E-01
165443.499      120593     3183329  0.973E-01
165455.499      121402     3206551  0.966E-01
165507.498      122184     3229629  0.967E-01
165519.499      122985     3252656  0.961E-01
165531.500      123671     3272505  0.959E-01
165543.498      124452     3295120  0.953E-01
165555.499      125220     3318227  0.951E-01
165607.499      125997     3341055  0.947E-01
165619.498      126823     3364368  0.943E-01
165631.499      127626     3387427  0.940E-01
165643.499      128453     3410508  0.938E-01
165655.499      129264     3433730  0.929E-01
165707.498      130080     3456986  0.928E-01
165719.498      130877     3480327  0.925E-01
165731.498      131680     3503593  0.922E-01
165743.498      132572     3527095  0.915E-01
165755.499      133383     3550614  0.907E-01
165807.498      134237     3574169  0.903E-01
165819.499      135075     3597784  0.903E-01
165831.499      135958     3621246  0.898E-01
165843.499      136765     3644722  0.895E-01
165855.499      137569     3668041  0.891E-01
165907.498      138396     3691306  0.888E-01
165919.503      139198     3714511  0.888E-01
165931.499      139996     3737319  0.884E-01
165943.499      140773     3760145  0.883E-01
165955.499      141581     3783302  0.880E-01
170007.498      142406     3806229  0.886E-01
170019.499      143233     3829425  0.883E-01
170031.499      144054     3852601  0.882E-01
170043.499      144940     3876121  0.883E-01
170055.498      145752     3899595  0.878E-01
170107.499      146555     3923174  0.872E-01
170119.498      147449     3946736  0.868E-01
170131.498      148290     3970346  0.867E-01
170143.498      149168     3993978  0.863E-01
170155.499      149978     4017632  0.863E-01
170207.498      150780     4041202  0.857E-01
170219.499      151571     4064543  0.856E-01
170231.499      152323     4087642  0.852E-01
170243.499      153174     4110999  0.844E-01
170255.499      154018     4134291  0.847E-01
170307.498      154866     4157727  0.845E-01
170319.499      155683     4181305  0.840E-01
170331.498      156483     4204901  0.838E-01
170343.498      157217     4228520  0.835E-01
170355.499      158029     4252113  0.833E-01
170407.499      158806     4275615  0.832E-01
170419.500      159649     4299131  0.834E-01
170431.498      160491     4322584  0.828E-01
170443.498      161273     4346149  0.827E-01
170455.499      162101     4369754  0.823E-01
170507.499      162881     4393370  0.823E-01
170519.499      163696     4416704  0.824E-01
170531.498      164533     4440298  0.818E-01
170543.499      165346     4463795  0.815E-01
170555.499      166150     4487398  0.812E-01
170607.498      166884     4510964  0.807E-01
170619.499      167695     4534583  0.805E-01
170631.499      168484     4557905  0.804E-01
170643.499      169274     4581444  0.802E-01
170655.498      170109     4604902  0.809E-01
170707.500      170937     4628316  0.803E-01
170719.499      171753     4651976  0.802E-01
170731.499      172548     4675559  0.799E-01
170743.498      173378     4699071  0.800E-01
170755.498      174278     4722699  0.798E-01
170807.498      175084     4746325  0.798E-01
170819.498      175906     4770118  0.799E-01
170831.499      176772     4793678  0.790E-01
170843.502      177558     4816821  0.790E-01
170855.498      178438     4840266  0.791E-01
170907.498      179244     4863310  0.789E-01
170919.499      180039     4886859  0.786E-01
170931.499      180907     4910397  0.793E-01
170943.498      181775     4933910  0.786E-01
170955.498      182590     4957516  0.781E-01
171007.500      183447     4981044  0.779E-01
171019.499      184316     5004568  0.779E-01
171031.498      185147     5028098  0.778E-01
171043.499      186008     5051584  0.770E-01
171055.498      186865     5075038  0.771E-01
171107.499      187704     5098448  0.768E-01
171119.498      188411     5118697  0.768E-01
171131.499      189262     5141919  0.768E-01
171143.498      189959     5161125  0.766E-01
171155.499      190784     5184633  0.769E-01
171207.498      191586     5208170  0.770E-01
171219.498      192437     5231701  0.764E-01
171231.499      193234     5255151  0.762E-01
171243.498      194051     5278527  0.760E-01
171255.499      194903     5301947  0.758E-01
171307.499      195748     5325417  0.757E-01
171319.499      196599     5348795  0.757E-01
171331.498      197482     5372269  0.753E-01
171343.498      198333     5395842  0.754E-01
171355.498      199221     5419149  0.754E-01
171407.499      200080     5442427  0.753E-01
171419.499      200937     5465795  0.756E-01
171431.498      201772     5489082  0.751E-01
171443.499      202591     5512660  0.747E-01
171455.499      203453     5536172  0.747E-01
171507.499      204312     5559625  0.743E-01
171519.498      205141     5582796  0.741E-01
171531.499      205953     5606319  0.738E-01
171543.499      206790     5629605  0.738E-01
171555.501      207630     5652756  0.735E-01
171607.499      208489     5675940  0.732E-01
171619.498      209438     5699475  0.732E-01
171631.498      210245     5722522  0.733E-01
171643.499      211160     5745371  0.734E-01
171655.498      212028     5768300  0.731E-01
171707.498      212881     5791118  0.730E-01
171719.499      213800     5814257  0.729E-01
171731.499      214701     5837211  0.725E-01
171743.499      215553     5860247  0.724E-01
171755.541      216408     5881276  0.724E-01
171807.498      217197     5902798  0.722E-01
171819.499      217981     5923152  0.724E-01
171831.499      218907     5946325  0.721E-01
