Time       moves_acc moves_gen
h/m/s/.th    WEIGHT PARAMETERS 
151341.583      128669      148633
151353.583      253804      298441
151405.583      384059      455691
151417.585      469147      559502
151429.594      566968      679006
151441.603      683978      822211
151453.583      787438      949003
151505.583      915146     1105738
151517.583     1052094     1273204
151529.583     1174239     1423191
151541.582     1286457     1559601
151553.583     1409168     1709488
151605.583     1546741     1878267
151617.583     1669450     2028272
151629.583     1791814     2177804
151641.583     1945444     2365883
151653.583     2098902     2553575
151705.586     2229197     2714000
151717.587     2340049     2850203
151729.601     2434168     2964903
151741.583     2560971     3120680
151753.582     2697033     3288182
151805.583     2819935     3439405
151817.583     2940343     3587891
151829.583     3076386     3755754
151841.594     3198746     3905700
151853.583     3323087     4058554
151905.589     3430953     4191051
151917.583     3518451     4298775
151929.612     3622077     4426268
151941.583     3724803     4552238
151953.582     3833872     4686223
152005.584     3940245     4817063
152017.583     4055668     4958036
152029.583     4180124     5109905
152041.583     4286224     5240238
152053.584     4382817     5358331
152105.584     4485673     5484581
152117.583     4606647     5632498
152129.583     4707455     5756598
152141.583     4817408     5892178
152153.585     4959081     6067306
152205.592     5090236     6227302
152217.583     5198262     6359632
152229.583     5307082     6493032
152241.582     5399591     6606589
152253.602     5486933     6713415
152305.583     5580985     6829084
152317.583     5684501     6956264
152329.583     5791352     7087701
