   r (Ang),     Ge-Ge,     Ge-O ,     O-O  
   0.06545 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   0.13090 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   0.19635 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   0.26180 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   0.32725 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   0.39271 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   0.45816 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   0.52361 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   0.58906 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   0.65451 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   0.71996 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   0.78541 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   0.85086 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   0.91631 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   0.98176 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   1.04721 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   1.11267 ,         0.000000000000000 ,         0.000000000000000 ,         0.000000000000000 , 
   1.17812 ,         0.000000000000000 ,         0.160790311200031 ,         0.000000000000000 , 
   1.24357 ,         0.000000000000000 ,         0.288628442306449 ,         0.000000000000000 , 
   1.30902 ,         0.000000000000000 ,         0.520986061451298 ,         0.000000000000000 , 
   1.37447 ,         0.000000000000000 ,         0.803350073256577 ,         0.000000000000000 , 
   1.43992 ,         0.000000000000000 ,         1.097985523604853 ,         0.000000000000000 , 
   1.50537 ,         0.000000000000000 ,         1.713727398404540 ,         0.000000000000000 , 
   1.57082 ,         0.000000000000000 ,         1.899549244234825 ,         0.000000000000000 , 
   1.63627 ,         0.000000000000000 ,         2.450902212445472 ,         0.000000000000000 , 
   1.70172 ,         0.000000000000000 ,         2.451000855931232 ,         0.000000000000000 , 
   1.76718 ,         0.000000000000000 ,         2.515834485431891 ,         0.000000000000000 , 
   1.83263 ,         0.000000000000000 ,         2.605196088220991 ,         0.000000000000000 , 
   1.89808 ,         0.000000000000000 ,         2.738418467785189 ,         0.000000000000000 , 
   1.96353 ,         0.000000000000000 ,         2.744177470621059 ,         0.000000000000000 , 
   2.02898 ,         0.000000000000000 ,         2.537472708577464 ,         0.000000000000000 , 
   2.09443 ,         0.000000000000000 ,         2.422078571423993 ,         0.000000000000000 , 
   2.15988 ,         0.000000000000000 ,         2.153118709278556 ,         0.000000000000000 , 
   2.22533 ,         0.000000000000000 ,         1.866069324489046 ,         0.000000000000000 , 
   2.29078 ,         0.000000000000000 ,         1.565304234096639 ,         0.000000000000000 , 
   2.35623 ,         0.000000000000000 ,         0.707613833763377 ,         0.321642651710626 , 
   2.42168 ,         0.000000000000000 ,         0.098960079899446 ,         0.898253032933431 , 
   2.48714 ,         0.000000000000000 ,         0.165990085589580 ,         0.764997785760674 , 
   2.55259 ,         0.000000000000000 ,         0.171290615311708 ,         0.835898202721135 , 
   2.61804 ,         0.000000000000000 ,         0.182373611449339 ,         1.022594892769508 , 
   2.68349 ,         0.000000000000000 ,         0.167386755038287 ,         1.091113662471800 , 
   2.74894 ,         0.000000000000000 ,         0.212681626238832 ,         1.092947245949553 , 
   2.81439 ,         0.000000000000000 ,         0.326902376627170 ,         1.397789472474798 , 
   2.87984 ,         0.215319078984865 ,         0.333744572426541 ,         1.566446299614893 , 
   2.94529 ,         0.741081823110132 ,         0.365394510005690 ,         1.662287700448422 , 
