 Q (1/Ang),Ge-Ge,Ge-O ,O-O  
   0.46825 ,    -0.366467447726898E+01 ,    -0.374938710952838E+00 ,    -0.124143368072728E+01 , 
   0.49828 ,    -0.337831963598216E+01 ,    -0.702319260511108E-01 ,    -0.137506598114087E+01 , 
   0.52832 ,    -0.308131912898045E+01 ,     0.208946995379229E+00 ,    -0.150742853783013E+01 , 
   0.55835 ,    -0.280700781371948E+01 ,     0.430159491021404E+00 ,    -0.162288469396911E+01 , 
   0.58839 ,    -0.258319284355073E+01 ,     0.570799028147025E+00 ,    -0.170909665196105E+01 , 
   0.61842 ,    -0.242980258930634E+01 ,     0.619874429454573E+00 ,    -0.175804723275644E+01 , 
   0.64846 ,    -0.235742029897032E+01 ,     0.578413725927832E+00 ,    -0.176656520140503E+01 , 
   0.67849 ,    -0.236681652271121E+01 ,     0.458503697453180E+00 ,    -0.173632116025802E+01 , 
   0.70853 ,    -0.244949241718917E+01 ,     0.281132162691826E+00 ,    -0.167331724504728E+01 , 
   0.73856 ,    -0.258914474620733E+01 ,     0.731288340338881E-01 ,    -0.158694609679171E+01 , 
   0.76860 ,    -0.276387277444909E+01 ,    -0.136407854133360E+00 ,    -0.148873737287848E+01 , 
   0.79863 ,    -0.294887620554622E+01 ,    -0.319765602318320E+00 ,    -0.139093905953310E+01 , 
   0.82867 ,    -0.311934870821371E+01 ,    -0.453928145908493E+00 ,    -0.130509326933986E+01 , 
   0.85870 ,    -0.325325756748545E+01 ,    -0.523167984054516E+00 ,    -0.124076110205980E+01 , 
   0.88874 ,    -0.333371766231542E+01 ,    -0.520645425312864E+00 ,    -0.120452947790470E+01 , 
   0.91878 ,    -0.335071520086900E+01 ,    -0.448862372438250E+00 ,    -0.119939736314300E+01 , 
   0.94881 ,    -0.330200839361614E+01 ,    -0.318958282756058E+00 ,    -0.122459369739653E+01 , 
   0.97885 ,    -0.319312104634258E+01 ,    -0.148972380696013E+00 ,    -0.127582977443511E+01 , 
   1.00888 ,    -0.303644178641424E+01 ,     0.386853581293303E-01 ,    -0.134594039120467E+01 , 
   1.03892 ,    -0.284953643280735E+01 ,     0.220225056282953E+00 ,    -0.142582610513752E+01 , 
