 Q (1/Ang),Ge-Ge,Ge-O ,O-O  
   0.46825 ,    -0.343375102277676E+01 ,    -0.753454074420123E-01 ,    -0.113184268312655E+01 , 
   0.49828 ,    -0.327061057340359E+01 ,     0.776338082197036E-01 ,    -0.133324514232615E+01 , 
   0.52832 ,    -0.308653255630408E+01 ,     0.207360798878624E+00 ,    -0.153082786082797E+01 , 
   0.55835 ,    -0.290249821106095E+01 ,     0.298447788999568E+00 ,    -0.170206075431464E+01 , 
   0.58839 ,    -0.273821792325896E+01 ,     0.341517886354058E+00 ,    -0.182948358593572E+01 , 
   0.61842 ,    -0.261029015179044E+01 ,     0.333943301749075E+00 ,    -0.190210611866280E+01 , 
   0.64846 ,    -0.253064236846428E+01 ,     0.279773872431488E+00 ,    -0.191605301992681E+01 , 
   0.67849 ,    -0.250541330408742E+01 ,     0.188890902968908E+00 ,    -0.187442223885944E+01 , 
   0.70853 ,    -0.253439946112084E+01 ,     0.755096904658489E-01 ,    -0.178641042174139E+01 , 
   0.73856 ,    -0.261113756729399E+01 ,    -0.437735630697117E-01 ,    -0.166583524813900E+01 , 
   0.76860 ,    -0.272363274692075E+01 ,    -0.152146539604659E+00 ,    -0.152924430665395E+01 , 
   0.79863 ,    -0.285567556660001E+01 ,    -0.234694507140456E+00 ,    -0.139383723423803E+01 , 
   0.82867 ,    -0.298862666245169E+01 ,    -0.280212330836284E+00 ,    -0.127543889424803E+01 , 
   0.85870 ,    -0.310349255862021E+01 ,    -0.282505522360367E+00 ,    -0.118674589754185E+01 , 
   0.88874 ,    -0.318307720283788E+01 ,    -0.241036252565372E+00 ,    -0.113602925541836E+01 , 
   0.91878 ,    -0.321397600455238E+01 ,    -0.160851303559131E+00 ,    -0.112641748005997E+01 , 
   0.94881 ,    -0.318818604927038E+01 ,    -0.518160798110669E-01 ,    -0.115581409225068E+01 , 
   0.97885 ,    -0.310413839512945E+01 ,     0.727383213729080E-01 ,    -0.121742948743523E+01 , 
   1.00888 ,    -0.296701382454079E+01 ,     0.197779090358574E+00 ,    -0.130083788713029E+01 , 
   1.03892 ,    -0.278827724908012E+01 ,     0.308523915775701E+00 ,    -0.139341335462782E+01 , 
   1.06895 ,    -0.258445089567209E+01 ,     0.392338918487729E+00 ,    -0.148196067462490E+01 , 
